代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11138330.400000000372529
真實報酬,1138330.400000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17439.282613509527437
風險,461739.412052164494526
起點值,0.037768668123871
找到最佳解世代,2070
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),BA[2](3),MCD[15](1),
Stock#,AAPL[0](2),BA[2](3),MCD[15](1),
張數,109039,59333,53095,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,10.770000000018626,5.060000000055879,28.899999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3339875.339999999850988,3442505.720000000204891,3307847.399999999906868,10090229.460000000894070
FS( 3 ),3286446.229999999981374,3546931.800000000279397,3262716.649999999906868,10096095.679999999701977
FS( 4 ),3279903.889999999664724,3690517.660000000149012,3286609.399999999906868,10257031.949999999254942
FS( 5 ),3301711.689999999944121,3654917.860000000335276,3283423.700000000186265,10240054.250000000000000
FS( 6 ),3273361.549999999813735,3611604.770000000018626,3308909.299999999813735,10193876.620000001043081
FS( 7 ),3235197.900000000372529,3585498.250000000000000,3326961.599999999627471,10147658.750000000000000
FS( 8 ),3280994.279999999795109,3628811.339999999850988,3323244.950000000186265,10233051.570000000298023
FS( 9 ),3262457.650000000372529,3652544.540000000037253,3326430.649999999906868,10241433.839999999850988
FS( 10 ),3207938.150000000372529,3608638.120000000111759,3306785.500000000000000,10123362.769999999552965
FS( 11 ),3349688.850000000093132,3598551.509999999776483,3370499.499999999534339,10318740.859999999403954
FS( 12 ),3298440.520000000018626,3571851.660000000149012,3345544.849999999627471,10215838.029999999329448
FS( 13 ),3240649.850000000093132,3512518.660000000149012,3355632.899999999906868,10108802.410000000149012
FS( 14 ),3080362.520000000018626,3427672.470000000204891,3365720.949999999720603,9873756.939999999478459
FS( 15 ),3163232.160000000149012,3428265.800000000279397,3349792.450000000186265,9941291.410000000149012
FS( 16 ),3207938.150000000372529,3424112.490000000223517,3388020.850000000093132,10020072.490000000223517
FS( 17 ),3238469.069999999832362,3674497.750000000000000,3383773.249999999534339,10296741.070000000298023
FS( 18 ),3104351.100000000093132,3711877.540000000037253,3335987.750000000000000,10152217.390000000596046
FS( 19 ),2992040.930000000167638,3595584.860000000335276,3314749.750000000000000,9902376.540000000968575
FS( 20 ),3033475.750000000000000,3660851.160000000149012,3392268.449999999720603,10086596.359999999403954
FS( 21 ),3050921.990000000223517,3675091.080000000074506,3399701.750000000000000,10125715.820000000298023
FS( 22 ),3103260.709999999962747,3646611.240000000223517,3462353.849999999627471,10212226.800000000745058
FS( 23 ),2992040.930000000167638,3519638.620000000111759,3401294.600000000093132,9912975.150000000372529
FS( 24 ),3044379.650000000372529,3465052.259999999776483,3364659.049999999813735,9874091.960000000894070
FS( 25 ),3023662.240000000223517,3434792.430000000167638,3340766.299999999813735,9799221.969999998807907
FS( 26 ),3056373.939999999944121,3544558.479999999981374,3375278.049999999813735,9976211.469999998807907
FS( 27 ),3038927.700000000186265,3532691.879999999888241,3358287.649999999906868,9929908.230000000447035
FS( 28 ),3094537.589999999850988,3594991.530000000260770,3386958.949999999720603,10076489.070000000298023
FS( 29 ),3121797.339999999850988,3539218.509999999776483,3376339.950000000186265,10037356.800000000745058
FS( 30 ),3168684.109999999869615,3634744.640000000130385,3398639.850000000093132,10202069.599999999627471
FS( 31 ),3155599.430000000167638,3667971.120000000111759,3411913.600000000093132,10235485.150000000372529
FS( 32 ),3161051.379999999888241,3731457.430000000167638,3423594.500000000000000,10316104.310000000521541
FS( 33 ),3141424.359999999869615,3772990.530000000260770,3437399.199999999720603,10351815.089999999850988
FS( 34 ),3121797.339999999850988,3795537.069999999832362,3438992.049999999813735,10356327.460000000894070
FS( 35 ),3069458.619999999646097,3724337.470000000204891,3444301.550000000279397,10238098.640000000596046
FS( 36 ),3126158.900000000372529,3766463.899999999906868,3465008.600000000093132,10357632.400000000372529
FS( 37 ),3146876.310000000055879,3730270.770000000018626,3418284.999999999534339,10295433.080000000074506
FS( 38 ),3187220.740000000223517,3747477.339999999850988,3390144.649999999906868,10324843.730000000447035
FS( 39 ),3255915.310000000055879,3797317.060000000055879,3397046.999999999534339,10450280.369999999180436
FS( 40 ),3253734.529999999795109,3823423.580000000074506,3401825.549999999348074,10478984.659999998286366
FS( 41 ),3260276.869999999646097,3824016.910000000149012,3378463.750000000000000,10462758.529999999329448
FS( 42 ),3282084.670000000391155,3889283.209999999962747,3367844.750000000000000,10539213.630000000819564
FS( 43 ),3410750.689999999944121,4030495.750000000465661,3380587.549999999813735,10821834.990000000223517
FS( 44 ),3412931.470000000204891,3989555.979999999981374,3457575.300000000279397,10860063.750000000000000
FS( 45 ),3473993.310000000055879,4022189.130000000353903,3456513.399999999441206,10952696.839999999850988
FS( 46 ),3502343.449999999720603,4153908.390000000130385,3448018.199999999720603,11104271.039999999105930
FS( 47 ),3512156.959999999962747,4157468.369999999646097,3462353.849999999627471,11131980.179999999701977
FS( 48 ),3529603.199999999720603,4143228.450000000186265,3479344.250000000000000,11152176.900000000372529
FS( 49 ),3487077.990000000223517,4117715.260000000242144,3500582.250000000465661,11105376.500000000000000
FS( 50 ),3495801.110000000335276,4077368.819999999832362,3508015.549999999348074,11081186.479999998584390
FS( 51 ),3491439.550000000279397,4116528.599999999627471,3524474.999999999534339,11132444.150000000372529
FS( 52 ),3499072.280000000260770,4204934.769999999552965,3540403.500000000465661,11244411.550000000745058
FS( 53 ),3461999.020000000018626,4196034.820000000298023,3532439.250000000000000,11190474.089999999850988
FS( 54 ),3501253.060000000055879,4266641.089999999850988,3557924.850000000093132,11325820.000000000000000
FS( 55 ),3556862.949999999720603,4282661.000000000000000,3575977.149999999441206,11415502.099999997764826
FS( 56 ),3573218.800000000279397,4290967.619999999180436,3546774.899999999906868,11410962.320000000298023
FS( 57 ),3530693.590000000316650,4301054.230000000447035,3552084.400000000372529,11383833.220000000670552
FS( 58 ),3597207.380000000353903,4306987.529999999329448,3571198.600000000093132,11475394.509999999776483
FS( 59 ),3620105.570000000298023,4397173.689999999478459,3561110.549999999348074,11578390.809999998658895
FS( 60 ),3673534.679999999701977,4362760.550000000745058,3570136.699999999720603,11606432.929999999701977
FS( 61 ),3660450.000000000000000,4308174.189999999478459,3542527.299999999813735,11511152.489999998360872
FS( 62 ),3675715.459999999962747,4330720.730000000447035,3588189.000000000000000,11594626.190000001341105
FS( 63 ),3714969.500000000000000,4274354.380000000819564,3612081.750000000000000,11601406.630000000819564
FS( 64 ),3731325.350000000093132,4293340.939999999478459,3600400.850000000093132,11625068.139999998733401
FS( 65 ),3747681.199999999720603,4277914.359999999403954,3594560.399999999906868,11620156.959999999031425
FS( 66 ),3737867.689999999944121,4288594.300000000745058,3650841.100000000093132,11677304.089999999850988
FS( 67 ),3766217.830000000074506,4296900.919999999925494,3646593.500000000465661,11709713.250000000000000
FS( 68 ),3773850.560000000055879,4267234.419999999925494,3638629.250000000000000,11679715.230000000447035
FS( 69 ),3776031.340000000316650,4223921.330000000074506,3659336.299999999813735,11659289.969999998807907
FS( 70 ),3827279.670000000391155,4254181.160000000149012,3685883.799999999813735,11767345.629999998956919
FS( 71 ),3877437.610000000335276,4277321.029999999329448,3672079.099999999627471,11826838.739999998360872
FS( 72 ),3853449.030000000260770,4200188.130000000819564,3665176.750000000000000,11718814.910000000149012
FS( 73 ),3849087.469999999739230,4210274.740000000223517,3712431.299999999813735,11771794.509999999776483
FS( 74 ),3809833.429999999701977,4236974.589999999850988,3734731.200000000186265,11781540.219999998807907
FS( 75 ),4037724.939999999944121,4400140.339999999850988,3735793.100000000093132,12173659.379999998956919
FS( 76 ),4151125.500000000000000,4484986.529999999329448,3771366.750000000000000,12407479.779999999329448
FS( 77 ),4218729.679999999701977,4457693.349999999627471,3777738.150000000372529,12454162.179999999701977
FS( 78 ),4198012.269999999552965,4410820.279999999329448,3770835.799999999813735,12379669.349999997764826
FS( 79 ),4081340.540000000037253,4300460.900000000372529,3744819.250000000000000,12126621.690000001341105
FS( 80 ),4074798.199999999720603,4293934.269999999552965,3734731.200000000186265,12103464.669999998062849
FS( 81 ),4184927.590000000316650,4378187.130000000819564,3797383.299999999813735,12360499.019999999552965
FS( 82 ),4067165.469999999739230,4297494.250000000000000,3748004.950000000186265,12112665.669999999925494
FS( 83 ),4148944.719999999739230,4413786.929999999701977,3792073.799999999813735,12354806.449999999254942
FS( 84 ),4029001.820000000298023,4318854.130000000819564,3750659.699999999720603,12098516.650000000372529
FS( 85 ),3987567.000000000000000,4212648.060000000521541,3751721.599999999627471,11951937.660000000149012
FS( 86 ),3836002.790000000037253,4032869.069999999832362,3685883.799999999813735,11554756.660000000149012
FS( 87 ),3673534.679999999701977,3958702.819999999832362,3611019.850000000093132,11243258.349999999627471
FS( 88 ),3955945.689999999944121,4212648.060000000521541,3747474.000000000000000,11916068.750000000000000
FS( 89 ),3996290.119999999646097,4237567.919999999925494,3742164.500000000000000,11976023.539999999105930
FS( 90 ),4082430.929999999701977,4323600.769999999552965,3752252.549999999813735,12158285.250000000000000
FS( 91 ),4024640.259999999776483,4257741.140000000596046,3743226.399999999906868,12025608.800000000745058
FS( 92 ),3953764.909999999683350,4142635.119999999646097,3694909.950000000186265,11791310.980000000447035
FS( 93 ),3960307.250000000000000,4134328.500000000465661,3724112.199999999720603,11818748.949999999254942
FS( 94 ),3930866.719999999739230,4018035.819999999832362,3717740.799999999813735,11666644.339999999850988
FS( 95 ),3868714.489999999757856,3928442.989999999757856,3684821.900000000372529,11481980.379999998956919
FS( 96 ),3704065.600000000093132,3737984.060000000055879,3592436.599999999627471,11034487.259999999776483
FS( 97 ),3774940.949999999720603,3830543.540000000037253,3603055.600000000093132,11208541.089999999850988
FS( 98 ),3843635.520000000018626,3746884.009999999776483,3592436.599999999627471,11182957.129999998956919
FS( 99 ),3819646.939999999944121,3724930.800000000279397,3601993.700000000186265,11146572.440000001341105
FS( 100 ),3802200.699999999720603,3753410.640000000130385,3504829.850000000093132,11060442.189999999478459
FS( 101 ),3946132.179999999701977,3864363.349999999627471,3568012.899999999906868,11378509.429999999701977
FS( 102 ),4001742.070000000298023,3807997.000000000465661,3550491.550000000279397,11360231.620000001043081
FS( 103 ),4062803.909999999683350,3735017.410000000149012,3523413.100000000093132,11321235.419999999925494
FS( 104 ),4111871.459999999962747,3817490.280000000260770,3598277.049999999813735,11527639.789999999105930
FS( 105 ),4098786.780000000260770,3815710.290000000037253,3602524.649999999441206,11517022.719999998807907
FS( 106 ),3987567.000000000000000,3628218.009999999776483,3541465.399999999906868,11157251.410000000149012
FS( 107 ),3909058.920000000391155,3566511.689999999944121,3544120.149999999906868,11019691.759999999776483
FS( 108 ),3883979.949999999720603,3620504.720000000204891,3630664.999999999534339,11135150.669999999925494
FS( 109 ),3788025.630000000353903,3661444.490000000223517,3624293.600000000093132,11073764.720000000670552
FS( 110 ),3902516.580000000074506,3790790.430000000167638,3683229.050000000279397,11376537.060000000521541
FS( 111 ),3949403.350000000093132,3879196.599999999627471,3692255.200000000186265,11520856.149999998509884
FS( 112 ),3961397.639999999664724,3845970.119999999646097,3679512.399999999906868,11486881.160000000149012
FS( 113 ),4045357.670000000391155,4003795.900000000372529,3737916.900000000372529,11787071.470000000670552
FS( 114 ),4163119.790000000037253,3977096.050000000279397,3732076.450000000186265,11872293.289999999105930
FS( 115 ),4235085.530000001192093,3990742.640000000130385,3719333.649999999906868,11945162.820000002160668
FS( 116 ),4268887.619999999180436,4032275.739999999757856,3710307.499999999534339,12011471.859999999403954
FS( 117 ),4208916.169999999925494,4032869.069999999832362,3712431.299999999813735,11954217.539999999105930
FS( 118 ),4265616.449999999254942,3932596.300000000279397,3644469.699999999720603,11842683.449999999254942
FS( 119 ),4220910.460000000894070,4002015.910000000149012,3643938.749999999534339,11866866.120000001043081
FS( 120 ),4190379.540000000037253,4000829.250000000465661,3596153.250000000000000,11787363.040000000968575
FS( 121 ),4154396.670000000391155,4080335.469999999739230,3579693.799999999813735,11814426.940000001341105
FS( 122 ),4179475.639999999664724,3993115.959999999962747,3574915.250000000000000,11747507.849999999627471
FS( 123 ),3990838.170000000391155,3740357.379999999888241,3528722.599999999627471,11259919.150000000372529
FS( 124 ),3917782.040000000037253,3723150.810000000055879,3497396.550000000279397,11138330.400000000372529
