代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10725637.670000001788139
真實報酬,725637.670000001788139

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,34386.601017819382832
風險,32837.120223392448679
起點值,1.047186866079783
找到最佳解世代,2231
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
DIS[6](3),HD[9](18),JNJ[12](8),JPM[13](9),KO[14](2),MRK[17](5),
Stock#,DIS[6](3),HD[9](18),JNJ[12](8),JPM[13](9),KO[14](2),MRK[17](5),
張數,15823,8590,13708,15860,38095,27566,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,29.409999999916181,34.199999999953434,47.360000000102445,97.199999999953434,9.750000000000000,25.639999999897555,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1646254.330000000074506,1663230.000000000000000,1682156.040000000037253,1643351.800000000046566,1675808.800000000046566,1673557.500000000000000,9984362.469999998807907
FS( 3 ),1666824.229999999981374,1670016.099999999860302,1713547.360000000102445,1645096.399999999906868,1701332.449999999953434,1699193.879999999888241,10096014.419999998062849
FS( 4 ),1657963.349999999860302,1670617.399999999906868,1723828.360000000102445,1650488.800000000046566,1700570.550000000046566,1714630.840000000083819,10118103.300000000745058
FS( 5 ),1677583.869999999878928,1684361.400000000139698,1727940.760000000009313,1701558.000000000000000,1691427.750000000000000,1709668.959999999962747,10192544.740000002086163
FS( 6 ),1677742.099999999860302,1697504.100000000093132,1746172.400000000139698,1691090.400000000139698,1713141.899999999906868,1717387.439999999711290,10243042.339999999850988
FS( 7 ),1709546.330000000074506,1691834.699999999953434,1730545.280000000027940,1687442.599999999860302,1706284.800000000046566,1706361.039999999804422,10232018.750000000000000
FS( 8 ),1712869.159999999916181,1700424.699999999953434,1751381.440000000176951,1694738.199999999953434,1701713.400000000139698,1727311.199999999720603,10288442.099999999627471
FS( 9 ),1740559.409999999916181,1706781.300000000046566,1726295.800000000279397,1686966.800000000046566,1704380.050000000046566,1733651.379999999888241,10298638.739999998360872
FS( 10 ),1743724.010000000009313,1708413.399999999906868,1709297.880000000121072,1753896.000000000000000,1703999.099999999860302,1725381.580000000074506,10344715.970000000670552
FS( 11 ),1745306.309999999823049,1727483.199999999953434,1769887.240000000223517,1752627.199999999953434,1723808.500000000000000,1723727.619999999878928,10442844.069999998435378
FS( 12 ),1751477.279999999795109,1726366.500000000000000,1751929.760000000009313,1768963.000000000000000,1718856.149999999906868,1735029.679999999934807,10452626.369999999180436
FS( 13 ),1774262.399999999906868,1740625.899999999906868,1726432.880000000121072,1742952.599999999860302,1718475.199999999953434,1723176.299999999813735,10425929.279999997466803
FS( 14 ),1763977.449999999953434,1739079.699999999953434,1725199.159999999916181,1764998.000000000000000,1724951.350000000093132,1723451.959999999962747,10441661.620000001043081
FS( 15 ),1757806.479999999981374,1737189.899999999906868,1735891.400000000139698,1797828.199999999953434,1712380.000000000000000,1728138.179999999934807,10469238.160000000149012
FS( 16 ),1751635.510000000009313,1735128.300000000046566,1773314.240000000223517,1810516.199999999953434,1724189.449999999953434,1748261.359999999869615,10543049.060000000521541
FS( 17 ),1759230.550000000046566,1726624.199999999953434,1763170.320000000065193,1826852.000000000000000,1755808.300000000046566,1777756.979999999748543,10609446.350000001490116
FS( 18 ),1796098.139999999897555,1712880.199999999953434,1785925.600000000093132,1821618.199999999953434,1761522.550000000046566,1764525.300000000046566,10642573.990000000223517
FS( 19 ),1782015.669999999925494,1693466.799999999813735,1803334.760000000242144,1840333.000000000000000,1760379.699999999953434,1750190.979999999981374,10629724.910000000149012
FS( 20 ),1782173.899999999906868,1694669.399999999906868,1811833.719999999972060,1851435.000000000000000,1761141.599999999860302,1786578.099999999860302,10687835.719999998807907
FS( 21 ),1796889.290000000037253,1696731.000000000000000,1816631.520000000251457,1823204.199999999953434,1776379.600000000093132,1815798.060000000055879,10725637.670000001788139
