代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10854543.339999999850988
真實報酬,854543.339999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,40806.178474781037949
風險,71251.146631066803820
起點值,0.572709077736986
找到最佳解世代,1171
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](11),NKE[19](1),PG[21](3),WBA[27](4),WMT[28](2),
Stock#,AAPL[0](11),NKE[19](1),PG[21](3),WBA[27](4),WMT[28](2),
張數,23626,90049,32685,66979,28839,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,59.099999999860302,11.709999999962747,4.850000000093132,7.060000000055879,15.350000000093132,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2023153.479999999748543,2036920.090000000083819,2005556.450000000186265,1983255.250000000000000,2040374.600000000093132,10089259.869999999180436
FS( 3 ),2058592.479999999748543,2075641.159999999916181,2005229.600000000093132,2000669.790000000037253,2049891.469999999972060,10190024.500000000000000
FS( 4 ),2044889.399999999906868,2057631.360000000102445,2002941.650000000139698,1983925.040000000037253,2057966.390000000130385,10147353.839999999850988
FS( 5 ),2072059.299999999813735,2032417.639999999897555,2011766.600000000093132,1989283.360000000102445,2069501.990000000223517,10175028.890000000596046
FS( 6 ),2052922.239999999757856,2054929.889999999897555,2017649.899999999906868,2004018.740000000223517,2079595.640000000130385,10209116.410000000149012
FS( 7 ),2040164.199999999720603,2077442.139999999897555,2006863.850000000093132,2005358.320000000065193,2083921.490000000223517,10213750.000000000000000
FS( 8 ),2021499.659999999916181,2067536.750000000000000,2082039.350000000093132,2016074.960000000195578,2085363.440000000176951,10272514.160000000149012
FS( 9 ),2041818.019999999785796,2115262.719999999739230,2127471.500000000000000,2048224.879999999888241,2110453.370000000111759,10443230.489999998360872
FS( 10 ),2048433.299999999813735,2094551.450000000186265,2118319.700000000186265,2042866.560000000055879,2104685.570000000298023,10408856.580000000074506
FS( 11 ),2048669.559999999823049,2088248.020000000018626,2135969.600000000093132,2056262.360000000102445,2108146.250000000000000,10437295.789999999105930
FS( 12 ),2046306.959999999962747,2130571.049999999813735,2118646.549999999813735,2074346.689999999944121,2100936.500000000000000,10470807.750000000000000
FS( 13 ),2073476.859999999869615,2144978.890000000130385,2121915.050000000279397,2318820.040000000037253,2062869.020000000018626,10722059.859999999403954
FS( 14 ),2039691.679999999934807,2095451.939999999944121,2115704.900000000372529,2317480.459999999962747,2083633.100000000093132,10651962.080000000074506
FS( 15 ),2038037.859999999869615,2090049.000000000000000,2104592.000000000000000,2271934.740000000223517,2072097.500000000000000,10576711.099999999627471
FS( 16 ),2028351.199999999720603,2092750.469999999739230,2092498.550000000046566,2284660.750000000000000,2080460.810000000055879,10578721.779999999329448
FS( 17 ),1940698.739999999757856,2105357.330000000074506,2092498.550000000046566,2320829.410000000149012,2078730.469999999972060,10538114.500000001862645
FS( 18 ),1940462.479999999748543,2174695.060000000055879,2110148.450000000186265,2342262.689999999944121,2124584.479999999981374,10692153.160000000149012
FS( 19 ),1974956.439999999944121,2184600.450000000186265,2127471.500000000000000,2392496.939999999944121,2149097.629999999888241,10828622.960000000894070
FS( 20 ),2008269.099999999860302,2157585.750000000000000,2127798.350000000093132,2429335.390000000130385,2162363.570000000298023,10885352.160000000149012
FS( 21 ),2061427.599999999860302,2101755.370000000111759,2109494.750000000465661,2435363.500000000000000,2146502.120000000111759,10854543.339999999850988
