代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10855602.850000001490116
真實報酬,855602.850000001490116

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,42905.879330698284321
風險,41960.764943815076549
起點值,1.022523764477333
找到最佳解世代,1961
找到最佳解實驗#,1
找到最佳解次數,33

stock[index](rank)
投資組合檔數,8
AAPL[0](21),DIS[6](4),NKE[19](20),PG[21](12),TRV[22](1),UNH[23](27),VZ[26](2),XOM[29](16),
Stock#,AAPL[0](21),DIS[6](4),NKE[19](20),PG[21](12),TRV[22](1),UNH[23](27),VZ[26](2),XOM[29](16),
張數,11407,12174,20187,17373,12711,10719,29096,16878,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,20.939999999944121,95.419999999925494,20.959999999962747,12.649999999906868,0.260000000009313,57.409999999916181,35.840000000083819,15.320000000065193,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1259125.599999999860302,1254017.419999999925494,1263929.030000000027940,1258165.309999999823049,1271481.590000000083819,1273796.179999999934807,1246508.480000000214204,1280717.959999999962747,10107741.570000000298023
FS( 3 ),1263688.399999999906868,1264365.319999999832362,1254441.139999999897555,1272063.709999999962747,1294742.719999999972060,1282585.760000000009313,1280259.840000000083819,1296414.500000000000000,10208561.389999998733401
FS( 4 ),1269734.109999999869615,1263391.399999999906868,1243540.159999999916181,1275190.850000000093132,1284701.030000000027940,1243997.359999999869615,1282005.600000000093132,1314642.739999999990687,10177203.250000000000000
FS( 5 ),1263688.399999999906868,1258765.280000000027940,1232437.309999999823049,1280750.209999999962747,1298683.130000000121072,1248070.580000000074506,1275895.440000000176951,1336752.920000000158325,10195043.269999999552965
FS( 6 ),1249087.439999999944121,1273617.559999999823049,1260900.979999999981374,1292563.850000000093132,1310377.250000000000000,1244318.929999999934807,1286951.919999999925494,1350761.660000000149012,10268579.589999999850988
FS( 7 ),1278973.780000000027940,1285182.859999999869615,1261102.849999999860302,1293953.689999999944121,1308470.600000000093132,1278512.539999999804422,1284915.199999999953434,1337765.600000000093132,10328877.119999999180436
FS( 8 ),1273042.139999999897555,1294800.319999999832362,1276243.099999999860302,1291347.739999999990687,1318385.179999999934807,1313242.099999999860302,1288988.639999999897555,1338440.719999999972060,10394489.939999999478459
FS( 9 ),1275209.469999999972060,1297722.080000000074506,1269985.129999999888241,1287525.679999999934807,1313173.669999999925494,1329106.219999999972060,1290734.400000000139698,1336077.800000000046566,10399534.449999999254942
FS( 10 ),1257186.409999999916181,1287252.439999999944121,1270187.000000000000000,1289262.979999999748543,1306309.729999999981374,1308525.739999999757856,1279968.880000000121072,1352955.800000000046566,10351648.980000000447035
FS( 11 ),1276007.959999999962747,1313548.280000000027940,1300063.760000000009313,1290305.359999999869615,1334146.819999999832362,1288159.639999999897555,1299754.160000000149012,1375234.760000000242144,10477220.740000000223517
FS( 12 ),1266654.219999999972060,1317809.179999999934807,1317020.839999999850988,1301250.350000000093132,1346095.160000000149012,1286123.030000000027940,1300627.040000000270084,1392112.760000000242144,10527692.580000000074506
FS( 13 ),1274525.050000000046566,1332783.199999999953434,1344677.030000000027940,1305767.329999999841675,1351433.780000000027940,1294162.280000000027940,1300627.040000000270084,1366964.540000000037253,10570940.250000000000000
FS( 14 ),1297795.329999999841675,1337287.580000000074506,1336198.489999999990687,1293085.040000000037253,1384863.709999999962747,1290839.389999999897555,1316338.880000000121072,1364264.060000000055879,10620672.480000000447035
FS( 15 ),1297681.260000000009313,1340331.080000000074506,1337207.839999999850988,1278491.719999999972060,1407107.959999999962747,1266078.500000000000000,1305282.400000000139698,1353799.699999999953434,10585980.459999999031425
FS( 16 ),1317529.439999999944121,1378800.919999999925494,1336602.229999999748543,1300381.699999999720603,1427699.780000000027940,1219986.800000000046566,1335251.280000000027940,1399032.739999999990687,10715284.889999998733401
FS( 17 ),1358366.500000000000000,1376853.080000000074506,1317626.449999999953434,1338254.839999999850988,1427191.340000000083819,1242603.889999999897555,1343107.199999999953434,1400551.760000000242144,10804555.059999998658895
FS( 18 ),1315019.899999999906868,1382087.899999999906868,1326104.989999999990687,1346246.419999999925494,1433419.729999999981374,1249142.479999999981374,1348926.400000000139698,1370846.479999999981374,10771794.300000000745058
FS( 19 ),1306692.789999999804422,1385131.399999999906868,1320452.629999999888241,1342771.820000000065193,1441554.770000000018626,1279584.439999999944121,1343398.160000000149012,1368652.340000000083819,10788238.349999999627471
FS( 20 ),1360533.829999999841675,1392070.580000000074506,1325297.510000000009313,1329220.879999999888241,1452359.120000000111759,1283979.229999999981374,1352417.919999999925494,1388737.160000000149012,10884616.230000000447035
FS( 21 ),1374906.649999999906868,1400592.379999999888241,1323480.679999999934807,1338081.109999999869615,1452740.450000000186265,1283228.899999999906868,1350090.239999999990687,1387893.260000000242144,10911013.669999999925494
FS( 22 ),1363157.439999999944121,1384766.179999999934807,1322673.199999999953434,1326962.389999999897555,1434945.050000000046566,1262541.229999999981374,1364056.320000000065193,1396501.040000000037253,10855602.850000001490116
