代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10482398.559999998658895
真實報酬,482398.559999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,32259.489075098834292
風險,99819.925778381642886
起點值,0.323176848946179
找到最佳解世代,1576
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](6),IBM[10](1),INTC[11](2),
Stock#,AAPL[0](6),IBM[10](1),INTC[11](2),
張數,35642,17887,107596,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,93.160000000149012,90.550000000279397,8.919999999925494,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3331907.320000000298023,3369822.479999999981374,3333333.000000000000000,10035063.800000000745058
FS( 3 ),3351510.420000000391155,3372326.660000000149012,3350548.359999999869615,10074386.439999999478459
FS( 4 ),3420655.899999999906868,3363562.030000000260770,3338712.800000000279397,10122931.730000000447035
FS( 5 ),3398557.859999999869615,3348894.690000000409782,3312889.759999999776483,10060343.310000000521541
FS( 6 ),3399983.540000000037253,3370359.089999999850988,3323649.359999999869615,10093992.990000000223517
FS( 7 ),3387508.840000000316650,3357480.450000000186265,3363459.879999999888241,10108450.170000001788139
FS( 8 ),3393924.399999999906868,3362846.550000000279397,3362383.919999999925494,10119155.870000001043081
FS( 9 ),3437764.060000000055879,3396116.370000000577420,3388206.959999999962747,10222088.390000000596046
FS( 10 ),3397488.600000000093132,3371611.180000000633299,3411878.080000000074506,10180978.860000001266599
FS( 11 ),3378241.920000000391155,3440833.870000000577420,3728210.319999999832362,10547287.110000001266599
FS( 12 ),3318006.940000000409782,3443159.180000000633299,3625994.120000000111759,10387161.240000002086163
FS( 13 ),3365767.220000000204891,3443338.050000000279397,3625994.120000000111759,10435100.390000000596046
FS( 14 ),3348302.640000000130385,3413824.500000000000000,3664728.680000000167638,10426856.820000000298023
FS( 15 ),3376103.399999999906868,3471778.380000000353903,3743273.759999999776483,10591156.539999999105930
FS( 16 ),3464139.140000000130385,3463550.360000000335276,3712070.919999999925494,10639761.419999999925494
FS( 17 ),3458436.420000000391155,3492348.430000000633299,3685171.919999999925494,10635957.770000001415610
FS( 18 ),3481247.300000000279397,3477323.350000000558794,3685171.919999999925494,10643743.570000000298023
FS( 19 ),3529364.000000000000000,3502007.410000000149012,3683019.999999999534339,10714392.410000000149012
FS( 20 ),3506553.120000000111759,3480364.140000000130385,3678716.159999999683350,10665634.419999999925494
FS( 21 ),3498355.460000000428408,3470168.550000000279397,3695931.520000000018626,10664456.530000001192093
FS( 22 ),3407468.359999999869615,3428491.839999999850988,3646437.359999999869615,10482398.559999998658895
