代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10632514.919999998062849
真實報酬,632514.919999998062849

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,33813.634111498249695
風險,132579.749120419553947
起點值,0.255043732816133
找到最佳解世代,1920
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](4),V[25](1),
Stock#,HD[9](4),V[25](1),
張數,40189,66471,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,86.509999999776483,51.379999999888241,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5050236.250000000000000,5178142.280000000260770,10228378.530000001192093
FS( 3 ),5038983.329999999143183,5208054.229999999515712,10247037.559999998658895
FS( 4 ),5052647.589999999850988,5268542.839999999850988,10321190.429999999701977
FS( 5 ),5063096.729999999515712,5234642.629999999888241,10297739.359999999403954
FS( 6 ),5003617.009999999776483,5187448.220000000670552,10191065.230000000447035
FS( 7 ),5034160.650000000372529,5283166.459999999962747,10317327.109999999403954
FS( 8 ),5012056.699999999254942,5263225.160000000149012,10275281.859999999403954
FS( 9 ),4975886.599999999627471,5205395.389999999664724,10181281.989999998360872
FS( 10 ),4822766.509999999776483,5192101.189999999478459,10014867.699999999254942
FS( 11 ),4856525.269999999552965,5244613.280000000260770,10101138.550000000745058
FS( 12 ),5071134.530000000260770,5239960.309999999590218,10311094.839999999850988
FS( 13 ),5085602.570000000298023,5348308.039999999105930,10433910.609999999403954
FS( 14 ),5098463.049999999813735,5327702.030000000260770,10426165.080000000074506
FS( 15 ),5233096.200000000186265,5330360.870000000111759,10563457.070000000298023
FS( 16 ),5325129.009999999776483,5325043.189999999478459,10650172.199999999254942
FS( 17 ),5369336.909999999217689,5303772.470000000670552,10673109.379999998956919
FS( 18 ),5411535.360000000335276,5288484.139999999664724,10700019.500000000000000
FS( 19 ),5415152.370000000111759,5307096.020000000484288,10722248.390000000596046
FS( 20 ),5380589.829999999143183,5251925.089999999850988,10632514.919999998062849
