代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10612725.559999998658895
真實報酬,612725.559999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,29868.229254001802474
風險,33396.960953290457837
起點值,0.894339736354335
找到最佳解世代,5089
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,6
DIS[6](4),GS[8](3),IBM[10](16),KO[14](8),MCD[15](9),TRV[22](1),
Stock#,DIS[6](4),GS[8](3),IBM[10](16),KO[14](8),MCD[15](9),TRV[22](1),
張數,49989,11284,12287,56382,22245,31977,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,32.739999999757856,19.200000000186265,57.320000000065193,14.080000000074506,70.599999999860302,24.760000000009313,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1656668.199999999720603,1653915.080000000074506,1661874.070000000065193,1659900.160000000149012,1667333.349999999860302,1666666.000000000000000,9966360.859999999403954
FS( 3 ),1691160.609999999636784,1687767.080000000074506,1691485.739999999990687,1681889.139999999897555,1686686.499999999767169,1690648.750000000000000,10129641.819999998435378
FS( 4 ),1677163.689999999711290,1704467.400000000372529,1689765.560000000288710,1684708.239999999990687,1677343.600000000093132,1686171.969999999972060,10119624.460000000894070
FS( 5 ),1695159.729999999515712,1705144.440000000409782,1704509.959999999962747,1675687.120000000111759,1687576.299999999813735,1682334.729999999981374,10150416.280000001192093
FS( 6 ),1725153.129999999655411,1722634.640000000130385,1706107.270000000018626,1675123.300000000046566,1692915.099999999627471,1688730.130000000121072,10210667.569999998435378
FS( 7 ),1728152.469999999739230,1717444.000000000000000,1716059.739999999990687,1679070.040000000037253,1681570.149999999906868,1693206.910000000149012,10215507.310000000521541
FS( 8 ),1723653.459999999497086,1751408.840000000316650,1718394.270000000018626,1680197.680000000167638,1681347.699999999720603,1689049.899999999906868,10244055.849999999627471
FS( 9 ),1745148.729999999515712,1745992.520000000018626,1724783.510000000009313,1689782.620000000111759,1685129.349999999860302,1707916.329999999841675,10298757.060000000521541
FS( 10 ),1742149.389999999897555,1710560.760000000242144,1738667.820000000065193,1689218.800000000046566,1713825.399999999906868,1709515.179999999934807,10303941.349999999627471
FS( 11 ),1743649.059999999823049,1700405.160000000149012,1733261.540000000037253,1689782.620000000111759,1723613.199999999953434,1714951.270000000018626,10305666.849999999627471
FS( 12 ),1737150.489999999757856,1734370.000000000000000,1755009.530000000260770,1691474.080000000074506,1720053.999999999767169,1739573.560000000055879,10377635.660000000149012
FS( 13 ),1711656.099999999860302,1768447.680000000167638,1696031.930000000167638,1701059.020000000251457,1712713.149999999674037,1719108.280000000027940,10309020.160000000149012
FS( 14 ),1730651.919999999692664,1800945.600000000093132,1708810.409999999916181,1724175.639999999897555,1722056.049999999813735,1747248.040000000037253,10433891.660000000149012
FS( 15 ),1733651.259999999776483,1797560.400000000372529,1718148.530000000260770,1733196.760000000009313,1744968.399999999906868,1758120.219999999972060,10485649.570000000298023
FS( 16 ),1748148.069999999599531,1780183.040000000037253,1716182.609999999869615,1737143.500000000000000,1747415.349999999860302,1761957.459999999962747,10491034.029999997466803
FS( 17 ),1772642.679999999701977,1776007.959999999962747,1718271.400000000139698,1720228.900000000139698,1750752.099999999860302,1777626.190000000176951,10515533.230000000447035
FS( 18 ),1797637.179999999701977,1786163.560000000055879,1728469.609999999869615,1726430.920000000158325,1752086.800000000046566,1759719.070000000065193,10550511.140000000596046
FS( 19 ),1795637.619999999878928,1807151.800000000279397,1737807.730000000214204,1725303.280000000260770,1723613.199999999953434,1750125.969999999972060,10539643.600000001490116
FS( 20 ),1825131.129999999655411,1842019.360000000335276,1731295.620000000111759,1725867.100000000093132,1723613.199999999953434,1750445.739999999990687,10598376.150000000372529
FS( 21 ),1806135.309999999823049,1818210.120000000111759,1764470.520000000018626,1728686.200000000186265,1730064.249999999767169,1765155.160000000149012,10612725.559999998658895
