代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10152645.229999998584390
真實報酬,152645.229999998584390

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,6788.355973635538248
風險,33583.384539096397930
起點值,0.202134360988328
找到最佳解世代,1770
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),DIS[6](1),JNJ[12](3),KO[14](7),
Stock#,AAPL[0](4),DIS[6](1),JNJ[12](3),KO[14](7),
張數,17883,22514,20184,59297,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,135.430000000167638,45.439999999944121,9.760000000242144,38.479999999981374,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2485157.110000000335276,2489868.700000000186265,2495357.680000000167638,2518382.069999999832362,9988765.560000000521541
FS( 3 ),2499821.170000000391155,2504502.799999999813735,2498587.120000000577420,2518975.039999999571592,10021886.130000000819564
FS( 4 ),2491952.650000000372529,2491669.819999999832362,2496972.399999999906868,2501185.939999999944121,9981780.810000000521541
FS( 5 ),2495171.590000000316650,2495947.479999999981374,2499394.479999999981374,2489919.510000000242144,9980433.060000000521541
FS( 6 ),2485872.430000000167638,2495497.200000000186265,2504844.160000000149012,2489919.510000000242144,9976133.300000000745058
FS( 7 ),2480149.870000000111759,2499774.859999999869615,2542184.560000000521541,2492291.390000000130385,10014400.680000001564622
FS( 8 ),2488376.049999999813735,2497298.319999999832362,2547432.399999999906868,2507708.609999999869615,10040815.379999998956919
FS( 9 ),2489449.029999999795109,2510806.719999999739230,2556918.880000000353903,2492291.390000000130385,10049466.020000001415610
FS( 10 ),2485693.600000000558794,2528592.779999999795109,2564386.959999999962747,2488733.569999999832362,10067406.910000000149012
FS( 11 ),2511981.610000000335276,2518686.620000000111759,2602938.400000000372529,2497628.119999999646097,10131234.750000000000000
FS( 12 ),2516094.700000000186265,2515084.379999999888241,2592846.400000000372529,2505336.729999999981374,10129362.210000000894070
FS( 13 ),2503576.600000000558794,2516210.080000000074506,2584772.800000000279397,2492291.390000000130385,10096850.870000001043081
FS( 14 ),2529864.610000000335276,2537598.379999999888241,2584974.640000000130385,2501185.939999999944121,10153623.570000000298023
FS( 15 ),2500894.150000000372529,2515984.939999999944121,2568423.760000000242144,2520160.979999999981374,10105463.830000000074506
FS( 16 ),2529149.290000000037253,2523414.560000000055879,2548441.600000000558794,2513045.340000000316650,10114050.790000000968575
FS( 17 ),2520207.790000000037253,2527016.799999999813735,2541175.360000000335276,2500592.970000000204891,10088992.919999999925494
FS( 18 ),2515200.549999999813735,2524765.399999999906868,2532698.080000000540167,2497628.119999999646097,10070292.149999998509884
FS( 19 ),2519492.470000000204891,2530168.759999999776483,2539156.959999999962747,2509487.520000000018626,10098305.710000000894070
FS( 20 ),2571710.830000000540167,2545253.139999999664724,2536331.200000000186265,2516010.189999999944121,10169305.360000001266599
FS( 21 ),2577433.390000000130385,2533545.859999999869615,2521395.040000000502914,2515417.220000000204891,10147791.510000001639128
FS( 22 ),2574035.620000000111759,2548179.959999999962747,2516147.200000000186265,2526090.680000000167638,10164453.460000000894070
FS( 23 ),2569207.209999999962747,2552907.899999999906868,2513926.959999999962747,2516603.159999999683350,10152645.229999998584390
