代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10575108.429999999701977
真實報酬,575108.429999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,28474.950477351929294
風險,28240.129464616697078
起點值,1.008315153548763
找到最佳解世代,2411
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
BA[2](5),MCD[15](9),MSFT[18](3),UNH[23](7),UTX[24](19),V[25](1),WBA[27](10),
Stock#,BA[2](5),MCD[15](9),MSFT[18](3),UNH[23](7),UTX[24](19),V[25](1),WBA[27](10),
張數,7193,9367,20956,7653,11701,15303,18284,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,113.129999999888241,103.500000000000000,0.479999999981374,138.550000000046566,112.919999999925494,35.950000000186265,42.080000000074506,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1451732.459999999962747,1433910.189999999944121,1447640.959999999962747,1440815.800000000046566,1436878.709999999962747,1438670.980000000214204,1437895.840000000083819,10087547.939999999478459
FS( 3 ),1449358.769999999785796,1434097.530000000027940,1436953.399999999906868,1430790.370000000111759,1426347.809999999823049,1427040.700000000186265,1421074.560000000055879,10025666.139999998733401
FS( 4 ),1455760.540000000037253,1463884.590000000083819,1455604.239999999757856,1438596.430000000167638,1434772.530000000027940,1437293.710000000195578,1416503.560000000055879,10102418.599999999627471
FS( 5 ),1467197.409999999916181,1456859.340000000083819,1466501.360000000102445,1430866.899999999906868,1440037.979999999981374,1455198.220000000204891,1410835.520000000018626,10127499.730000000447035
FS( 6 ),1483813.239999999990687,1451145.469999999972060,1466710.919999999925494,1423213.899999999906868,1445654.459999999962747,1460095.180000000167638,1413212.440000000176951,10143848.609999999403954
FS( 7 ),1485036.049999999813735,1466788.360000000102445,1491019.880000000121072,1428877.120000000111759,1447643.629999999888241,1471878.490000000223517,1417417.760000000009313,10208664.290000000968575
FS( 8 ),1483525.519999999785796,1452363.179999999934807,1504012.599999999860302,1419616.989999999990687,1440154.989999999757856,1468205.770000000251457,1426376.920000000158325,10194258.969999998807907
FS( 9 ),1499925.559999999823049,1454611.260000000009313,1525178.159999999916181,1430484.250000000000000,1444133.329999999841675,1483355.740000000223517,1442832.520000000018626,10280523.820000000298023
FS( 10 ),1503450.129999999888241,1454423.919999999925494,1537123.079999999841675,1426275.100000000093132,1440623.030000000027940,1481825.440000000176951,1447769.200000000186265,10291492.900000002235174
FS( 11 ),1497983.449999999953434,1442246.820000000065193,1536075.280000000027940,1430101.600000000093132,1435006.549999999813735,1493302.690000000176951,1438444.360000000102445,10273163.750000000000000
FS( 12 ),1516972.969999999739230,1441591.129999999888241,1547810.639999999897555,1448009.620000000111759,1440272.000000000000000,1503555.700000000186265,1454717.120000000111759,10352932.179999999701977
FS( 13 ),1512657.169999999925494,1444588.570000000065193,1555354.800000000046566,1465688.050000000046566,1432900.369999999878928,1501413.280000000260770,1459105.280000000027940,10371710.519999999552965
FS( 14 ),1526036.149999999674037,1441872.139999999897555,1546343.720000000204891,1467830.890000000130385,1445069.409999999916181,1524214.750000000000000,1442649.680000000167638,10394019.740000000223517
FS( 15 ),1526323.869999999878928,1422482.449999999953434,1542362.079999999841675,1461019.719999999972060,1440857.049999999813735,1535998.060000000288710,1455448.479999999981374,10384494.709999999031425
FS( 16 ),1528337.909999999916181,1490112.189999999944121,1554726.119999999878928,1457269.750000000000000,1409147.339999999850988,1530182.920000000158325,1463859.120000000111759,10433638.350000001490116
FS( 17 ),1679318.979999999748543,1466132.669999999925494,1551792.280000000027940,1459948.300000000046566,1398850.459999999962747,1543343.500000000000000,1438627.200000000186265,10538016.390000000596046
FS( 18 ),1733626.129999999888241,1470254.149999999906868,1533141.439999999944121,1446019.840000000083819,1388904.609999999869615,1523755.660000000149012,1440455.600000000093132,10536160.429999999701977
FS( 19 ),1735568.239999999990687,1459950.449999999953434,1530626.720000000204891,1463009.500000000000000,1391010.790000000037253,1517328.400000000372529,1455814.160000000149012,10553311.260000001639128
FS( 20 ),1744127.909999999916181,1453299.879999999888241,1523501.679999999934807,1468060.479999999981374,1387500.489999999757856,1523602.630000000121072,1475012.360000000102445,10575108.429999999701977
