代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10500960.150000002235174
真實報酬,500960.150000002235174

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,27274.842914527365792
風險,49030.094180225285527
起點值,0.556287793661384
找到最佳解世代,1540
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](5),BA[2](4),GS[8](1),KO[14](9),
Stock#,AAPL[0](5),BA[2](4),GS[8](1),KO[14](9),
張數,22218,18885,15521,59481,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,30.640000000130385,3.700000000186265,32.530000000260770,13.569999999832362,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2510664.640000000130385,2497544.950000000186265,2518625.200000000651926,2488698.609999999869615,10015533.400000000372529
FS( 3 ),2511775.540000000037253,2543057.800000000279397,2582726.930000000167638,2486914.180000000167638,10124474.449999999254942
FS( 4 ),2530438.660000000149012,2538525.399999999906868,2594367.680000000167638,2480966.080000000074506,10144297.820000000298023
FS( 5 ),2534215.720000000204891,2527760.950000000186265,2635963.960000000428408,2482155.699999999720603,10180096.330000000074506
FS( 6 ),2578429.540000000037253,2565342.100000000093132,2654744.370000000111759,2482155.699999999720603,10280671.710000000894070
FS( 7 ),2583984.040000000037253,2525683.600000000558794,2623702.370000000111759,2470854.309999999590218,10204224.320000000298023
FS( 8 ),2607090.760000000242144,2514730.300000000279397,2627737.830000000540167,2485129.750000000000000,10234688.640000000596046
FS( 9 ),2599092.280000000260770,2518885.000000000000000,2598558.350000000093132,2483940.129999999888241,10200475.760000001639128
FS( 10 ),2613533.979999999981374,2521151.200000000186265,2646673.450000000651926,2478586.839999999850988,10259945.470000000670552
FS( 11 ),2611756.540000000037253,2530593.700000000186265,2623081.530000000260770,2474423.169999999925494,10239854.940000001341105
FS( 12 ),2609979.100000000093132,2551367.200000000186265,2679422.760000000242144,2496431.139999999664724,10337200.199999999254942
FS( 13 ),2602202.800000000279397,2571763.000000000465661,2708602.240000000223517,2501189.619999999646097,10383757.660000000149012
FS( 14 ),2600869.720000000204891,2565342.100000000093132,2708602.240000000223517,2494051.899999999906868,10368865.960000000894070
FS( 15 ),2590649.439999999944121,2561376.250000000000000,2711085.600000000093132,2505948.100000000093132,10369059.389999998733401
FS( 16 ),2613978.340000000316650,2595746.950000000186265,2718070.050000000279397,2531524.930000000167638,10459320.270000001415610
FS( 17 ),2627309.140000000130385,2625396.400000000372529,2724744.080000000540167,2530335.309999999590218,10507784.929999999701977
FS( 18 ),2568209.260000000242144,2748526.600000000093132,2748336.000000000000000,2524387.209999999497086,10589459.070000000298023
FS( 19 ),2543547.280000000260770,2706413.050000000279397,2758890.280000000260770,2505353.289999999571592,10514203.900000000372529
FS( 20 ),2526661.600000000093132,2700747.549999999813735,2749422.470000000204891,2511896.199999999720603,10488727.820000000298023
FS( 21 ),2522662.360000000335276,2689794.250000000465661,2766495.570000000298023,2522007.969999999739230,10500960.150000002235174
