代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10558545.949999999254942
真實報酬,558545.949999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,29654.680380549649271
風險,35459.653973908789339
起點值,0.836293563450155
找到最佳解世代,2234
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,2
CAT[3](1),WMT[28](10),
Stock#,CAT[3](1),WMT[28](10),
張數,49741,67990,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,34.680000000633299,15.399999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5064165.890000000596046,5000000.000000000000000,10064165.890000000596046
FS( 3 ),5048746.180000000633299,4986402.000000000000000,10035148.179999999701977
FS( 4 ),5048248.770000000484288,5044873.399999999441206,10093122.169999999925494
FS( 5 ),5070632.220000000670552,5027875.899999999441206,10098508.120000001043081
FS( 6 ),5137285.160000001080334,5076828.699999999254942,10214113.859999999403954
FS( 7 ),5197969.180000000633299,5055751.799999999813735,10253720.980000000447035
FS( 8 ),5189513.210000000894070,5046233.199999999254942,10235746.410000000149012
FS( 9 ),5230798.240000000223517,5033315.099999999627471,10264113.339999999850988
FS( 10 ),5255668.740000000223517,5057791.499999999068677,10313460.239999998360872
FS( 11 ),5259648.020000000484288,5024476.399999999441206,10284124.419999999925494
FS( 12 ),5321326.860000001266599,5064590.499999999068677,10385917.359999999403954
FS( 13 ),5337243.980000000447035,5091106.599999998696148,10428350.579999998211861
FS( 14 ),5357140.380000000819564,5096545.799999998882413,10453686.179999999701977
FS( 15 ),5370570.450000000186265,5136659.899999999441206,10507230.349999999627471
FS( 16 ),5337741.390000000596046,5148898.099999999627471,10486639.490000000223517
FS( 17 ),5370570.450000000186265,5146178.499999999068677,10516748.949999999254942
FS( 18 ),5375047.140000000596046,5134620.199999999254942,10509667.339999999850988
FS( 19 ),5399420.230000000447035,5157056.899999999441206,10556477.129999998956919
FS( 20 ),5404394.330000001005828,5160456.399999999441206,10564850.730000000447035
FS( 21 ),5425285.550000000745058,5133260.399999999441206,10558545.949999999254942
