代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10742690.310000002384186
真實報酬,742690.310000002384186

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,36111.269678524404299
風險,30076.118511716707872
起點值,1.200662567693255
找到最佳解世代,2089
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](9),IBM[10](15),JNJ[12](1),PFE[20](4),UTX[24](2),
Stock#,AAPL[0](9),IBM[10](15),JNJ[12](1),PFE[20](4),UTX[24](2),
張數,34211,10455,23086,71994,21110,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,24.939999999944121,167.600000000093132,59.820000000065193,6.679999999934807,38.600000000093132,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2045158.520000000018626,2002300.100000000093132,1998614.839999999850988,1994240.479999999981374,1980156.600000000093132,10020470.539999999105930
FS( 3 ),2056448.149999999906868,2020596.350000000093132,2003462.900000000139698,1990640.779999999795109,1999788.900000000139698,10070937.080000000074506
FS( 4 ),2040026.870000000111759,2038160.750000000232831,2028626.640000000130385,2013678.859999999869615,2037786.900000000139698,10158280.019999999552965
FS( 5 ),2028395.129999999888241,2038683.500000000000000,2045248.560000000055879,2025197.899999999906868,2047286.400000000139698,10184811.490000000223517
FS( 6 ),2064316.680000000167638,2000209.100000000325963,2051943.500000000000000,2041036.580000000074506,2069240.800000000046566,10226746.660000000149012
FS( 7 ),2056106.040000000037253,2010141.350000000093132,2060254.459999999962747,2047516.040000000037253,2064385.500000000232831,10238403.390000000596046
FS( 8 ),2088264.379999999888241,2015891.600000000325963,2070181.440000000176951,2071274.059999999823049,2104494.500000000000000,10350105.980000000447035
FS( 9 ),2084501.169999999925494,2008259.449999999953434,2077568.959999999962747,2074153.819999999832362,2107449.899999999906868,10351933.300000000745058
FS( 10 ),2088948.600000000093132,2028437.600000000093132,2087034.220000000204891,2072713.939999999944121,2116105.000000000000000,10393239.359999999403954
FS( 11 ),2102633.000000000000000,2026869.350000000093132,2087034.220000000204891,2064794.599999999860302,2110827.500000000000000,10392158.669999999925494
FS( 12 ),2102975.109999999869615,2034187.850000000325963,2080801.000000000000000,2064794.599999999860302,2129193.200000000186265,10411951.759999999776483
FS( 13 ),2110159.419999999925494,2070153.050000000279397,2081724.440000000176951,2051115.739999999757856,2139326.000000000000000,10452478.650000000372529
FS( 14 ),2076974.750000000000000,2023628.300000000046566,2129281.600000000558794,2094312.139999999897555,2163391.400000000372529,10487588.190000001341105
FS( 15 ),2083474.839999999850988,2029378.550000000046566,2130435.900000000372529,2113030.580000000074506,2155580.700000000186265,10511900.570000000298023
FS( 16 ),2047895.399999999906868,2038683.500000000000000,2133667.940000000409782,2118070.160000000149012,2219121.800000000279397,10557438.800000000745058
FS( 17 ),2152923.169999999925494,2055725.150000000139698,2132282.780000000260770,2107991.000000000000000,2216377.500000000000000,10665299.600000001490116
FS( 18 ),2143001.979999999981374,2062102.700000000186265,2137130.839999999850988,2101511.540000000037253,2212155.500000000000000,10655902.559999998658895
FS( 19 ),2155317.939999999944121,2063461.850000000093132,2143133.200000000186265,2114470.459999999962747,2215955.300000000279397,10692338.750000000000000
FS( 20 ),2188502.609999999869615,2051543.150000000139698,2151905.879999999888241,2126709.439999999478459,2218066.299999999813735,10736727.379999998956919
FS( 21 ),2215529.300000000279397,2049452.149999999906868,2150982.440000000409782,2136068.660000000149012,2228621.299999999813735,10780653.850000001490116
FS( 22 ),2211766.090000000316650,2039310.800000000046566,2158600.820000000298023,2104391.299999999813735,2228621.299999999813735,10742690.310000002384186
