代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10903655.939999999478459
真實報酬,903655.939999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,47470.987198380586051
風險,36783.093949049529328
起點值,1.290565368539566
找到最佳解世代,1897
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
DIS[6](6),HD[9](16),MRK[17](5),NKE[19](1),UNH[23](23),VZ[26](30),XOM[29](15),
Stock#,DIS[6](6),HD[9](16),MRK[17](5),NKE[19](1),UNH[23](23),VZ[26](30),XOM[29](15),
張數,20411,19024,27430,40309,20194,30781,15864,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,5.110000000102445,58.839999999850988,16.600000000093132,20.040000000037253,47.440000000176951,24.790000000037253,17.800000000046566,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1450206.660000000149012,1426288.119999999878928,1467795.900000000139698,1421315.379999999888241,1423926.380000000353903,1441191.209999999962747,1428095.080000000074506,10058821.730000002309680
FS( 3 ),1464698.470000000204891,1431805.079999999841675,1468344.500000000232831,1422927.739999999990687,1430186.520000000018626,1437189.679999999934807,1421114.919999999925494,10076269.910000000149012
FS( 4 ),1542260.270000000251457,1448926.679999999701977,1474927.700000000186265,1441469.879999999888241,1431196.220000000204891,1436881.870000000111759,1424605.000000000000000,10200270.620000001043081
FS( 5 ),1544505.480000000214204,1454443.639999999897555,1502357.700000000186265,1465252.190000000176951,1441091.280000000260770,1440883.400000000139698,1436978.919999999925494,10285515.610000001266599
FS( 6 ),1572876.770000000251457,1453682.679999999701977,1505649.300000000046566,1464849.100000000093132,1408377.000000000000000,1443961.500000000000000,1420163.080000000074506,10269562.429999999701977
FS( 7 ),1587776.800000000279397,1459199.639999999897555,1527867.600000000093132,1491049.950000000186265,1426147.720000000204891,1453195.800000000046566,1441103.560000000055879,10386344.070000002160668
FS( 8 ),1590226.120000000111759,1470233.559999999823049,1508666.600000000093132,1493871.580000000074506,1418474.000000000000000,1458120.760000000009313,1444910.919999999925494,10384506.539999999105930
FS( 9 ),1590022.010000000242144,1476131.000000000000000,1511409.600000000093132,1509189.000000000000000,1438062.179999999934807,1456273.900000000139698,1450463.320000000065193,10431554.009999999776483
FS( 10 ),1617168.640000000130385,1482599.159999999916181,1520735.800000000046566,1512816.810000000055879,1484710.320000000065193,1431649.099999999860302,1492978.840000000083819,10542661.669999999925494
FS( 11 ),1624312.489999999990687,1475750.519999999785796,1527593.300000000046566,1515638.440000000176951,1490970.460000000195578,1415335.169999999925494,1492344.280000000027940,10541947.659999998286366
FS( 12 ),1609820.680000000167638,1454443.639999999897555,1509763.800000000046566,1507979.729999999981374,1485316.140000000130385,1432264.719999999972060,1490440.600000000093132,10490032.310000000521541
FS( 13 ),1616352.199999999953434,1474038.359999999869615,1530884.900000000139698,1523297.149999999906868,1483902.560000000288710,1481206.510000000009313,1512967.480000000214204,10622652.160000000149012
FS( 14 ),1635538.540000000037253,1478984.599999999860302,1536919.500000000232831,1541436.200000000186265,1490566.580000000307336,1455042.660000000149012,1507573.719999999972060,10646064.800000000745058
FS( 15 ),1647785.140000000130385,1481457.719999999972060,1541034.000000000000000,1568846.320000000065193,1534993.380000000353903,1423030.419999999925494,1529941.959999999962747,10727091.940000001341105
FS( 16 ),1637171.419999999925494,1540622.359999999869615,1533627.899999999906868,1574489.580000000074506,1521059.520000000018626,1424877.280000000027940,1527879.640000000130385,10759730.699999999254942
FS( 17 ),1634517.989999999990687,1554319.639999999897555,1543502.700000000186265,1580535.930000000167638,1536003.080000000307336,1426724.140000000130385,1519630.360000000102445,10795236.839999999850988
FS( 18 ),1642682.390000000130385,1559456.119999999878928,1554200.399999999906868,1572474.129999999888241,1535195.320000000065193,1462122.290000000037253,1520423.560000000055879,10846557.210000000894070
FS( 19 ),1649418.020000000251457,1560597.559999999823049,1563252.300000000046566,1578117.389999999897555,1560437.820000000065193,1464584.770000000018626,1527245.080000000074506,10903655.939999999478459
