代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10686541.240000002086163
真實報酬,686541.240000002086163

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,37438.917393728246680
風險,50476.504557059786748
起點值,0.741709786013539
找到最佳解世代,2201
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,5
DIS[6](11),IBM[10](3),INTC[11](12),UNH[23](2),XOM[29](1),
Stock#,DIS[6](11),IBM[10](3),INTC[11](12),UNH[23](2),XOM[29](1),
張數,52882,13561,95923,53864,26827,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,2.760000000009313,23.720000000204891,5.449999999953434,29.679999999934807,47.150000000139698,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2061871.940000000176951,2002169.760000000009313,2028776.899999999906868,2018313.759999999776483,2009389.450000000186265,10120521.809999998658895
FS( 3 ),2113167.480000000447035,1994168.770000000251457,2008633.070000000065193,2024777.440000000176951,2004024.050000000279397,10144770.810000002384186
FS( 4 ),2096774.059999999823049,2016001.980000000214204,1992326.159999999916181,2066791.359999999869615,2016901.010000000242144,10188794.570000000298023
FS( 5 ),2086197.660000000149012,2006102.450000000186265,1981774.629999999888241,2071100.479999999981374,2027900.080000000307336,10173075.300000000745058
FS( 6 ),2088841.760000000009313,2002169.760000000009313,1984652.320000000065193,2071100.479999999981374,2015559.659999999916181,10162323.980000000447035
FS( 7 ),2083553.559999999823049,1997287.800000000279397,2019184.600000000093132,2105034.799999999813735,2030582.780000000027940,10235643.540000000968575
FS( 8 ),2071390.700000000186265,2021968.820000000065193,2043165.350000000093132,2093184.719999999972060,2054458.810000000055879,10284168.400000000372529
FS( 9 ),2076150.079999999841675,2018171.740000000223517,2042206.119999999878928,2133044.080000000074506,2057946.320000000065193,10327518.339999999850988
FS( 10 ),2077736.540000000037253,2034173.720000000204891,2022062.289999999804422,2196064.959999999962747,2088260.830000000307336,10418298.339999999850988
FS( 11 ),2083024.739999999990687,2042988.370000000344589,2022062.289999999804422,2201990.000000000000000,2111600.320000000298023,10461665.720000000670552
FS( 12 ),2067160.140000000130385,2111335.810000000055879,2015347.680000000167638,2184753.520000000484288,2098991.629999999888241,10477588.780000001192093
FS( 13 ),2071390.700000000186265,2112827.520000000484288,2009592.299999999813735,2171287.520000000484288,2085846.400000000139698,10450944.440000001341105
FS( 14 ),2101533.440000000409782,2108759.220000000204891,1997122.310000000055879,2176673.919999999925494,2118843.610000000335276,10502932.500000000000000
FS( 15 ),2112109.839999999850988,2164766.150000000372529,2037409.969999999739230,2144355.520000000484288,2108381.080000000074506,10567022.560000000521541
FS( 16 ),2107879.280000000260770,2189311.560000000055879,2067146.100000000093132,2187985.359999999403954,2110795.510000000707805,10663117.809999998658895
FS( 17 ),2085668.839999999850988,2183887.160000000149012,2086330.699999999953434,2168055.679999999701977,2137085.969999999739230,10661028.349999997764826
FS( 18 ),2086726.479999999981374,2184293.990000000223517,2086330.699999999953434,2277938.240000000223517,2142987.910000000149012,10778277.320000000298023
FS( 19 ),2054468.460000000195578,2159070.530000000260770,2058513.030000000027940,2204683.200000000186265,2119111.879999999888241,10595847.100000001490116
FS( 20 ),2055526.099999999860302,2196905.720000000204891,2058513.030000000027940,2211146.879999999888241,2164449.510000000707805,10686541.240000002086163
