代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10371975.879999998956919
真實報酬,371975.879999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,26108.967200241615501
風險,135975.094087754056090
起點值,0.192012863645395
找到最佳解世代,1844
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
GS[8](1),TRV[22](2),
Stock#,GS[8](1),TRV[22](2),
張數,42786,72390,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.040000000037253,22.700000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5016686.540000000037253,4973215.700000000186265,9989902.240000000223517
FS( 3 ),5044925.299999999813735,4995656.600000000558794,10040581.900000000372529
FS( 4 ),5130069.440000000409782,5015201.900000000372529,10145271.339999999850988
FS( 5 ),5104825.700000000186265,5035471.100000000558794,10140296.800000000745058
FS( 6 ),5111243.599999999627471,5034023.300000000745058,10145266.900000000372529
FS( 7 ),5118517.219999999739230,5018097.500000000000000,10136614.719999998807907
FS( 8 ),5137770.919999999925494,5023888.700000000186265,10161659.620000001043081
FS( 9 ),5219492.179999999701977,5006515.099999999627471,10226007.279999999329448
FS( 10 ),5142905.240000000223517,4974663.500000000000000,10117568.740000000223517
FS( 11 ),5326885.040000000037253,5052120.800000000745058,10379005.839999999850988
FS( 12 ),5272118.959999999962747,5102793.799999999813735,10374912.759999999776483
FS( 13 ),5344855.160000000149012,5167220.899999999441206,10512076.059999998658895
FS( 14 ),5354695.940000000409782,5352539.299999999813735,10707235.240000000223517
FS( 15 ),5289233.360000000335276,5321411.600000000558794,10610644.960000000894070
FS( 16 ),5252865.259999999776483,5356158.799999999813735,10609024.059999998658895
FS( 17 ),5091562.040000000037253,5312000.899999999441206,10403562.939999999478459
FS( 18 ),5124507.259999999776483,5297522.900000000372529,10422030.160000000149012
FS( 19 ),5122367.959999999962747,5220789.500000000931323,10343157.460000000894070
FS( 20 ),5110387.879999999888241,5180251.100000000558794,10290638.980000000447035
FS( 21 ),5236606.580000000074506,5135369.299999999813735,10371975.879999998956919
