代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10359794.169999999925494
真實報酬,359794.169999999925494

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19249.013032938055403
風險,42225.107736427700729
起點值,0.455866522664474
找到最佳解世代,1920
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),INTC[11](12),JNJ[12](3),V[25](9),VZ[26](7),
Stock#,DIS[6](1),INTC[11](12),JNJ[12](3),V[25](9),VZ[26](7),
張數,65082,101729,31491,96432,66137,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,30.139999999897555,7.859999999869615,6.590000000083819,0.320000000065193,17.120000000111759,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2003904.919999999925494,2006103.739999999757856,2011651.670000000158325,1982642.239999999990687,2019179.730000000214204,10023482.300000000745058
FS( 3 ),1973967.199999999720603,2021363.090000000083819,2020469.149999999906868,1929604.640000000130385,2021163.840000000083819,9966567.919999999925494
FS( 4 ),2007159.019999999785796,2081383.199999999953434,2026767.350000000093132,1935390.560000000055879,2021825.210000000195578,10072525.340000001713634
FS( 5 ),2017572.139999999897555,2072227.590000000083819,2027082.260000000242144,1926711.680000000167638,2056216.450000000186265,10099810.120000001043081
FS( 6 ),1996745.899999999906868,2033570.569999999599531,2023303.340000000083819,1928640.320000000065193,2064814.260000000009313,10047074.390000000596046
FS( 7 ),1998047.539999999804422,2035605.150000000139698,2027397.169999999925494,1971070.400000000139698,2058861.929999999934807,10090982.189999999478459
FS( 8 ),2037096.739999999990687,2049847.209999999729916,2039678.659999999916181,1984570.879999999888241,2081348.510000000009313,10192542.000000000000000
FS( 9 ),2063129.539999999804422,2024414.959999999729916,2042197.939999999944121,1961427.199999999953434,2085978.100000000093132,10177147.740000000223517
FS( 10 ),2071590.199999999720603,2032553.280000000027940,2045661.949999999953434,2043394.400000000139698,2074734.810000000288710,10267934.640000000596046
FS( 11 ),2094368.899999999906868,2014242.060000000055879,2038733.929999999934807,2077145.600000000093132,2041004.940000000176951,10265495.429999999701977
FS( 12 ),2110639.399999999441206,1971515.879999999655411,2040623.389999999897555,2098360.640000000596046,2022486.580000000074506,10243625.890000000596046
FS( 13 ),2078098.399999999906868,1939979.889999999897555,2030231.360000000102445,2098360.640000000596046,2029100.280000000027940,10175770.570000000298023
FS( 14 ),2079400.039999999804422,1996948.129999999655411,2027082.260000000242144,2144648.000000000000000,2028438.910000000149012,10276517.339999999850988
FS( 15 ),2108686.939999999478459,2043743.469999999739230,2025822.620000000111759,2109932.479999999515712,2041666.310000000288710,10329851.819999998435378
FS( 16 ),2102829.559999999590218,2038657.019999999785796,2032120.820000000065193,2081002.879999999888241,2052909.600000000093132,10307519.879999998956919
FS( 17 ),2110639.399999999441206,2044760.760000000009313,2033380.459999999962747,2077145.600000000093132,2054893.710000000195578,10320819.929999999701977
FS( 18 ),2101527.919999999925494,2068158.429999999701977,2037474.290000000270084,2080038.560000000055879,2062830.150000000139698,10350029.349999999627471
FS( 19 ),2076796.760000000009313,2065106.560000000055879,2045032.130000000121072,2091610.400000000139698,2070766.590000000083819,10349312.440000001341105
FS( 20 ),2107385.299999999813735,2075279.459999999729916,2045032.130000000121072,2122468.640000000596046,2066798.370000000111759,10416963.900000000372529
FS( 21 ),2100877.099999999627471,2094607.969999999739230,2044087.399999999906868,2125361.599999999627471,2066798.370000000111759,10431732.439999997615814
FS( 22 ),2098924.639999999664724,2075279.459999999729916,2028341.899999999906868,2108968.160000000149012,2048280.010000000009313,10359794.169999999925494
