代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10526936.410000000149012
真實報酬,526936.410000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24182.646230746002402
風險,18437.910940756264608
起點值,1.311571918773685
找到最佳解世代,2482
找到最佳解實驗#,1
找到最佳解次數,15

stock[index](rank)
投資組合檔數,7
AAPL[0](2),DD[7](12),KO[14](14),MCD[15](4),MSFT[18](8),PG[21](15),V[25](5),
Stock#,AAPL[0](2),DD[7](12),KO[14](14),MCD[15](4),MSFT[18](8),PG[21](15),V[25](5),
張數,7470,18433,30577,7583,12002,13783,9084,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,8.199999999953434,13.500000000000000,13.560000000055879,9.630000000121072,92.959999999962747,100.879999999888241,21.160000000149012,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1449337.600000000093132,1424147.080000000074506,1423984.449999999953434,1428267.680000000167638,1430611.339999999850988,1430087.129999999888241,1433294.680000000167638,10019732.960000000894070
FS( 3 ),1459272.699999999953434,1457695.139999999897555,1412059.420000000158325,1428267.680000000167638,1439972.899999999906868,1429260.149999999906868,1439471.800000000279397,10066002.790000000968575
FS( 4 ),1461812.500000000000000,1474469.169999999925494,1421232.520000000018626,1439793.840000000083819,1432651.679999999934807,1425676.570000000065193,1432022.919999999925494,10087662.199999999254942
FS( 5 ),1471598.199999999953434,1479077.419999999925494,1420926.750000000000000,1446163.560000000288710,1439012.739999999990687,1428708.830000000074506,1432113.760000000242144,10117604.259999999776483
FS( 6 ),1494755.199999999953434,1488478.250000000000000,1423372.909999999916181,1439642.180000000167638,1439492.820000000065193,1446902.389999999897555,1433022.160000000149012,10165668.910000002011657
FS( 7 ),1490273.199999999953434,1491611.860000000102445,1427042.150000000139698,1441386.270000000251457,1431691.520000000018626,1442629.659999999916181,1430660.320000000298023,10155297.980000000447035
FS( 8 ),1498639.600000000093132,1502487.330000000074506,1426124.840000000083819,1434864.890000000130385,1442613.339999999850988,1442491.830000000074506,1440380.200000000186265,10187605.030000001192093
FS( 9 ),1486164.699999999953434,1517786.719999999972060,1428265.229999999981374,1432286.670000000158325,1444293.619999999878928,1443870.129999999888241,1434021.400000000372529,10186691.470000000670552
FS( 10 ),1485567.100000000093132,1540459.309999999823049,1429182.540000000037253,1452912.430000000167638,1451734.860000000102445,1448142.859999999869615,1450190.919999999925494,10258193.020000001415610
FS( 11 ),1488256.299999999813735,1518155.379999999888241,1437132.560000000055879,1454808.180000000167638,1452935.059999999823049,1457377.469999999972060,1457458.120000000111759,10266126.070000000298023
FS( 12 ),1488405.699999999953434,1527924.870000000111759,1435603.710000000195578,1453670.729999999981374,1449574.500000000000000,1466887.739999999990687,1455550.479999999981374,10277620.730000000447035
FS( 13 ),1517389.299999999813735,1529768.169999999925494,1445694.120000000111759,1452988.260000000242144,1461576.500000000000000,1459031.429999999701977,1457458.120000000111759,10323908.899999998509884
FS( 14 ),1522842.400000000139698,1522026.309999999823049,1451809.520000000018626,1478012.160000000149012,1480779.699999999953434,1461788.029999999795109,1454914.600000000093132,10372175.720000000670552
FS( 15 ),1527847.300000000046566,1495482.789999999804422,1449363.360000000102445,1470504.989999999990687,1485460.479999999981374,1461236.709999999962747,1457094.760000000242144,10346993.389999998733401
FS( 16 ),1549883.799999999813735,1494008.149999999906868,1474130.729999999981374,1480666.209999999962747,1505623.839999999850988,1421955.159999999916181,1468540.600000000093132,10394811.489999998360872
FS( 17 ),1547493.399999999906868,1494376.809999999823049,1467098.020000000018626,1498637.920000000158325,1500462.979999999981374,1429260.149999999906868,1466996.320000000298023,10404328.600000001490116
FS( 18 ),1533449.800000000046566,1467464.629999999888241,1462817.240000000223517,1500912.820000000065193,1550151.260000000009313,1423609.119999999878928,1462726.840000000316650,10401134.709999999031425
FS( 19 ),1526129.199999999953434,1482948.350000000093132,1475659.580000000074506,1497045.489999999990687,1559032.739999999757856,1459169.259999999776483,1480077.280000000260770,10480064.899999998509884
FS( 20 ),1528444.900000000139698,1481473.710000000195578,1480551.900000000139698,1494770.590000000083819,1557592.500000000000000,1444283.619999999878928,1491159.760000000242144,10478279.980000000447035
FS( 21 ),1499013.099999999860302,1500644.030000000027940,1500121.180000000167638,1498182.940000000176951,1567554.159999999916181,1467714.719999999972060,1493703.280000000260770,10526936.410000000149012
