代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12784649.439999999478459
真實報酬,2784649.439999999478459

夏普值報酬,0.269764944000000
夏普值風險,0.095169974611524
夏普值,2.834559377588975

二次趨勢線,74.893648275197478 x^2 + -6324.228969180849163 x + 10000000.000000000000000
二次平均預期報酬,12623.864044444109823
風險,201084.685390992963221
二次平均趨勢值,0.062778843748832
一次趨勢線,7858.700058839422127 x + 10000000.000000000000000
一次預期報酬,7858.700058839422127
一次風險,570956.764688323950395
一次趨勢值,0.013764089585889
找到最佳解世代,1329
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),HD[9](1),NKE[19](4),PG[21](6),UNH[23](3),
Stock#,AAPL[0](5),HD[9](1),NKE[19](4),PG[21](6),UNH[23](3),
張數,25310,24384,51124,24832,26820,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,3.800000000046566,24.320000000065193,29.120000000111759,30.719999999739230,32.600000000093132,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1955960.600000000093132,1996830.080000000074506,1994887.600000000325963,1997765.119999999878928,2014214.599999999860302,9959658.000000000000000
FS( 3 ),1966590.800000000046566,1977566.719999999972060,1979550.400000000139698,2002483.199999999720603,1991149.399999999906868,9917340.519999999552965
FS( 4 ),1952670.300000000279397,1987320.320000000065193,1980572.880000000121072,2021852.159999999683350,2052030.800000000279397,9994446.460000000894070
FS( 5 ),1965072.199999999953434,1997805.440000000176951,1970859.320000000065193,1992550.399999999674037,2028161.000000000232831,9954448.359999999403954
FS( 6 ),1940015.300000000279397,1989027.199999999953434,1970859.320000000065193,1997020.159999999683350,2040498.199999999953434,9937420.179999999701977
FS( 7 ),1926854.099999999860302,1999756.160000000149012,1966258.160000000149012,1994040.319999999599531,2003486.600000000093132,9890395.339999999850988
FS( 8 ),1936978.100000000093132,1974396.800000000046566,1921780.280000000260770,1986839.039999999804422,1983103.400000000139698,9803097.620000001043081
FS( 9 ),1975702.400000000139698,1975372.160000000149012,1921780.280000000260770,2008194.559999999823049,1985249.000000000000000,9866298.400000000372529
FS( 10 ),2015186.000000000232831,1976835.199999999953434,1928426.400000000139698,2006208.000000000000000,2007241.400000000139698,9933897.000000000000000
FS( 11 ),2004049.600000000325963,1981468.160000000149012,1912066.719999999972060,2000496.639999999897555,1951455.800000000279397,9849536.919999999925494
FS( 12 ),1954948.199999999953434,1975128.320000000065193,1876279.920000000158325,1983610.879999999655411,1945019.000000000000000,9734986.320000000298023
FS( 13 ),1985320.199999999953434,1961960.959999999962747,1885482.240000000223517,1991060.479999999981374,1962183.800000000046566,9786007.680000001564622
FS( 14 ),1994178.700000000186265,1955621.120000000111759,1878836.120000000111759,1967470.079999999841675,1968620.600000000325963,9764726.620000001043081
FS( 15 ),2010883.300000000046566,1956596.479999999981374,1859409.000000000000000,1942886.399999999674037,1963256.600000000093132,9733031.779999999329448
FS( 16 ),1974436.900000000139698,1930261.760000000009313,1831802.040000000037253,1966228.479999999981374,1920344.599999999860302,9623073.779999999329448
FS( 17 ),1990382.199999999953434,1924897.280000000027940,1837936.920000000158325,1948597.759999999776483,1921685.600000000325963,9623499.759999999776483
FS( 18 ),1831435.400000000139698,1915143.680000000167638,1858386.520000000251457,1964490.239999999757856,1923294.799999999813735,9492750.640000000596046
FS( 19 ),1810681.200000000186265,1869789.440000000176951,1834869.480000000214204,1927987.199999999720603,1911225.800000000279397,9354553.120000001043081
FS( 20 ),1807137.800000000279397,1875885.440000000176951,1890083.400000000139698,1908866.559999999823049,1952528.600000000093132,9434501.800000000745058
FS( 21 ),1809921.900000000139698,1873934.719999999972060,1861965.200000000186265,1902658.559999999823049,1938582.200000000186265,9387062.580000000074506
FS( 22 ),1813465.300000000279397,1831018.880000000121072,1811863.679999999934807,1879813.119999999878928,1897279.399999999906868,9233440.380000000819564
FS( 23 ),1839534.600000000325963,1828092.800000000046566,1802661.360000000102445,1889497.599999999860302,1891110.800000000279397,9250897.160000000149012
FS( 24 ),1853455.100000000093132,1835164.160000000149012,1804706.320000000065193,1898437.119999999878928,1899425.000000000000000,9291187.699999999254942
FS( 25 ),1853202.000000000000000,1857109.760000000009313,1828223.360000000102445,1909611.519999999785796,1900766.000000000232831,9348912.640000000596046
