代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14085785.660000000149012
真實報酬,4085785.660000000149012

夏普值報酬,0.399878566000000
夏普值風險,0.103563415663971
夏普值,3.861195224551808

二次趨勢線,5.633827115545239 x^2 + 14869.421064386628132 x + 10000000.000000000000000
二次平均預期報酬,16294.779324619570616
風險,276286.551610235881526
二次平均趨勢值,0.058977822951032
一次趨勢線,15936.322890858031315 x + 10000000.000000000000000
一次預期報酬,15936.322890858031315
一次風險,279195.521172134554945
一次趨勢值,0.057079436030898
找到最佳解世代,1284
找到最佳解實驗#,2
找到最佳解次數,6

stock[index](rank)
投資組合檔數,2
MSFT[18](2),V[25](1),
Stock#,MSFT[18](2),V[25](1),
張數,68889,49568,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,36.379999999888241,75.839999999850988,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4977955.520000000484288,5020322.879999999888241,9998278.400000000372529
FS( 3 ),4970377.730000000447035,4986120.959999999962747,9956498.690000001341105
FS( 4 ),5006888.900000000372529,5000991.360000000335276,10007880.260000001639128
FS( 5 ),4987599.980000000447035,5030732.159999999217689,10018332.140000000596046
FS( 6 ),5014466.690000000409782,5020322.879999999888241,10034789.570000000298023
FS( 7 ),4992422.209999999962747,5004956.799999999813735,9997379.009999999776483
FS( 8 ),4919399.870000000111759,4931596.159999999217689,9850996.029999999329448
FS( 9 ),4994488.879999999888241,4961336.959999999962747,9955825.839999999850988
FS( 10 ),5069577.889999999664724,5049568.000000000000000,10119145.890000000596046
FS( 11 ),5044088.959999999962747,5087239.679999999701977,10131328.640000000596046
FS( 12 ),5073711.230000000447035,5121441.599999999627471,10195152.830000000074506
FS( 13 ),4987599.980000000447035,5063942.719999999739230,10051542.699999999254942
FS( 14 ),4993799.989999999292195,5081291.520000000484288,10075091.509999999776483
FS( 15 ),4970377.730000000447035,5116484.799999999813735,10086862.530000001192093
FS( 16 ),5039955.620000000111759,5158617.599999999627471,10198573.219999998807907
FS( 17 ),5009644.459999999962747,5114502.080000000074506,10124146.539999999105930
FS( 18 ),5007577.790000000037253,5116484.799999999813735,10124062.589999999850988
FS( 19 ),5016533.359999999403954,5122928.639999999664724,10139462.000000000000000
FS( 20 ),5017222.250000000000000,5144242.879999999888241,10161465.129999998956919
FS( 21 ),5032377.830000000074506,5143747.199999999254942,10176125.029999999329448
FS( 22 ),5098511.270000000484288,5141764.480000000447035,10240275.750000000000000
FS( 23 ),5150866.909999999217689,5131355.199999999254942,10282222.109999999403954
FS( 24 ),5093689.040000000037253,5150191.040000000037253,10243880.080000000074506
FS( 25 ),5070955.669999999925494,5106075.520000000484288,10177031.190000001341105
FS( 26 ),5056488.980000000447035,5114502.080000000074506,10170991.060000000521541
FS( 27 ),5121244.639999999664724,5182905.919999999925494,10304150.559999998658895
FS( 28 ),5096444.600000000558794,5176462.080000000074506,10272906.679999999701977
FS( 29 ),5150178.020000000484288,5261719.040000000037253,10411897.060000000521541
FS( 30 ),5144666.900000000372529,5264693.119999999180436,10409360.019999999552965
FS( 31 ),5181178.069999999366701,5245857.279999999329448,10427035.349999997764826
FS( 32 ),5150866.909999999217689,5258249.279999999329448,10409116.189999997615814
FS( 33 ),5188066.969999999739230,5219586.239999999292195,10407653.209999999031425
FS( 34 ),5177733.620000000111759,5196289.279999999329448,10374022.899999998509884
FS( 35 ),5197022.540000000037253,5225038.719999999739230,10422061.259999999776483
FS( 36 ),5162578.040000000037253,5225038.719999999739230,10387616.759999999776483
FS( 37 ),5112289.069999999366701,5220081.919999999925494,10332370.989999998360872
FS( 38 ),5126066.870000000111759,5232473.919999999925494,10358540.789999999105930
FS( 39 ),5046844.520000000484288,5106571.199999999254942,10153415.719999998807907
FS( 40 ),5046844.520000000484288,5102605.759999999776483,10149450.280000001192093
