代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14365901.750000000000000
真實報酬,4365901.750000000000000

夏普值報酬,0.427890175000000
夏普值風險,0.121015851886411
夏普值,3.535819219796350

二次趨勢線,89.666366107255143 x^2 + -5096.987343970976326 x + 10000000.000000000000000
二次平均預期報酬,17498.936915057325677
風險,213856.365826754772570
二次平均趨勢值,0.081825653622269
一次趨勢線,11816.264114327505013 x + 10000000.000000000000000
一次預期報酬,11816.264114327505013
一次風險,669783.730071787023917
一次趨勢值,0.017641909744599
找到最佳解世代,2105
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),UNH[23](1),
Stock#,HD[9](2),UNH[23](1),
張數,60975,64850,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,50.000000000000000,65.000000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5053048.250000000000000,5066795.500000000000000,10119843.750000000000000
FS( 3 ),5055487.250000000000000,5057716.500000000000000,10113203.750000000000000
FS( 4 ),5024999.750000000000000,5035019.000000000000000,10060018.750000000000000
FS( 5 ),5033536.250000000000000,5019455.000000000000000,10052991.250000000000000
FS( 6 ),5010975.500000000000000,5050583.000000000000000,10061558.500000000000000
FS( 7 ),4956707.750000000000000,5044098.000000000000000,10000805.750000000000000
FS( 8 ),4912196.000000000000000,5032425.000000000000000,9944621.000000000000000
FS( 9 ),4804880.000000000000000,4994163.500000000000000,9799043.500000000000000
FS( 10 ),4840245.500000000000000,4909210.000000000000000,9749455.500000000000000
FS( 11 ),4852440.500000000000000,4977951.000000000000000,9830391.500000000000000
FS( 12 ),4867074.500000000000000,5058365.000000000000000,9925439.500000000000000
FS( 13 ),4862806.250000000000000,5185471.000000000000000,10048277.250000000000000
FS( 14 ),4883537.750000000000000,5287285.500000000000000,10170823.250000000000000
FS( 15 ),4903659.500000000000000,5274964.000000000000000,10178623.500000000000000
FS( 16 ),4857318.500000000000000,5271073.000000000000000,10128391.500000000000000
FS( 17 ),4845733.250000000000000,5259400.000000000000000,10105133.250000000000000
FS( 18 ),4809148.250000000000000,5287934.000000000000000,10097082.250000000000000
FS( 19 ),4797563.000000000000000,5254212.000000000000000,10051775.000000000000000
FS( 20 ),4800002.000000000000000,5293122.000000000000000,10093124.000000000000000
FS( 21 ),4825001.750000000000000,5317116.500000000000000,10142118.250000000000000
FS( 22 ),4840245.500000000000000,5307389.000000000000000,10147634.500000000000000
FS( 23 ),4875001.250000000000000,5292473.500000000000000,10167474.750000000000000
FS( 24 ),4841465.000000000000000,5333977.500000000000000,10175442.500000000000000
FS( 25 ),4800002.000000000000000,5287285.500000000000000,10087287.500000000000000
FS( 26 ),4703051.750000000000000,5258103.000000000000000,9961154.750000000000000
FS( 27 ),4701832.250000000000000,5230866.000000000000000,9932698.250000000000000
FS( 28 ),4741466.000000000000000,5278206.500000000000000,10019672.500000000000000
FS( 29 ),4681710.500000000000000,5187416.500000000000000,9869127.000000000000000
FS( 30 ),4615857.500000000000000,5119972.500000000000000,9735830.000000000000000
FS( 31 ),4632320.750000000000000,5134888.000000000000000,9767208.750000000000000
FS( 32 ),4627442.750000000000000,5156288.500000000000000,9783731.250000000000000
FS( 33 ),4669515.500000000000000,5070686.500000000000000,9740202.000000000000000
