代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13545748.449999997392297
真實報酬,3545748.449999997392297

夏普值報酬,0.345874845000000
夏普值風險,0.096232676870659
夏普值,3.594151760579940

二次趨勢線,2.136317986895962 x^2 + 15535.068031312839594 x + 10000000.000000000000000
二次平均預期報酬,16073.420164010620283
風險,205280.589214359060861
二次平均趨勢值,0.078299756569903
一次趨勢線,15938.029418908659864 x + 10000000.000000000000000
一次預期報酬,15938.029418908659864
一次風險,205836.849211649270728
一次趨勢值,0.077430399269863
找到最佳解世代,1444
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),HD[9](1),INTC[11](6),KO[14](13),PG[21](8),UNH[23](3),
Stock#,AAPL[0](2),HD[9](1),INTC[11](6),KO[14](13),PG[21](8),UNH[23](3),
張數,23261,22195,69589,44802,22016,23560,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,15.349999999860302,43.449999999953434,9.449999999953434,31.599999999860302,54.800000000046566,31.600000000093132,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1690624.830000000074506,1664002.599999999860302,1657619.429999999934807,1679210.559999999823049,1675252.240000000223517,1661247.200000000186265,10027960.859999999403954
FS( 3 ),1703418.379999999888241,1670439.150000000139698,1636742.729999999981374,1685034.819999999832362,1683178.000000000000000,1668550.800000000046566,10047367.880000000819564
FS( 4 ),1703185.769999999785796,1690414.649999999906868,1669449.559999999823049,1703851.659999999916181,1693085.200000000186265,1669728.800000000279397,10129719.640000000596046
FS( 5 ),1726911.989999999757856,1696851.199999999953434,1684759.139999999897555,1700267.500000000000000,1702111.760000000009313,1681273.200000000186265,10192178.789999999105930
FS( 6 ),1757849.119999999646097,1695963.399999999906868,1690326.260000000009313,1728044.739999999757856,1717963.280000000027940,1643106.000000000000000,10233256.799999998882413
FS( 7 ),1781110.119999999646097,1702399.949999999953434,1702852.279999999795109,1731180.879999999888241,1735796.240000000223517,1663838.800000000279397,10317182.269999999552965
FS( 8 ),1780877.510000000009313,1715273.050000000046566,1708419.399999999906868,1725356.619999999878928,1706074.639999999897555,1654886.000000000000000,10290891.220000000670552
FS( 9 ),1809255.929999999934807,1722153.500000000000000,1718857.750000000000000,1731628.899999999906868,1712899.600000000093132,1677739.199999999953434,10372538.879999998956919
FS( 10 ),1807627.659999999683350,1729699.800000000046566,1723033.090000000083819,1744173.459999999962747,1748125.200000000186265,1732162.800000000046566,10484826.010000001639128
FS( 11 ),1814373.349999999860302,1721709.599999999860302,1723033.090000000083819,1678762.539999999804422,1716642.320000000065193,1739466.400000000139698,10393991.300000000745058
FS( 12 ),1785762.319999999832362,1696851.199999999953434,1704939.949999999953434,1662185.799999999813735,1720385.040000000037253,1732869.600000000093132,10302997.909999998286366
FS( 13 ),1765060.029999999795109,1719712.050000000046566,1721641.309999999823049,1671146.199999999720603,1715541.520000000018626,1731220.400000000139698,10324325.509999999776483
FS( 14 ),1745520.790000000037253,1725482.749999999767169,1699372.830000000074506,1665769.959999999962747,1716642.320000000065193,1738995.200000000186265,10291787.850000001490116
FS( 15 ),1752964.309999999823049,1728368.100000000093132,1713986.519999999785796,1680106.599999999860302,1714220.560000000055879,1790827.200000000186265,10380477.289999999105930
FS( 16 ),1734820.729999999748543,1797394.550000000046566,1713290.630000000121072,1692203.139999999897555,1719944.720000000204891,1774570.800000000046566,10432228.570000000298023
FS( 17 ),1719235.859999999869615,1813374.949999999953434,1725816.649999999906868,1696683.339999999850988,1714220.560000000055879,1792005.200000000186265,10461340.559999998658895
FS( 18 ),1753429.529999999795109,1819367.599999999860302,1723033.090000000083819,1705643.739999999757856,1721485.840000000083819,1791062.800000000046566,10514026.599999999627471
FS( 19 ),1748777.330000000074506,1820699.300000000046566,1723033.090000000083819,1711468.000000000000000,1731833.359999999869615,1820512.800000000046566,10556327.880000000819564
