代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13590339.599999999627471
真實報酬,3590339.599999999627471

夏普值報酬,0.350333960000000
夏普值風險,0.095481757349707
夏普值,3.669119313722753

二次趨勢線,12.033212792733794 x^2 + 11879.136994005426459 x + 10000000.000000000000000
二次平均預期報酬,14911.506617774341066
風險,200384.952770877192961
二次平均趨勢值,0.074414303127962
一次趨勢線,14148.892785951718906 x + 10000000.000000000000000
一次預期報酬,14148.892785951718906
一次風險,217737.822367428161670
一次趨勢值,0.064981327690858
找到最佳解世代,2095
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](2),GS[8](7),NKE[19](5),UNH[23](1),
Stock#,DIS[6](2),GS[8](7),NKE[19](5),UNH[23](1),
張數,29666,15622,65172,31458,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,46.180000000167638,11.339999999850988,2.080000000074506,32.740000000223517,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2488430.260000000242144,2527650.939999999944121,2462200.240000000223517,2512897.780000000260770,9991179.220000000670552
FS( 3 ),2499110.020000000018626,2536867.919999999459833,2481100.120000000111759,2532716.320000000298023,10049794.379999998956919
FS( 4 ),2515129.660000000149012,2539836.100000000093132,2472627.759999999776483,2510381.140000000130385,10037974.660000000149012
FS( 5 ),2510086.439999999944121,2596231.520000000018626,2484358.719999999739230,2514470.680000000633299,10105147.359999999403954
FS( 6 ),2535895.860000000335276,2593263.339999999850988,2498696.560000000521541,2509122.820000000298023,10136978.580000001937151
FS( 7 ),2514239.680000000167638,2598887.260000000242144,2486965.599999999627471,2510695.720000000204891,10110788.259999999776483
FS( 8 ),2501186.640000000130385,2584358.799999999813735,2448514.120000000111759,2522020.600000000093132,10056080.160000000149012
