代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13650827.279999999329448
真實報酬,3650827.279999999329448

夏普值報酬,0.356382728000000
夏普值風險,0.100453615796802
夏普值,3.547734197252709

二次趨勢線,46.540992303853912 x^2 + 3835.770786109495930 x + 10000000.000000000000000
二次平均預期報酬,15517.559854376830117
風險,188559.362710941437399
二次平均趨勢值,0.082295355856527
一次趨勢線,12579.624879123981373 x + 10000000.000000000000000
一次預期報酬,12579.624879123981373
一次風險,377329.850488009629771
一次趨勢值,0.033338536198115
找到最佳解世代,2119
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](2),V[25](1),
Stock#,TRV[22](2),V[25](1),
張數,85587,170648,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,7.459999999962747,13.599999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4964909.330000000074506,4955631.519999999552965,9920540.849999999627471
FS( 3 ),5006846.959999999962747,4959044.479999999515712,9965891.439999999478459
FS( 4 ),4877610.589999999850988,4899317.679999999701977,9776928.269999999552965
FS( 5 ),4867340.149999999441206,4933447.279999999329448,9800787.429999999701977
FS( 6 ),4887025.160000000149012,5032423.119999999180436,9919448.279999999329448
FS( 7 ),4930674.530000000260770,4998293.519999999552965,9928968.050000000745058
FS( 8 ),4930674.530000000260770,4970989.839999999850988,9901664.370000001043081
FS( 9 ),4999144.129999999888241,5003412.959999999962747,10002557.089999999850988
FS( 10 ),5045361.110000000335276,4981228.719999999739230,10026589.830000000074506
FS( 11 ),5056487.419999999925494,4991467.599999999627471,10047955.019999999552965
FS( 12 ),5066757.860000000335276,4977815.759999999776483,10044573.620000001043081
FS( 13 ),5059910.899999999441206,5069965.679999999701977,10129876.579999998211861
FS( 14 ),5063334.379999999888241,4970989.839999999850988,10034324.219999998807907
FS( 15 ),5007702.830000000074506,4981228.719999999739230,9988931.550000000745058
FS( 16 ),4961485.849999999627471,5003412.959999999962747,9964898.809999998658895
FS( 17 ),4981170.860000000335276,5068259.199999999254942,10049430.059999998658895
FS( 18 ),5036802.410000000149012,5122866.559999999590218,10159668.969999998807907
FS( 19 ),5005135.219999999739230,5110921.199999999254942,10116056.419999998062849
FS( 20 ),5029955.450000000186265,5092149.919999999925494,10122105.370000001043081
FS( 21 ),5019685.009999999776483,5076791.599999999627471,10096476.609999999403954
FS( 22 ),5066757.860000000335276,5034129.599999999627471,10100887.460000000894070
FS( 23 ),5077884.169999999925494,5076791.599999999627471,10154675.769999999552965
FS( 24 ),5073604.820000000298023,5134811.919999999925494,10208416.740000000223517
FS( 25 ),5068469.599999999627471,5076791.599999999627471,10145261.199999999254942
FS( 26 ),5039370.020000000484288,5162115.599999999627471,10201485.620000001043081
FS( 27 ),4968332.809999999590218,5098975.839999999850988,10067308.649999998509884
FS( 28 ),4942656.709999999962747,4981228.719999999739230,9923885.429999999701977
FS( 29 ),4978603.250000000000000,5008532.399999999441206,9987135.649999998509884
FS( 30 ),5058199.160000000149012,5163822.080000000074506,10222021.240000000223517
FS( 31 ),4974323.899999999441206,5254265.519999999552965,10228589.419999998062849
FS( 32 ),5063334.379999999888241,5155289.679999999701977,10218624.059999998658895
FS( 33 ),5134371.589999999850988,5208190.559999999590218,10342562.149999998509884
FS( 34 ),5089866.349999999627471,5196245.199999999254942,10286111.549999998882413
FS( 35 ),5280725.360000000335276,5170648.000000000000000,10451373.359999999403954
