代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13539401.320000000298023
真實報酬,3539401.320000000298023

夏普值報酬,0.345240132000000
夏普值風險,0.111647854376513
夏普值,3.092223616190030

二次趨勢線,81.969118649072541 x^2 + -5731.437141001129930 x + 10000000.000000000000000
二次平均預期報酬,15006.749877214222579
風險,334761.017772701859940
二次平均趨勢值,0.044828247855919
一次趨勢線,9791.403835009583418 x + 10000000.000000000000000
一次預期報酬,9791.403835009583418
一次風險,673888.180414101807401
一次趨勢值,0.014529715937432
找到最佳解世代,2188
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,204708,
分配資金,10000000.000000000000000,
剩餘資金,14.199999999254942,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10034800.359999999403954,10034800.359999999403954
FS( 3 ),10081883.199999999254942,10081883.199999999254942
FS( 4 ),10139201.439999999478459,10139201.439999999478459
FS( 5 ),10167860.560000000521541,10167860.560000000521541
FS( 6 ),10002047.079999998211861,10002047.079999998211861
FS( 7 ),9932446.359999999403954,9932446.359999999403954
FS( 8 ),9995905.839999997988343,9995905.839999997988343
FS( 9 ),9922210.959999999031425,9922210.959999999031425
FS( 10 ),9844421.919999999925494,9844421.919999999925494
FS( 11 ),9768679.959999999031425,9768679.959999999031425
FS( 12 ),9541454.079999998211861,9541454.079999998211861
FS( 13 ),9672467.199999999254942,9672467.199999999254942
FS( 14 ),9936540.519999999552965,9936540.519999999552965
FS( 15 ),9707267.560000000521541,9707267.560000000521541
FS( 16 ),9819856.959999999031425,9819856.959999999031425
FS( 17 ),9823951.119999999180436,9823951.119999999180436
FS( 18 ),9856704.399999998509884,9856704.399999998509884
FS( 19 ),9911975.560000000521541,9911975.560000000521541
FS( 20 ),9959058.399999998509884,9959058.399999998509884
FS( 21 ),9916069.719999998807907,9916069.719999998807907
FS( 22 ),9842374.839999997988343,9842374.839999997988343
FS( 23 ),9727738.359999999403954,9727738.359999999403954
FS( 24 ),9570113.199999999254942,9570113.199999999254942
FS( 25 ),9514842.039999999105930,9514842.039999999105930
FS( 26 ),9711361.719999998807907,9711361.719999998807907
FS( 27 ),9934493.439999999478459,9934493.439999999478459
FS( 28 ),9825998.199999999254942,9825998.199999999254942
FS( 29 ),9811668.639999998733401,9811668.639999998733401
FS( 30 ),9725691.279999999329448,9725691.279999999329448
FS( 31 ),9592631.079999998211861,9592631.079999998211861
FS( 32 ),9500512.479999998584390,9500512.479999998584390
FS( 33 ),9518936.199999999254942,9518936.199999999254942
FS( 34 ),9582395.679999999701977,9582395.679999999701977
FS( 35 ),9572160.279999999329448,9572160.279999999329448
FS( 36 ),9811668.639999998733401,9811668.639999998733401
