代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12295825.689999999478459
真實報酬,2295825.689999999478459

夏普值報酬,0.220882569000000
夏普值風險,0.057050767588123
夏普值,3.871684437178098

二次趨勢線,5.144551195443579 x^2 + 7130.920790968732945 x + 10000000.000000000000000
二次平均預期報酬,8437.636794611404184
風險,213497.632091251201928
二次平均趨勢值,0.039520985370953
一次趨勢線,8109.024781861017800 x + 10000000.000000000000000
一次預期報酬,8109.024781861017800
一次風險,216679.723650412342977
一次趨勢值,0.037424012940611
找到最佳解世代,2804
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),IBM[10](2),KO[14](5),MCD[15](1),
Stock#,AAPL[0](3),IBM[10](2),KO[14](5),MCD[15](1),
張數,57537,17443,81011,32100,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,17.349999999627471,69.240000000223517,0.540000000037253,52.000000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2542577.379999999422580,2509070.360000000335276,2505670.770000000018626,2516692.000000000000000,10074010.509999999776483
FS( 3 ),2571345.879999999422580,2514826.549999999813735,2509721.320000000298023,2519902.000000000000000,10115795.750000000000000
FS( 4 ),2616224.739999999757856,2560527.209999999962747,2529974.070000000298023,2541730.000000000000000,10248456.019999999552965
FS( 5 ),2606443.449999999254942,2562794.799999999813735,2534834.729999999981374,2545582.000000000000000,10249654.979999998584390
FS( 6 ),2619101.589999999850988,2554771.020000000484288,2529974.070000000298023,2545903.000000000000000,10249749.679999999701977
FS( 7 ),2597812.899999999441206,2549189.259999999776483,2537265.060000000055879,2539162.000000000000000,10223429.219999998807907
FS( 8 ),2613923.259999999776483,2556340.890000000596046,2534024.620000000111759,2552002.000000000000000,10256290.769999999552965
FS( 9 ),2602991.229999999515712,2536804.730000000447035,2543745.939999999944121,2558422.000000000000000,10241963.900000000372529
FS( 10 ),2531645.349999999627471,2507326.060000000521541,2548606.600000000093132,2531137.000000000000000,10118715.009999999776483
FS( 11 ),2523590.169999999459833,2505581.759999999776483,2550226.820000000298023,2538199.000000000000000,10117597.750000000000000
FS( 12 ),2478711.309999999590218,2481161.560000000521541,2514581.979999999981374,2485234.000000000000000,9959688.849999999627471
FS( 13 ),2470080.759999999776483,2476103.089999999850988,2532404.400000000372529,2515729.000000000000000,9994317.250000000000000
FS( 14 ),2535097.569999999832362,2518140.720000000670552,2585871.660000000149012,2536594.000000000000000,10175703.950000001117587
FS( 15 ),2521288.689999999478459,2530176.390000000596046,2605314.299999999813735,2556496.000000000000000,10213275.379999998956919
FS( 16 ),2575948.839999999850988,2536107.009999999776483,2603694.080000000074506,2552644.000000000000000,10268393.929999999701977
FS( 17 ),2537399.049999999813735,2497557.980000000447035,2576960.449999999720603,2536273.000000000000000,10148190.480000000447035
FS( 18 ),2587456.239999999757856,2543433.070000000298023,2617465.950000000186265,2551360.000000000000000,10299715.260000001639128
FS( 19 ),2589182.349999999627471,2510116.940000000409782,2597213.200000000186265,2521186.000000000000000,10217698.490000000223517
FS( 20 ),2604717.339999999850988,2492499.509999999776483,2568049.239999999757856,2512198.000000000000000,10177464.089999999850988
FS( 21 ),2557537.000000000000000,2467556.020000000484288,2559138.029999999795109,2513482.000000000000000,10097713.050000000745058
FS( 22 ),2600689.750000000000000,2519012.870000000111759,2620706.390000000130385,2545261.000000000000000,10285670.009999999776483
FS( 23 ),2615074.000000000000000,2532443.980000000447035,2628807.490000000223517,2548150.000000000000000,10324475.470000000670552
FS( 24 ),2609320.299999999813735,2535932.580000000074506,2612605.290000000037253,2560348.000000000000000,10318206.169999999925494
FS( 25 ),2631759.729999999515712,2529129.810000000521541,2592352.540000000037253,2554570.000000000000000,10307812.080000000074506
FS( 26 ),2615649.369999999646097,2512210.100000000558794,2598023.310000000055879,2578966.000000000000000,10304848.780000001192093
FS( 27 ),2638664.169999999459833,2528955.379999999888241,2608554.740000000223517,2527606.000000000000000,10303780.289999999105930
FS( 28 ),2628307.509999999776483,2517094.140000000596046,2626377.160000000149012,2491333.000000000000000,10263111.810000000521541
FS( 29 ),2634636.579999999608845,2526164.500000000000000,2619086.169999999925494,2489728.000000000000000,10269615.250000000000000
FS( 30 ),2643842.500000000000000,2516745.280000000260770,2626377.160000000149012,2475283.000000000000000,10262247.940000001341105
FS( 31 ),2632910.469999999739230,2543607.500000000000000,2588301.989999999757856,2475283.000000000000000,10240102.959999999031425
FS( 32 ),2633485.839999999850988,2524420.200000000186265,2622326.609999999869615,2471110.000000000000000,10251342.650000000372529
FS( 33 ),2640390.279999999795109,2521454.890000000596046,2646629.910000000149012,2462443.000000000000000,10270918.080000000074506
FS( 34 ),2635211.949999999254942,2529304.240000000223517,2661211.890000000130385,2465653.000000000000000,10291381.080000000074506
FS( 35 ),2648445.459999999497086,2520757.169999999925494,2645819.799999999813735,2469184.000000000000000,10284206.429999999701977
FS( 36 ),2664555.819999999832362,2542212.060000000521541,2652300.680000000167638,2467258.000000000000000,10326326.560000000521541
FS( 37 ),2672611.000000000000000,2545875.089999999850988,2657161.339999999850988,2472073.000000000000000,10347720.429999999701977
FS( 38 ),2659952.859999999403954,2544828.509999999776483,2656351.229999999981374,2470468.000000000000000,10331600.599999999627471
FS( 39 ),2668583.409999999683350,2535234.860000000335276,2635288.370000000111759,2453455.000000000000000,10292561.640000000596046
FS( 40 ),2675487.849999999627471,2541688.770000000484288,2647440.020000000018626,2453455.000000000000000,10318071.640000000596046
FS( 41 ),2673761.739999999757856,2555817.600000000558794,2651490.569999999832362,2471431.000000000000000,10352500.910000000149012
FS( 42 ),2660528.229999999515712,2558434.049999999813735,2653110.790000000037253,2464048.000000000000000,10336121.070000000298023
FS( 43 ),2651322.309999999590218,2560003.919999999925494,2664452.330000000074506,2464048.000000000000000,10339826.559999998658895
