代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13436160.459999999031425
真實報酬,3436160.459999999031425

夏普值報酬,0.334916046000000
夏普值風險,0.092004897801872
夏普值,3.640198011210483

二次趨勢線,18.343560024659183 x^2 + 9710.834013539202715 x + 10000000.000000000000000
二次平均預期報酬,14333.411139753314274
風險,376064.460992134292610
二次平均趨勢值,0.038114240047940
一次趨勢線,13170.874347574197600 x + 10000000.000000000000000
一次預期報酬,13170.874347574197600
一次風險,397850.873983810481150
一次趨勢值,0.033105053196666
找到最佳解世代,2049
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),NKE[19](2),
Stock#,MCD[15](1),NKE[19](2),
張數,54048,108790,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,19.519999999552965,11.599999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5076207.679999999701977,5078328.799999999813735,10154536.480000000447035
FS( 3 ),5083233.919999998994172,5033724.900000000372529,10116958.820000000298023
FS( 4 ),5098907.839999999850988,5077240.899999999441206,10176148.739999998360872
FS( 5 ),5079991.039999999105930,4993472.599999999627471,10073463.639999998733401
FS( 6 ),5011350.079999999143183,4959747.700000000186265,9971097.779999999329448
FS( 7 ),5081612.479999999515712,5045691.799999999813735,10127304.279999999329448
FS( 8 ),5091881.599999999627471,4967362.999999999068677,10059244.599999997764826
FS( 9 ),5139443.839999999850988,5004351.599999999627471,10143795.439999999478459
FS( 10 ),5169710.719999999739230,5006527.400000000372529,10176238.120000001043081
FS( 11 ),5099448.319999999366701,4996736.299999999813735,10096184.619999999180436
FS( 12 ),5111879.359999999403954,5092471.500000000000000,10204350.859999999403954
FS( 13 ),5090800.639999999664724,5096823.099999999627471,10187623.739999998360872
FS( 14 ),5090800.639999999664724,5164272.899999999441206,10255073.539999999105930
FS( 15 ),5097286.399999999441206,5168624.499999999068677,10265910.899999998509884
FS( 16 ),5133498.559999999590218,5190382.500000000000000,10323881.059999998658895
FS( 17 ),5332395.199999999254942,5266535.499999999068677,10598930.699999999254942
FS( 18 ),5378336.000000000000000,5276326.599999999627471,10654662.599999999627471
FS( 19 ),5345366.719999999739230,5282854.000000000000000,10628220.719999998807907
FS( 20 ),5404819.519999999552965,5372061.799999999813735,10776881.320000000298023
FS( 21 ),5390767.039999999105930,5329633.700000000186265,10720400.739999998360872
FS( 22 ),5418331.519999999552965,5304611.999999999068677,10722943.519999999552965
FS( 23 ),5356716.799999999813735,5355743.299999998882413,10712460.099999997764826
FS( 24 ),5249701.759999998845160,5271975.000000000000000,10521676.759999997913837
FS( 25 ),5281049.599999999627471,5300260.399999999441206,10581310.000000000000000
FS( 26 ),5204301.439999999478459,5250216.999999999068677,10454518.439999997615814
FS( 27 ),5132417.599999999627471,5186030.899999999441206,10318448.500000000000000
FS( 28 ),5202139.519999999552965,5278502.400000000372529,10480641.919999999925494
FS( 29 ),5207544.319999999366701,5212140.499999999068677,10419684.819999998435378
FS( 30 ),5250782.719999999739230,5245865.399999999441206,10496648.119999999180436
FS( 31 ),5197815.679999999701977,5251304.900000000372529,10449120.580000000074506
FS( 32 ),5242675.519999999552965,5304611.999999999068677,10547287.519999999552965
FS( 33 ),5187546.559999999590218,5348127.999999999068677,10535674.559999998658895
FS( 34 ),5245377.919999998994172,5547213.700000000186265,10792591.619999999180436
FS( 35 ),5330233.280000000260770,5518928.299999998882413,10849161.579999998211861
FS( 36 ),5370228.799999999813735,5475412.299999999813735,10845641.099999999627471
FS( 37 ),5304290.239999999292195,5385116.599999999627471,10689406.839999999850988
FS( 38 ),5277266.239999999292195,5403610.899999999441206,10680877.139999998733401
FS( 39 ),5240513.599999999627471,5432984.199999999254942,10673497.799999998882413
FS( 40 ),5290237.759999998845160,5488467.099999999627471,10778704.859999999403954
FS( 41 ),5266456.639999999664724,5458005.899999999441206,10724462.539999999105930
FS( 42 ),5204301.439999999478459,5415577.799999999813735,10619879.239999998360872
FS( 43 ),5179439.359999999403954,5421017.299999999813735,10600456.660000000149012
FS( 44 ),5203760.959999999962747,5425368.899999999441206,10629129.859999999403954
FS( 45 ),5207544.319999999366701,5418841.500000000000000,10626385.820000000298023
FS( 46 ),5234568.319999999366701,5485203.399999999441206,10719771.719999998807907
FS( 47 ),5218353.919999998994172,5478676.000000000000000,10697029.919999998062849
FS( 48 ),5285913.919999998994172,5438423.700000000186265,10724337.619999999180436
FS( 49 ),5266456.639999999664724,5400347.199999999254942,10666803.839999999850988
FS( 50 ),5274023.359999999403954,5414489.900000000372529,10688513.259999999776483
FS( 51 ),5212408.639999999664724,5430808.399999999441206,10643217.039999999105930
FS( 52 ),5168629.759999998845160,5434072.099999999627471,10602701.859999999403954
FS( 53 ),5128093.759999998845160,5361182.799999999813735,10489276.559999998658895
FS( 54 ),5198356.160000000149012,5439511.599999999627471,10637867.759999999776483
FS( 55 ),5127553.280000000260770,5455830.099999999627471,10583383.379999998956919
FS( 56 ),5288075.839999999850988,5448214.799999999813735,10736290.640000000596046
FS( 57 ),5242675.519999999552965,5500434.000000000000000,10743109.519999999552965
FS( 58 ),5336719.039999999105930,5491730.799999998882413,10828449.839999997988343
FS( 59 ),5212408.639999999664724,5490642.899999999441206,10703051.539999999105930
FS( 60 ),5233487.359999999403954,5431896.299999999813735,10665383.660000000149012
FS( 61 ),5243756.479999999515712,5449302.700000000186265,10693059.179999999701977
FS( 62 ),5218353.919999998994172,5376413.399999999441206,10594767.319999998435378
FS( 63 ),5285913.919999998994172,5481939.699999999254942,10767853.619999997317791
FS( 64 ),5195653.759999998845160,5485203.399999999441206,10680857.159999998286366
FS( 65 ),5195653.759999998845160,5462357.500000000000000,10658011.259999997913837
FS( 66 ),5209706.239999999292195,5451478.500000000000000,10661184.739999998360872
FS( 67 ),5230784.959999999962747,5518928.299999998882413,10749713.259999997913837
FS( 68 ),5309154.559999999590218,5572235.399999999441206,10881389.959999999031425
FS( 69 ),5270240.000000000000000,5591817.599999999627471,10862057.599999999627471
FS( 70 ),5294021.120000000111759,5568971.699999999254942,10862992.820000000298023
FS( 71 ),5261592.319999999366701,5557004.799999999813735,10818597.119999999180436
FS( 72 ),5281049.599999999627471,5626630.399999999441206,10907680.000000000000000
FS( 73 ),5298885.439999999478459,5710398.700000000186265,11009284.140000000596046
FS( 74 ),5297804.479999999515712,5698431.799999999813735,10996236.279999999329448
FS( 75 ),5441572.160000000149012,5691904.399999999441206,11133476.559999998658895
FS( 76 ),5410764.799999999813735,5690816.500000000000000,11101581.300000000745058
FS( 77 ),5365904.959999999962747,5678849.599999999627471,11044754.559999998658895
FS( 78 ),5350231.039999999105930,5681025.399999999441206,11031256.439999997615814
FS( 79 ),5321585.599999999627471,5625542.500000000000000,10947128.099999999627471
FS( 80 ),5332395.199999999254942,5593993.399999999441206,10926388.599999997764826
FS( 81 ),5214570.559999999590218,5564620.099999999627471,10779190.660000000149012
