代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12845335.460000000894070
真實報酬,2845335.460000000894070

夏普值報酬,0.275833546000000
夏普值風險,0.074871332805617
夏普值,3.684100919054385

二次趨勢線,9.151180762623001 x^2 + 8913.395860923981672 x + 10000000.000000000000000
二次平均預期報酬,11219.493413104979481
風險,148577.915845451469067
二次平均趨勢值,0.075512523844899
一次趨勢線,10639.530509822870954 x + 10000000.000000000000000
一次預期報酬,10639.530509822870954
一次風險,162085.452513626107248
一次趨勢值,0.065641489379983
找到最佳解世代,3404
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,6
BA[2](12),CAT[3](2),DD[7](1),JNJ[12](8),MRK[17](7),UNH[23](10),
Stock#,BA[2](12),CAT[3](2),DD[7](1),JNJ[12](8),MRK[17](7),UNH[23](10),
張數,16544,19350,34083,19674,34399,26539,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,23.440000000176951,50.500000000000000,7.300000000046566,81.460000000195578,34.449999999953434,16.800000000046566,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1647971.280000000260770,1662602.500000000000000,1680299.199999999953434,1654664.860000000102445,1700721.009999999776483,1654988.840000000083819,10001251.690000001341105
FS( 3 ),1629442.000000000000000,1633577.500000000000000,1633605.489999999990687,1646401.780000000260770,1676297.719999999739230,1638800.050000000046566,9858128.540000000968575
FS( 4 ),1650452.880000000353903,1625450.500000000000000,1644852.879999999888241,1661747.500000000000000,1671825.850000000093132,1643311.680000000167638,9897645.289999999105930
FS( 5 ),1695618.000000000000000,1638028.000000000000000,1667347.660000000149012,1670600.800000000046566,1657722.259999999776483,1660562.030000000027940,9989882.750000000000000
FS( 6 ),1691482.000000000000000,1621580.500000000000000,1666325.170000000158325,1675125.820000000298023,1667009.989999999990687,1690020.320000000065193,10011547.800000000745058
FS( 7 ),1683375.440000000176951,1616162.500000000000000,1650306.160000000149012,1666272.520000000251457,1636050.890000000130385,1696655.070000000065193,9948826.580000001937151
FS( 8 ),1668982.160000000149012,1610163.999999999767169,1640081.260000000009313,1647582.220000000204891,1625387.199999999953434,1694001.169999999925494,9886202.010000001639128
FS( 9 ),1690158.480000000214204,1647509.500000000000000,1681662.520000000251457,1670600.800000000046566,1647746.549999999813735,1702493.650000000139698,10040175.500000000000000
FS( 10 ),1684698.960000000195578,1622935.000000000000000,1650646.989999999990687,1670600.800000000046566,1649466.500000000000000,1693205.000000000000000,9971557.250000000000000
FS( 11 ),1704551.760000000242144,1623902.500000000000000,1657122.760000000009313,1684766.080000000074506,1644306.649999999906868,1708332.230000000214204,10022985.980000000447035
FS( 12 ),1721922.960000000195578,1636093.000000000000000,1680299.199999999953434,1699128.100000000093132,1642586.699999999953434,1743098.320000000298023,10123132.280000001192093
FS( 13 ),1691647.440000000176951,1630288.000000000000000,1655077.780000000027940,1669617.100000000093132,1636738.869999999878928,1731951.940000000176951,10015325.130000000819564
FS( 14 ),1648467.600000000093132,1609970.500000000000000,1611110.710000000195578,1625547.340000000316650,1593052.140000000130385,1693205.000000000000000,9781357.290000000968575
FS( 15 ),1654092.560000000288710,1608422.500000000000000,1583844.310000000055879,1636958.260000000242144,1616787.449999999953434,1695858.899999999906868,9795967.980000000447035
FS( 16 ),1618853.840000000083819,1577462.500000000000000,1570211.110000000102445,1664698.600000000093132,1596492.039999999804422,1715763.150000000139698,9743485.240000000223517
FS( 17 ),1632419.920000000158325,1593136.000000000000000,1577368.540000000037253,1679257.360000000102445,1590300.219999999739230,1691347.270000000018626,9763833.310000000521541
FS( 18 ),1666831.440000000176951,1588685.500000000000000,1563053.679999999934807,1711522.720000000204891,1606123.759999999776483,1719213.219999999972060,9855434.320000000298023
FS( 19 ),1706537.040000000270084,1605326.499999999767169,1570211.110000000102445,1706014.000000000000000,1626419.169999999925494,1753979.310000000055879,9968491.130000000819564
FS( 20 ),1694790.800000000046566,1596232.000000000000000,1561349.530000000027940,1689291.100000000093132,1597868.000000000000000,1737790.520000000251457,9877325.949999999254942
FS( 21 ),1708026.000000000000000,1600682.500000000000000,1577368.540000000037253,1704440.080000000074506,1593396.129999999888241,1741771.369999999878928,9925688.619999999180436
FS( 22 ),1678743.120000000111759,1596038.500000000000000,1574641.900000000139698,1703259.640000000130385,1601307.899999999906868,1732217.329999999841675,9886212.390000000596046
FS( 23 ),1702235.600000000093132,1583848.000000000000000,1573960.239999999990687,1707391.180000000167638,1601307.899999999906868,1739382.860000000102445,9908129.779999999329448
FS( 24 ),1723908.240000000223517,1589459.500000000000000,1586570.949999999953434,1728835.840000000316650,1622291.289999999804422,1756102.430000000167638,10007172.250000001862645
