代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15469140.870000001043081
真實報酬,5469140.870000001043081

夏普值報酬,0.538214087000000
夏普值風險,0.150836615741132
夏普值,3.568192539692684

二次趨勢線,30.568909680300706 x^2 + 16825.862060094350454 x + 10000000.000000000000000
二次平均預期報酬,24559.796209210424422
風險,397617.166034153546207
二次平均趨勢值,0.061767444434481
一次趨勢線,22614.826631115905911 x + 10000000.000000000000000
一次預期報酬,22614.826631115905911
一次風險,453511.389760795806069
一次趨勢值,0.049866061011266
找到最佳解世代,2186
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](2),INTC[11](5),V[25](1),
Stock#,BA[2](2),INTC[11](5),V[25](1),
張數,18275,91802,36525,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,155.750000000465661,2.379999999888241,61.500000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3352521.750000000465661,3393922.319999999832362,3380085.000000000000000,10126530.070000000298023
FS( 3 ),3351608.000000000000000,3394840.339999999385327,3376432.500000000000000,10122881.839999999850988
FS( 4 ),3345760.000000000465661,3382906.080000000074506,3383007.000000000000000,10111674.080000000074506
FS( 5 ),3381213.500000000465661,3380152.020000000018626,3363648.750000000000000,10125015.269999999552965
FS( 6 ),3399671.250000000465661,3354447.459999999962747,3357439.500000000000000,10111559.210000000894070
FS( 7 ),3415936.000000000465661,3338841.119999999646097,3360361.500000000000000,10115139.620000001043081
FS( 8 ),3347770.250000000465661,3305792.399999999906868,3369492.750000000000000,10023056.400000000372529
FS( 9 ),3361659.250000000465661,3276415.759999999776483,3364014.000000000000000,10002090.009999999776483
FS( 10 ),3349049.500000000465661,3261727.439999999944121,3387024.750000000000000,9997802.690000001341105
FS( 11 ),3333333.000000000000000,3270907.640000000130385,3405287.250000000000000,10009528.890000000596046
FS( 12 ),3338998.250000000465661,3288350.020000000018626,3402365.250000000000000,10029714.519999999552965
FS( 13 ),3267360.250000000465661,3216744.459999999962747,3351595.500000000000000,9835701.210000000894070
FS( 14 ),3242140.750000000465661,3233268.819999999832362,3349769.250000000000000,9825179.820000000298023
FS( 15 ),3303544.750000000465661,3249793.179999999701977,3377893.500000000000000,9931232.429999999701977
FS( 16 ),3356725.000000000465661,3283759.920000000391155,3408209.250000000000000,10048695.170000001788139
FS( 17 ),3353435.500000000465661,3292022.099999999627471,3428298.000000000000000,10073756.599999999627471
FS( 18 ),3385599.500000000465661,3315890.619999999646097,3462996.750000000000000,10164487.870000001043081
FS( 19 ),3418860.000000000465661,3328742.899999999906868,3471397.500000000000000,10219001.400000000372529
FS( 20 ),3410088.000000000465661,3328742.899999999906868,3457883.250000000000000,10196715.150000000372529
FS( 21 ),3415387.750000000465661,3321398.739999999757856,3459709.500000000000000,10196496.990000000223517
FS( 22 ),3429094.000000000465661,3314972.599999999627471,3478337.250000000000000,10222404.849999999627471
FS( 23 ),3423428.750000000465661,3315890.619999999646097,3484546.500000000000000,10223866.870000001043081
FS( 24 ),3476609.000000000465661,3334251.020000000018626,3511940.250000000000000,10322801.269999999552965
FS( 25 ),3453217.000000000465661,3336087.060000000055879,3526550.250000000000000,10315855.310000000521541
FS( 26 ),3413012.000000000465661,3316808.640000000130385,3498791.250000000000000,10228612.890000000596046
FS( 27 ),3437683.250000000465661,3328742.899999999906868,3509748.750000000000000,10276175.900000000372529
FS( 28 ),3471126.500000000465661,3348939.339999999385327,3509748.750000000000000,10329815.589999999850988
FS( 29 ),3472954.000000000465661,3278251.799999999813735,3453865.500000000000000,10205072.300000000745058
FS( 30 ),3472405.750000000465661,3280087.839999999385327,3415149.000000000000000,10167643.589999999850988
FS( 31 ),3492325.500000000465661,3293858.140000000130385,3472858.500000000000000,10259043.140000000596046
FS( 32 ),3515900.250000000465661,3261727.439999999944121,3481624.499999999534339,10259253.189999999478459
FS( 33 ),3572004.500000000465661,3241531.000000000000000,3439620.750000000000000,10253157.250000000000000
FS( 34 ),3590096.750000000465661,3232350.799999999813735,3439620.750000000000000,10262069.300000000745058
FS( 35 ),3638342.750000000465661,3259891.399999999906868,3462266.250000000000000,10360501.400000000372529
FS( 36 ),3624636.500000000465661,3200220.099999999627471,3447291.000000000000000,10272148.599999999627471
FS( 37 ),3639987.500000000465661,3174515.539999999571592,3453135.000000000000000,10267639.039999999105930
FS( 38 ),3644921.750000000465661,3154319.099999999627471,3431585.250000000000000,10230827.099999999627471
FS( 39 ),3695909.000000000465661,3138712.759999999776483,3491121.000000000000000,10325743.759999999776483
FS( 40 ),3654790.250000000465661,3127696.520000000018626,3477972.000000000000000,10260459.769999999552965
FS( 41 ),3634870.500000000000000,3089139.679999999701977,3466284.000000000000000,10190295.179999999701977
FS( 42 ),3648211.250000000465661,3139630.780000000260770,3514862.250000000000000,10302705.280000001192093
FS( 43 ),3608737.250000000465661,3079041.459999999962747,3448752.000000000000000,10136531.710000000894070
FS( 44 ),3614037.000000000465661,3097401.859999999869615,3425376.000000000000000,10136815.859999999403954
FS( 45 ),3629388.000000000465661,3071697.299999999813735,3409670.250000000000000,10110756.550000000745058
FS( 46 ),3688233.500000000465661,3152483.060000000055879,3433776.750000000000000,10274494.310000000521541
FS( 47 ),3682202.750000000465661,3087303.640000000130385,3406017.750000000000000,10175525.140000000596046
FS( 48 ),3698467.500000000465661,3110254.140000000130385,3430489.500000000000000,10239212.140000000596046
