代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13145704.130000000819564
真實報酬,3145704.130000000819564

夏普值報酬,0.305870413000000
夏普值風險,0.069819965416618
夏普值,4.380844521690348

二次趨勢線,-3.242044475518650 x^2 + 12372.262377123741317 x + 10000000.000000000000000
二次平均預期報酬,11555.267169293038023
風險,294786.733241190027911
二次平均趨勢值,0.039198735445936
一次趨勢線,11760.734154960206070 x + 10000000.000000000000000
一次預期報酬,11760.734154960206070
一次風險,295678.713786112261005
一次趨勢值,0.039775383233937
找到最佳解世代,2247
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
FS( 100 ),11369167.300000000745058,11369167.300000000745058
FS( 101 ),11337051.029999999329448,11337051.029999999329448
FS( 102 ),11365786.640000000596046,11365786.640000000596046
FS( 103 ),11277889.480000000447035,11277889.480000000447035
FS( 104 ),11423257.860000001266599,11423257.860000001266599
FS( 105 ),11499322.710000000894070,11499322.710000000894070
FS( 106 ),11462135.450000001117587,11462135.450000001117587
FS( 107 ),11443541.820000000298023,11443541.820000000298023
FS( 108 ),11622716.800000000745058,11622716.800000000745058
FS( 109 ),11609194.160000002011657,11609194.160000002011657
FS( 110 ),11583839.210000000894070,11583839.210000000894070
FS( 111 ),11649762.080000000074506,11649762.080000000074506
FS( 112 ),11734278.580000000074506,11734278.580000000074506
FS( 113 ),11690330.000000000000000,11690330.000000000000000
FS( 114 ),11668355.710000000894070,11668355.710000000894070
FS( 115 ),11818795.080000000074506,11818795.080000000074506
FS( 116 ),11889788.940000001341105,11889788.940000001341105
FS( 117 ),11893169.600000001490116,11893169.600000001490116
FS( 118 ),12006421.710000000894070,12006421.710000000894070
FS( 119 ),12026705.670000001788139,12026705.670000001788139
FS( 120 ),12004731.380000000819564,12004731.380000000819564
FS( 121 ),11921905.210000000894070,11921905.210000000894070
FS( 122 ),11889788.940000001341105,11889788.940000001341105
FS( 123 ),12089247.880000000819564,12089247.880000000819564
FS( 124 ),11932047.190000001341105,11932047.190000001341105
FS( 125 ),12072344.580000000074506,12072344.580000000074506
FS( 126 ),11940498.839999999850988,11940498.839999999850988
FS( 127 ),11943879.500000000000000,11943879.500000000000000
FS( 128 ),11734278.580000000074506,11734278.580000000074506
FS( 129 ),11495942.050000000745058,11495942.050000000745058
FS( 130 ),11930356.860000001266599,11930356.860000001266599
FS( 131 ),11913453.560000000521541,11913453.560000000521541
FS( 132 ),11945569.830000000074506,11945569.830000000074506
FS( 133 ),11916834.220000000670552,11916834.220000000670552
FS( 134 ),11763014.190000001341105,11763014.190000001341105
FS( 135 ),11855982.339999999850988,11855982.339999999850988
FS( 136 ),11835698.380000000819564,11835698.380000000819564
FS( 137 ),11730897.920000001788139,11730897.920000001788139
FS( 138 ),11436780.500000000000000,11436780.500000000000000
FS( 139 ),11470587.100000001490116,11470587.100000001490116
FS( 140 ),11436780.500000000000000,11436780.500000000000000
FS( 141 ),11467206.440000001341105,11467206.440000001341105
FS( 142 ),11157876.050000000745058,11157876.050000000745058
FS( 143 ),11359025.320000000298023,11359025.320000000298023
FS( 144 ),11303244.430000001564622,11303244.430000001564622
FS( 145 ),11217037.600000001490116,11217037.600000001490116
FS( 146 ),11455374.130000000819564,11455374.130000000819564
FS( 147 ),11468896.769999999552965,11468896.769999999552965
FS( 148 ),11274508.820000000298023,11274508.820000000298023
FS( 149 ),11282960.470000000670552,11282960.470000000670552
FS( 150 ),11558484.259999999776483,11558484.259999999776483
FS( 151 ),11538200.300000000745058,11538200.300000000745058
FS( 152 ),11725826.930000001564622,11725826.930000001564622
FS( 153 ),11754562.540000000968575,11754562.540000000968575
FS( 154 ),11713994.620000001043081,11713994.620000001043081
FS( 155 ),11899930.920000001788139,11899930.920000001788139
FS( 156 ),11881337.290000000968575,11881337.290000000968575
FS( 157 ),11840769.370000001043081,11840769.370000001043081
FS( 158 ),11812033.759999999776483,11812033.759999999776483
FS( 159 ),11818795.080000000074506,11818795.080000000074506
FS( 160 ),11602432.839999999850988,11602432.839999999850988
FS( 161 ),11600742.509999999776483,11600742.509999999776483
FS( 162 ),11448612.810000000521541,11448612.810000000521541
FS( 163 ),11396212.580000000074506,11396212.580000000074506
FS( 164 ),11380999.610000001266599,11380999.610000001266599
FS( 165 ),11233940.900000000372529,11233940.900000000372529
FS( 166 ),11134211.430000001564622,11134211.430000001564622
FS( 167 ),11276199.150000000372529,11276199.150000000372529
FS( 168 ),11179850.339999999850988,11179850.339999999850988
FS( 169 ),11174779.350000001490116,11174779.350000001490116
FS( 170 ),11377618.950000001117587,11377618.950000001117587
FS( 171 ),11666665.380000000819564,11666665.380000000819564
FS( 172 ),11700471.980000000447035,11700471.980000000447035
FS( 173 ),11822175.740000000223517,11822175.740000000223517
FS( 174 ),11974305.440000001341105,11974305.440000001341105
FS( 175 ),11984447.420000001788139,11984447.420000001788139
FS( 176 ),12057131.610000001266599,12057131.610000001266599
FS( 177 ),11822175.740000000223517,11822175.740000000223517
FS( 178 ),11817104.750000000000000,11817104.750000000000000
FS( 179 ),11979376.430000001564622,11979376.430000001564622
FS( 180 ),11850911.350000001490116,11850911.350000001490116
FS( 181 ),12068963.920000001788139,12068963.920000001788139
FS( 182 ),11815414.420000001788139,11815414.420000001788139
FS( 183 ),11979376.430000001564622,11979376.430000001564622
FS( 184 ),11899930.920000001788139,11899930.920000001788139
FS( 185 ),11793440.130000000819564,11793440.130000000819564
FS( 186 ),11727517.259999999776483,11727517.259999999776483
FS( 187 ),11786678.810000000521541,11786678.810000000521541
FS( 188 ),11874575.970000000670552,11874575.970000000670552
FS( 189 ),11908382.570000000298023,11908382.570000000298023
FS( 190 ),11948950.490000000223517,11948950.490000000223517
FS( 191 ),11908382.570000000298023,11908382.570000000298023
FS( 192 ),12126435.140000000596046,12126435.140000000596046
FS( 193 ),12325894.080000000074506,12325894.080000000074506
FS( 194 ),12312371.440000001341105,12312371.440000001341105
FS( 195 ),12097699.529999999329448,12097699.529999999329448
FS( 196 ),12180525.700000001117587,12180525.700000001117587
FS( 197 ),12151790.089999999850988,12151790.089999999850988
FS( 198 ),12134886.790000000968575,12134886.790000000968575
FS( 199 ),12376603.980000000447035,12376603.980000000447035
FS( 200 ),12381674.970000000670552,12381674.970000000670552
FS( 201 ),12334345.730000000447035,12334345.730000000447035
FS( 202 ),12352939.360000001266599,12352939.360000001266599
FS( 203 ),12396887.940000001341105,12396887.940000001341105
FS( 204 ),12292087.480000000447035,12292087.480000000447035
FS( 205 ),12371532.990000000223517,12371532.990000000223517
FS( 206 ),12366462.000000000000000,12366462.000000000000000
FS( 207 ),12506759.390000000596046,12506759.390000000596046
FS( 208 ),12295468.140000000596046,12295468.140000000596046
FS( 209 ),12349558.700000001117587,12349558.700000001117587
FS( 210 ),12599727.540000000968575,12599727.540000000968575
FS( 211 ),12680863.380000000819564,12680863.380000000819564
FS( 212 ),12692695.690000001341105,12692695.690000001341105
FS( 213 ),12812709.120000001043081,12812709.120000001043081
FS( 214 ),12860038.360000001266599,12860038.360000001266599
FS( 215 ),12570991.930000001564622,12570991.930000001564622
FS( 216 ),12679173.050000000745058,12679173.050000000745058
FS( 217 ),12604798.529999999329448,12604798.529999999329448
FS( 218 ),12498307.740000000223517,12498307.740000000223517
FS( 219 ),12628463.150000000372529,12628463.150000000372529
FS( 220 ),12643676.120000001043081,12643676.120000001043081
FS( 221 ),12562540.279999999329448,12562540.279999999329448
FS( 222 ),12696076.350000001490116,12696076.350000001490116
FS( 223 ),12763689.550000000745058,12763689.550000000745058
FS( 224 ),12699457.009999999776483,12699457.009999999776483
FS( 225 ),12616630.839999999850988,12616630.839999999850988
FS( 226 ),12694386.019999999552965,12694386.019999999552965
FS( 227 ),12636914.800000000745058,12636914.800000000745058
FS( 228 ),12614940.509999999776483,12614940.509999999776483
FS( 229 ),12584514.570000000298023,12584514.570000000298023
FS( 230 ),12594656.550000000745058,12594656.550000000745058
FS( 231 ),12663960.080000000074506,12663960.080000000074506
FS( 232 ),12669031.070000000298023,12669031.070000000298023
FS( 233 ),12816089.779999999329448,12816089.779999999329448
FS( 234 ),12745095.920000001788139,12745095.920000001788139
FS( 235 ),12822851.100000001490116,12822851.100000001490116
FS( 236 ),12863419.019999999552965,12863419.019999999552965
FS( 237 ),12777212.190000001341105,12777212.190000001341105
FS( 238 ),12775521.860000001266599,12775521.860000001266599
FS( 239 ),12804257.470000000670552,12804257.470000000670552
FS( 240 ),13022310.040000000968575,13022310.040000000968575
FS( 241 ),13096684.560000000521541,13096684.560000000521541
FS( 242 ),13069639.279999999329448,13069639.279999999329448
FS( 243 ),13013858.390000000596046,13013858.390000000596046
FS( 244 ),13084852.250000000000000,13084852.250000000000000
FS( 245 ),13258956.240000000223517,13258956.240000000223517
FS( 246 ),13277549.870000001043081,13277549.870000001043081
FS( 247 ),13302904.820000000298023,13302904.820000000298023
FS( 248 ),13313046.800000000745058,13313046.800000000745058
FS( 249 ),13096684.560000000521541,13096684.560000000521541
FS( 250 ),13096684.560000000521541,13096684.560000000521541
FS( 251 ),13145704.130000000819564,13145704.130000000819564
