代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12182967.190000001341105
真實報酬,2182967.190000001341105

夏普值報酬,0.209596719000000
夏普值風險,0.077986202769949
夏普值,2.687612828365158

二次趨勢線,73.560206097291285 x^2 + -9054.539713232554277 x + 10000000.000000000000000
二次平均預期報酬,9482.632223284852444
風險,224846.102453405794222
二次平均趨勢值,0.042173878576570
一次趨勢線,4820.699320761073977 x + 10000000.000000000000000
一次預期報酬,4820.699320761073977
一次風險,567184.628222232335247
一次趨勢值,0.008499347621375
找到最佳解世代,1773
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](1),UNH[23](2),
Stock#,JNJ[12](1),UNH[23](2),
張數,49990,41359,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.200000000186265,110.490000000223517,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4989002.200000000186265,4997932.050000000745058,9986934.250000000000000
FS( 3 ),5024995.000000000000000,5125317.770000000484288,10150312.769999999552965
FS( 4 ),4952509.500000000000000,5047562.850000000558794,10000072.350000001490116
FS( 5 ),4941511.700000000186265,5038463.870000000111759,9979975.570000000298023
FS( 6 ),4988502.300000000745058,5065760.810000000521541,10054263.110000001266599
FS( 7 ),4949510.100000000558794,5056661.830000000074506,10006171.929999999701977
FS( 8 ),4934513.099999999627471,5012821.290000000037253,9947334.390000000596046
FS( 9 ),4923015.400000000372529,4984697.169999999925494,9907712.570000000298023
FS( 10 ),4939512.100000000558794,5005376.669999999925494,9944888.769999999552965
FS( 11 ),4992501.500000000000000,5121181.870000000111759,10113683.370000001043081
FS( 12 ),4967506.500000000000000,5190664.990000000223517,10158171.490000000223517
FS( 13 ),4964507.100000000558794,5096366.469999999739230,10060873.570000000298023
FS( 14 ),4938512.300000000745058,4954505.100000000558794,9893017.400000002235174
FS( 15 ),4777044.600000000558794,4809335.010000000707805,9586379.610000001266599
FS( 16 ),4640072.000000000000000,4567384.860000000335276,9207456.859999999403954
FS( 17 ),4535592.900000000372529,4548773.310000000521541,9084366.210000000894070
FS( 18 ),4754549.100000000558794,4692702.629999999888241,9447251.730000000447035
FS( 19 ),4810038.000000000000000,4870959.919999999925494,9680997.919999999925494
FS( 20 ),4757548.500000000000000,4850694.010000000707805,9608242.510000001639128
FS( 21 ),4698060.400000000372529,4785346.790000000037253,9483407.190000001341105
FS( 22 ),4603579.300000000745058,4658374.660000000149012,9261953.960000000894070
FS( 23 ),4666566.700000000186265,4724549.060000000521541,9391115.760000001639128
FS( 24 ),4631073.799999999813735,4714622.900000000372529,9345696.699999999254942
FS( 25 ),4564587.100000000558794,4647207.730000000447035,9211794.830000001937151
FS( 26 ),4696060.799999999813735,4801476.800000000745058,9497537.600000001490116
FS( 27 ),4610078.000000000000000,4759704.209999999962747,9369782.210000000894070
FS( 28 ),4635073.000000000000000,4829600.919999999925494,9464673.919999999925494
FS( 29 ),4645570.900000000372529,4909423.790000000037253,9554994.690000001341105
FS( 30 ),4665067.000000000000000,4872200.690000000409782,9537267.690000001341105
FS( 31 ),4719056.200000000186265,4964431.260000000707805,9683487.460000000894070
FS( 32 ),4729554.100000000558794,5010753.340000000782311,9740307.440000001341105
FS( 33 ),4741051.800000000745058,5098020.830000000074506,9839072.630000000819564
FS( 34 ),4668566.299999999813735,5065347.219999999739230,9733913.519999999552965
FS( 35 ),4655568.900000000372529,5126144.950000000186265,9781713.850000001490116
FS( 36 ),4661067.799999999813735,5084372.360000000335276,9745440.160000000149012
FS( 37 ),4648570.299999999813735,5098848.010000000707805,9747418.310000000521541
FS( 38 ),4623075.400000000372529,5008271.800000000745058,9631347.200000001117587
FS( 39 ),4549090.200000000186265,4813057.320000000298023,9362147.519999999552965
FS( 40 ),4567586.500000000000000,4661269.790000000037253,9228856.289999999105930
FS( 41 ),4651069.800000000745058,4724135.469999999739230,9375205.269999999552965
FS( 42 ),4666566.700000000186265,4798168.080000000074506,9464734.780000001192093
FS( 43 ),4657568.500000000000000,4822983.480000000447035,9480551.980000000447035
FS( 44 ),4695560.900000000372529,4914800.459999999962747,9610361.359999999403954
FS( 45 ),4737052.600000000558794,4948714.840000000782311,9685767.440000001341105
FS( 46 ),4670066.000000000000000,4799822.440000000409782,9469888.440000001341105
FS( 47 ),4748050.400000000372529,4815538.860000000335276,9563589.260000001639128
FS( 48 ),4753049.400000000372529,4801063.209999999962747,9554112.609999999403954
FS( 49 ),4767546.500000000000000,4932998.419999999925494,9700544.919999999925494
FS( 50 ),4798540.299999999813735,5067001.580000000074506,9865541.879999998956919
FS( 51 ),4771545.700000000186265,5128212.900000000372529,9899758.600000001490116
FS( 52 ),4725554.900000000372529,5048803.620000000111759,9774358.519999999552965
FS( 53 ),4856528.700000000186265,4970221.520000000484288,9826750.220000000670552
FS( 54 ),4911017.799999999813735,4962363.310000000521541,9873381.109999999403954
FS( 55 ),4896020.799999999813735,4993382.560000000521541,9889403.359999999403954
FS( 56 ),4878524.300000000745058,4980561.270000000484288,9859085.570000000298023
FS( 57 ),4880523.900000000372529,4885021.980000000447035,9765545.880000000819564
FS( 58 ),4975504.900000000372529,4707178.280000000260770,9682683.179999999701977
FS( 59 ),5014497.100000000558794,4794445.770000000484288,9808942.870000001043081
FS( 60 ),4996000.799999999813735,4819674.760000000707805,9815675.560000000521541
FS( 61 ),5008498.299999999813735,4937134.320000000298023,9945632.620000001043081
FS( 62 ),5022995.400000000372529,4954091.510000000707805,9977086.910000000149012
FS( 63 ),5067486.500000000000000,4951196.379999999888241,10018682.879999998956919
FS( 64 ),5050489.900000000372529,4871373.510000000707805,9921863.410000000149012
FS( 65 ),5107478.500000000000000,4909010.200000000186265,10016488.699999999254942
FS( 66 ),5096980.599999999627471,4866410.429999999701977,9963391.029999999329448
FS( 67 ),5095980.799999999813735,4741506.250000000000000,9837487.050000000745058
FS( 68 ),5115476.900000000372529,4807267.060000000521541,9922743.960000000894070
FS( 69 ),5094981.000000000000000,4748537.280000000260770,9843518.280000001192093
FS( 70 ),5040991.800000000745058,4725789.830000000074506,9766781.630000000819564
FS( 71 ),5071485.700000000186265,4793205.000000000000000,9864690.699999999254942
FS( 72 ),5091981.600000000558794,4737370.350000000558794,9829351.950000001117587
FS( 73 ),5012497.500000000000000,4666232.870000000111759,9678730.370000001043081
FS( 74 ),4993001.400000000372529,4607916.679999999701977,9600918.080000000074506
FS( 75 ),5059988.000000000000000,4707591.870000000111759,9767579.870000001043081
FS( 76 ),5073985.200000000186265,4731166.500000000000000,9805151.699999999254942
FS( 77 ),5132473.500000000000000,4849453.240000000223517,9981926.740000000223517
FS( 78 ),5123475.299999999813735,4575656.660000000149012,9699131.960000000894070
FS( 79 ),5122975.400000000372529,4672436.719999999739230,9795412.120000001043081
FS( 80 ),5137472.500000000000000,4638935.929999999701977,9776408.429999999701977
FS( 81 ),5100979.800000000745058,4681535.700000000186265,9782515.500000000000000
FS( 82 ),5096980.599999999627471,4731993.679999999701977,9828974.279999999329448
FS( 83 ),5117476.500000000000000,4729098.550000000745058,9846575.050000000745058
FS( 84 ),5060987.799999999813735,4661683.379999999888241,9722671.179999999701977
FS( 85 ),5116976.600000000558794,4808507.830000000074506,9925484.429999999701977
FS( 86 ),5101479.700000000186265,4865583.250000000000000,9967062.949999999254942
FS( 87 ),5038492.300000000745058,4756395.490000000223517,9794887.790000000968575
FS( 88 ),5146470.700000000186265,4869719.150000000372529,10016189.850000001490116
FS( 89 ),5164967.000000000000000,4794032.179999999701977,9958999.179999999701977
FS( 90 ),5119976.000000000000000,4792791.410000000149012,9912767.410000000149012
FS( 91 ),5106478.700000000186265,4758463.440000000409782,9864942.140000000596046
FS( 92 ),5130973.799999999813735,4806439.879999999888241,9937413.679999999701977
FS( 93 ),5082983.400000000372529,4796927.310000000521541,9879910.710000000894070
FS( 94 ),5106478.700000000186265,4791550.639999999664724,9898029.339999999850988
FS( 95 ),5205458.900000000372529,4864342.480000000447035,10069801.380000000819564
FS( 96 ),5261447.700000000186265,4914800.459999999962747,10176248.160000000149012
FS( 97 ),5180963.799999999813735,4930930.469999999739230,10111894.269999999552965
FS( 98 ),5096480.700000000186265,4790309.870000000111759,9886790.570000000298023
FS( 99 ),5077984.400000000372529,4856070.679999999701977,9934055.080000000074506
FS( 100 ),5134473.099999999627471,4857311.450000000186265,9991784.550000000745058
FS( 101 ),5173465.299999999813735,4909010.200000000186265,10082475.500000000000000
FS( 102 ),5184963.000000000000000,4894534.550000000745058,10079497.550000000745058
FS( 103 ),5159968.000000000000000,4894120.959999999962747,10054088.960000000894070
FS( 104 ),5200459.900000000372529,4955745.870000000111759,10156205.769999999552965
FS( 105 ),5187962.400000000372529,4918522.770000000484288,10106485.170000001788139
FS( 106 ),5134973.000000000000000,4865583.250000000000000,10000556.250000000000000
FS( 107 ),5022995.400000000372529,4816779.629999999888241,9839775.030000001192093
FS( 108 ),5043991.200000000186265,4825878.610000000335276,9869869.810000000521541
FS( 109 ),5018496.299999999813735,4776661.400000000372529,9795157.699999999254942
FS( 110 ),4960008.000000000000000,4636040.800000000745058,9596048.800000000745058
FS( 111 ),4907018.599999999627471,4556217.929999999701977,9463236.529999999329448
FS( 112 ),4877524.500000000000000,4532229.709999999962747,9409754.210000000894070
FS( 113 ),4911017.799999999813735,4643071.830000000074506,9554089.629999998956919
FS( 114 ),4850030.000000000000000,4517754.060000000521541,9367784.060000000521541
FS( 115 ),4943511.299999999813735,4581033.330000000074506,9524544.629999998956919
FS( 116 ),4849030.200000000186265,4519408.419999999925494,9368438.620000001043081
FS( 117 ),4874025.200000000186265,4656306.709999999962747,9530331.910000000149012
FS( 118 ),4786542.700000000186265,4747710.100000000558794,9534252.800000000745058
FS( 119 ),4796040.799999999813735,4694356.990000000223517,9490397.789999999105930
FS( 120 ),4836532.700000000186265,4728684.959999999962747,9565217.660000000149012
FS( 121 ),4819036.200000000186265,4689393.910000000149012,9508430.109999999403954
FS( 122 ),5057988.400000000372529,4713382.129999999888241,9771370.530000001192093
FS( 123 ),5106978.599999999627471,4645966.959999999962747,9752945.559999998658895
FS( 124 ),5112477.500000000000000,4606675.910000000149012,9719153.410000000149012
FS( 125 ),5220955.799999999813735,4763012.929999999701977,9983968.730000000447035
FS( 126 ),5217456.500000000000000,4793205.000000000000000,10010661.500000000000000
FS( 127 ),5169466.099999999627471,4710073.410000000149012,9879539.509999999776483
FS( 128 ),5205958.799999999813735,4663337.740000000223517,9869296.539999999105930
FS( 129 ),5193961.200000000186265,4723308.290000000037253,9917269.490000000223517
FS( 130 ),5025994.800000000745058,4620737.969999999739230,9646732.769999999552965
FS( 131 ),5098980.200000000186265,4550427.669999999925494,9649407.870000001043081
FS( 132 ),5097480.500000000000000,4597576.929999999701977,9695057.429999999701977
FS( 133 ),5085482.900000000372529,4662924.150000000372529,9748407.050000000745058
FS( 134 ),5083983.200000000186265,4575243.070000000298023,9659226.269999999552965
FS( 135 ),5089982.000000000000000,4624873.870000000111759,9714855.870000001043081
FS( 136 ),5114977.000000000000000,4762599.340000000782311,9877576.339999999850988
FS( 137 ),5123975.200000000186265,4892880.190000000409782,10016855.390000000596046
FS( 138 ),5210957.799999999813735,4857725.040000000037253,10068682.839999999850988
