代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14228872.309999998658895
真實報酬,4228872.309999998658895

夏普值報酬,0.414187231000000
夏普值風險,0.096775509768840
夏普值,4.279876509969680

二次趨勢線,-13.916937647370968 x^2 + 19992.395351146678877 x + 10000000.000000000000000
二次平均預期報酬,16457.493188714448479
風險,182490.582823384378571
二次平均趨勢值,0.090182698384180
一次趨勢線,17346.447874533227150 x + 10000000.000000000000000
一次預期報酬,17346.447874533227150
一次風險,208134.948877494724002
一次趨勢值,0.083342312130113
找到最佳解世代,2061
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](7),DD[7](1),MRK[17](10),UNH[23](11),
Stock#,BA[2](7),DD[7](1),MRK[17](10),UNH[23](11),
張數,29325,55965,56369,42394,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,43.750000000000000,43.449999999720603,34.850000000093132,25.819999999832362,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2465983.000000000000000,2466980.649999999441206,2531566.640000000130385,2617431.379999999888241,10081961.669999998062849
FS( 3 ),2473900.750000000000000,2470898.199999999720603,2556932.689999999944121,2614463.799999999813735,10116195.439999997615814
FS( 4 ),2491202.500000000000000,2505036.849999999627471,2554677.930000000167638,2629725.639999999664724,10180642.919999998062849
FS( 5 ),2526979.000000000000000,2462503.449999999720603,2543967.820000000298023,2632693.219999999739230,10166143.489999998360872
FS( 6 ),2543987.500000000000000,2445154.299999999813735,2563696.969999999739230,2623790.479999999981374,10176629.250000000000000
FS( 7 ),2557477.000000000000000,2505596.500000000000000,2565388.040000000037253,2636084.739999999757856,10264546.279999999329448
FS( 8 ),2575365.250000000000000,2536936.899999999441206,2640358.810000000055879,2645835.359999999869615,10398496.319999998435378
FS( 9 ),2596186.000000000000000,2539175.499999999534339,2661215.340000000316650,2669999.939999999478459,10466576.779999999329448
FS( 10 ),2606743.000000000000000,2530221.099999999627471,2655578.439999999944121,2672119.639999999664724,10464662.179999999701977
FS( 11 ),2544574.000000000000000,2405419.149999999441206,2618938.590000000316650,2611072.279999999795109,10180004.019999999552965
FS( 12 ),2548093.000000000000000,2412694.599999999627471,2647123.090000000316650,2662792.959999999962747,10270703.649999998509884
FS( 13 ),2542228.000000000000000,2414933.199999999720603,2635849.290000000037253,2629725.639999999664724,10222736.129999998956919
FS( 14 ),2525512.750000000000000,2405419.149999999441206,2624575.490000000223517,2530523.679999999701977,10086031.070000000298023
FS( 15 ),2579470.750000000000000,2435080.599999999627471,2676998.660000000149012,2545361.579999999608845,10236911.589999999850988
FS( 16 ),2549559.250000000000000,2469778.899999999906868,2701237.330000000074506,2510598.500000000000000,10231173.980000000447035
FS( 17 ),2585922.250000000000000,2523505.299999999813735,2741259.320000000298023,2481770.579999999608845,10332457.449999999254942
FS( 18 ),2663633.500000000000000,2563800.099999999627471,2702928.400000000372529,2492369.079999999608845,10422731.080000000074506
FS( 19 ),2688266.500000000000000,2707630.149999999906868,2669107.000000000000000,2515685.779999999795109,10580689.429999999701977
FS( 20 ),2722870.000000000000000,2663417.799999999813735,2698418.879999999888241,2521620.939999999478459,10606327.619999999180436
FS( 21 ),2695011.250000000000000,2699235.399999999441206,2695600.430000000167638,2544089.759999999776483,10633936.839999999850988
FS( 22 ),2680642.000000000000000,2702593.299999999813735,2649377.850000000093132,2540698.239999999757856,10573311.390000000596046
FS( 23 ),2673897.250000000000000,2642151.099999999627471,2575534.459999999962747,2531795.500000000000000,10423378.309999998658895
FS( 24 ),2704102.000000000000000,2639912.500000000000000,2577789.219999999739230,2521620.939999999478459,10443424.660000000149012
FS( 25 ),2748969.250000000000000,2706510.849999999627471,2574407.080000000074506,2497880.299999999813735,10527767.480000000447035
FS( 26 ),2762165.500000000000000,2710428.399999999906868,2535512.469999999739230,2552144.620000000111759,10560250.990000000223517
FS( 27 ),2779760.500000000000000,2752961.799999999813735,2551859.480000000447035,2564862.819999999832362,10649444.599999999627471
FS( 28 ),2757766.750000000000000,2750723.199999999720603,2536076.160000000149012,2650074.759999999776483,10694640.869999999180436
FS( 29 ),2774482.000000000000000,2783182.899999999441206,2564260.660000000149012,2628877.759999999776483,10750803.320000000298023
FS( 30 ),2763631.750000000000000,2746245.999999999534339,2590190.400000000372529,2667032.359999999869615,10767100.509999999776483
FS( 31 ),2778880.750000000000000,2737851.250000000000000,2602591.580000000074506,2644987.479999999981374,10764311.060000000521541
FS( 32 ),2818469.500000000000000,2783742.549999999813735,2629648.700000000186265,2617007.439999999478459,10848868.189999999478459
FS( 33 ),2845155.250000000000000,2816761.899999999441206,2634158.219999999739230,2611920.159999999683350,10907995.529999999329448
FS( 34 ),2832252.250000000000000,2797733.799999999813735,2613865.379999999888241,2634388.979999999981374,10878240.410000000149012
FS( 35 ),2900872.750000000000000,2854818.099999999627471,2592445.160000000149012,2664064.779999999795109,11012200.789999999105930
FS( 36 ),2895007.750000000000000,2838028.599999999627471,2548477.340000000316650,2652194.459999999962747,10933708.149999998509884
FS( 37 ),2895887.500000000000000,2851460.199999999720603,2667979.620000000111759,2665336.599999999627471,11080663.919999999925494
FS( 38 ),2871841.000000000000000,2798853.099999999627471,2633030.840000000316650,2640324.139999999664724,10944049.079999998211861
FS( 39 ),2925212.500000000000000,2797733.799999999813735,2667979.620000000111759,2643715.659999999683350,11034641.580000000074506
FS( 40 ),2932543.750000000000000,2796054.849999999627471,2658396.890000000130385,2630997.459999999962747,11017992.949999999254942
FS( 41 ),2935769.500000000000000,2792696.949999999720603,2684326.629999999888241,2685261.779999999795109,11098054.859999997541308
FS( 42 ),2905858.000000000000000,2784861.849999999627471,2642049.879999999888241,2685685.719999999739230,11018455.449999999254942
FS( 43 ),2948379.250000000000000,2773668.849999999627471,2653323.680000000167638,2741221.859999999869615,11116593.639999998733401
FS( 44 ),2903805.250000000000000,2746245.999999999534339,2632467.150000000372529,2655162.040000000037253,10937680.440000001341105
FS( 45 ),2954244.250000000000000,2736731.949999999720603,2731112.900000000372529,2662369.019999999552965,11084458.119999999180436
FS( 46 ),2921107.000000000000000,2759117.949999999720603,2786918.209999999962747,2643715.659999999683350,11110858.820000000298023
FS( 47 ),2888263.000000000000000,2682445.899999999906868,2746896.219999999739230,2617855.319999999832362,10935460.439999999478459
FS( 48 ),2925505.750000000000000,2700914.349999999627471,2739568.250000000000000,2625062.299999999813735,10991050.649999998509884
FS( 49 ),3005563.000000000000000,2737851.250000000000000,2716456.959999999962747,2652618.399999999906868,11112489.610000001266599
FS( 50 ),2998231.750000000000000,2736172.299999999813735,2731676.590000000316650,2699675.739999999757856,11165756.380000000819564
FS( 51 ),2983862.500000000000000,2709868.750000000000000,2680944.490000000223517,2710274.239999999757856,11084949.980000000447035
FS( 52 ),2958349.750000000000000,2693079.249999999534339,2663470.100000000093132,2706034.839999999850988,11020933.939999999478459
FS( 53 ),2995885.750000000000000,2761356.549999999813735,2700109.950000000186265,2719600.919999999925494,11176953.169999999925494
FS( 54 ),2986208.500000000000000,2710428.399999999906868,2702928.400000000372529,2704763.019999999552965,11104328.320000000298023
FS( 55 ),3021398.500000000000000,2721061.749999999534339,2694473.049999999813735,2728927.600000000093132,11165860.900000000372529
FS( 56 ),3052189.750000000000000,2759117.949999999720603,2691654.600000000093132,2784463.740000000223517,11287426.039999999105930
FS( 57 ),2998525.000000000000000,2717703.849999999627471,2682071.870000000111759,2766658.260000000242144,11164958.979999998584390
FS( 58 ),2921986.750000000000000,2645509.000000000000000,2610483.240000000223517,2704763.019999999552965,10882742.009999999776483
FS( 59 ),2931957.250000000000000,2600736.999999999534339,2649377.850000000093132,2709002.419999999925494,10891074.519999999552965
FS( 60 ),2869495.000000000000000,2578350.999999999534339,2616120.140000000130385,2740797.919999999925494,10804764.060000000521541
FS( 61 ),2893541.500000000000000,2590103.649999999906868,2605973.719999999739230,2701795.439999999478459,10791414.309999998658895
FS( 62 ),2954537.500000000000000,2566598.349999999627471,2631903.459999999962747,2746309.139999999664724,10899348.449999999254942
FS( 63 ),3024917.500000000000000,2578350.999999999534339,2665161.169999999925494,2801845.279999999795109,11070274.949999999254942
FS( 64 ),3004096.750000000000000,2563800.099999999627471,2618374.900000000372529,2775984.939999999944121,10962256.689999999478459
FS( 65 ),3027556.750000000000000,2590103.649999999906868,2611046.930000000167638,2782344.039999999571592,11011051.369999999180436
FS( 66 ),2975651.500000000000000,2585626.449999999720603,2624011.799999999813735,2767082.199999999720603,10952371.949999999254942
FS( 67 ),3017293.000000000000000,2584507.149999999906868,2624011.799999999813735,2778528.580000000074506,11004340.530000001192093
FS( 68 ),3055708.750000000000000,2605214.199999999720603,2658396.890000000130385,2805236.799999999813735,11124556.640000000596046
FS( 69 ),3060694.000000000000000,2637114.249999999534339,2672489.140000000130385,2864164.459999999962747,11234461.850000001490116
FS( 70 ),3069784.750000000000000,2711547.699999999720603,2684326.629999999888241,2881546.000000000000000,11347205.079999998211861
FS( 71 ),3093831.250000000000000,2693079.249999999534339,2703492.090000000316650,2869675.679999999701977,11360078.269999999552965
FS( 72 ),3134299.750000000000000,2725538.949999999720603,2723221.240000000223517,2898079.659999999683350,11481139.599999999627471
FS( 73 ),2987381.500000000000000,2719382.799999999813735,2736186.109999999869615,2882817.819999999832362,11325768.230000000447035
