代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14222348.490000002086163
真實報酬,4222348.490000002086163

夏普值報酬,0.413534849000000
夏普值風險,0.107464761998498
夏普值,3.848097193066701

二次趨勢線,20.181607853969176 x^2 + 12273.174597748004089 x + 10000000.000000000000000
二次平均預期報酬,17358.939776948231156
風險,130246.620852762935101
二次平均趨勢值,0.133277467494313
一次趨勢線,16079.915333272620046 x + 10000000.000000000000000
一次預期報酬,16079.915333272620046
一次風險,193321.658794515824411
一次趨勢值,0.083176998550194
找到最佳解世代,2563
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
BA[2](2),HD[9](12),MCD[15](4),MSFT[18](1),UNH[23](3),V[25](5),
Stock#,BA[2](2),HD[9](12),MCD[15](4),MSFT[18](1),UNH[23](3),V[25](5),
張數,12590,12970,14538,29025,12034,20114,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,1.800000000046566,21.000000000000000,29.679999999934807,50.500000000000000,77.339999999850988,19.959999999962747,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1665029.300000000046566,1662774.999999999767169,1650092.679999999934807,1661441.500000000000000,1662694.779999999795109,1664051.179999999934807,9966088.439999999478459
FS( 3 ),1695371.199999999953434,1654733.600000000093132,1648784.259999999776483,1673051.500000000000000,1655955.739999999757856,1676521.859999999869615,10004422.159999998286366
FS( 4 ),1692349.599999999860302,1688585.300000000046566,1656198.639999999897555,1675954.000000000000000,1642357.319999999832362,1676723.000000000000000,10032171.859999999403954
FS( 5 ),1685173.300000000046566,1664201.699999999953434,1649365.780000000027940,1677695.500000000000000,1644643.779999999795109,1667068.279999999795109,9988152.339999999850988
FS( 6 ),1710227.400000000139698,1650453.500000000000000,1667683.659999999916181,1684661.500000000000000,1661732.060000000055879,1671895.640000000130385,10046657.760000001639128
FS( 7 ),1683788.400000000139698,1632295.500000000000000,1652709.520000000018626,1659990.250000000000000,1621658.839999999850988,1650172.520000000018626,9900619.029999999329448
FS( 8 ),1676486.199999999953434,1643190.300000000046566,1667683.659999999916181,1657668.250000000000000,1625870.739999999757856,1654396.459999999962747,9925299.609999999403954
FS( 9 ),1679256.000000000000000,1638002.300000000046566,1677860.259999999776483,1652153.500000000000000,1614919.799999999813735,1646753.140000000130385,9908949.000000000000000
FS( 10 ),1680766.800000000046566,1639688.399999999906868,1658670.100000000093132,1666666.000000000000000,1611670.619999999646097,1658419.260000000009313,9915885.179999999701977
FS( 11 ),1687061.800000000046566,1623086.800000000046566,1634246.259999999776483,1660861.000000000000000,1614197.759999999776483,1652385.060000000055879,9871842.679999999701977
FS( 12 ),1700910.800000000046566,1630868.800000000046566,1617382.179999999934807,1673632.000000000000000,1725632.599999999627471,1640920.079999999841675,9989350.459999999031425
FS( 13 ),1714508.000000000232831,1632814.300000000046566,1617527.560000000055879,1669858.750000000000000,1737425.919999999925494,1665660.300000000046566,10037798.830000000074506
FS( 14 ),1710227.400000000139698,1637483.500000000000000,1607496.339999999850988,1661731.750000000000000,1745849.719999999739230,1659424.959999999962747,10022217.669999999925494
FS( 15 ),1707583.500000000000000,1642023.000000000000000,1656344.020000000018626,1731682.000000000000000,1749459.919999999925494,1656407.859999999869615,10143504.299999998882413
FS( 16 ),1730497.299999999813735,1657327.600000000093132,1651110.339999999850988,1770575.500000000000000,1741276.799999999813735,1672901.340000000083819,10223692.879999998956919
FS( 17 ),1750263.600000000093132,1599740.800000000046566,1638753.039999999804422,1770285.250000000000000,1730325.859999999869615,1649971.379999999888241,10139343.929999999701977
FS( 18 ),1832350.399999999906868,1591569.699999999953434,1629884.859999999869615,1759836.250000000000000,1711673.159999999683350,1644339.459999999962747,10169657.829999998211861
FS( 19 ),1804274.700000000186265,1585733.199999999953434,1629448.719999999972060,1744453.000000000000000,1708183.299999999813735,1647758.840000000083819,10119855.759999999776483
FS( 20 ),1800497.699999999953434,1602853.600000000093132,1629739.479999999748543,1737777.250000000000000,1689049.239999999757856,1653793.040000000037253,10113714.309999998658895
FS( 21 ),1793195.500000000232831,1582490.699999999953434,1636572.339999999850988,1739228.500000000000000,1700842.560000000055879,1659626.100000000093132,10111959.699999999254942
FS( 22 ),1792943.699999999953434,1554994.300000000046566,1631920.179999999934807,1735745.500000000000000,1677977.959999999962747,1641724.640000000130385,10035310.280000001192093
FS( 23 ),1772044.300000000046566,1560182.300000000046566,1633955.500000000000000,1725006.250000000000000,1672562.659999999683350,1620806.079999999841675,9984561.089999999850988
FS( 24 ),1762853.600000000093132,1558755.600000000093132,1624215.039999999804422,1718620.750000000000000,1658723.560000000055879,1622214.060000000055879,9945386.610000001266599
FS( 25 ),1756810.399999999906868,1568223.699999999953434,1614329.199999999953434,1704108.250000000000000,1657279.479999999981374,1616381.000000000000000,9917136.029999999329448
