代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11719000.000000000000000
真實報酬,1719000.000000000000000

夏普值報酬,0.163200000000000
夏普值風險,0.088598206731427
夏普值,1.842023738637482

二次趨勢線,81.374050929249208 x^2 + -10244.366560867820226 x + 10000000.000000000000000
二次平均預期報酬,10343.268324232227314
風險,341732.074360252183396
二次平均趨勢值,0.030267186197244
一次趨勢線,5165.783907583305336 x + 10000000.000000000000000
一次預期報酬,5165.783907583305336
一次風險,673715.590609694598243
一次趨勢值,0.007667603332303
找到最佳解世代,1293
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,100000,
分配資金,10000000.000000000000000,
剩餘資金,0.000000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9974000.000000000000000,9974000.000000000000000
FS( 3 ),10025000.000000000000000,10025000.000000000000000
FS( 4 ),9911000.000000000000000,9911000.000000000000000
FS( 5 ),9713000.000000000000000,9713000.000000000000000
FS( 6 ),9771000.000000000000000,9771000.000000000000000
FS( 7 ),9629000.000000000000000,9629000.000000000000000
FS( 8 ),9496000.000000000000000,9496000.000000000000000
FS( 9 ),9625000.000000000000000,9625000.000000000000000
FS( 10 ),9635000.000000000000000,9635000.000000000000000
FS( 11 ),9715000.000000000000000,9715000.000000000000000
FS( 12 ),9617000.000000000000000,9617000.000000000000000
FS( 13 ),9700000.000000000000000,9700000.000000000000000
FS( 14 ),9598000.000000000000000,9598000.000000000000000
FS( 15 ),9705000.000000000000000,9705000.000000000000000
FS( 16 ),9862000.000000000000000,9862000.000000000000000
FS( 17 ),9936000.000000000000000,9936000.000000000000000
FS( 18 ),9814000.000000000000000,9814000.000000000000000
FS( 19 ),9764000.000000000000000,9764000.000000000000000
FS( 20 ),9696000.000000000000000,9696000.000000000000000
FS( 21 ),9788000.000000000000000,9788000.000000000000000
FS( 22 ),9744000.000000000000000,9744000.000000000000000
FS( 23 ),9629000.000000000000000,9629000.000000000000000
FS( 24 ),9583000.000000000000000,9583000.000000000000000
FS( 25 ),9628000.000000000000000,9628000.000000000000000
FS( 26 ),9635000.000000000000000,9635000.000000000000000
FS( 27 ),9685000.000000000000000,9685000.000000000000000
FS( 28 ),9655000.000000000000000,9655000.000000000000000
FS( 29 ),9780000.000000000000000,9780000.000000000000000
FS( 30 ),9744000.000000000000000,9744000.000000000000000
FS( 31 ),9758000.000000000000000,9758000.000000000000000
FS( 32 ),9644000.000000000000000,9644000.000000000000000
FS( 33 ),9563000.000000000000000,9563000.000000000000000
FS( 34 ),9488000.000000000000000,9488000.000000000000000
FS( 35 ),9618000.000000000000000,9618000.000000000000000
FS( 36 ),9487000.000000000000000,9487000.000000000000000
FS( 37 ),9784000.000000000000000,9784000.000000000000000
FS( 38 ),9700000.000000000000000,9700000.000000000000000
FS( 39 ),9874000.000000000000000,9874000.000000000000000
FS( 40 ),9644000.000000000000000,9644000.000000000000000
FS( 41 ),9683000.000000000000000,9683000.000000000000000
FS( 42 ),9702000.000000000000000,9702000.000000000000000
FS( 43 ),9655000.000000000000000,9655000.000000000000000
FS( 44 ),9780000.000000000000000,9780000.000000000000000
FS( 45 ),9613000.000000000000000,9613000.000000000000000
FS( 46 ),9613000.000000000000000,9613000.000000000000000
FS( 47 ),9639000.000000000000000,9639000.000000000000000
FS( 48 ),9678000.000000000000000,9678000.000000000000000
FS( 49 ),9823000.000000000000000,9823000.000000000000000
FS( 50 ),9751000.000000000000000,9751000.000000000000000
FS( 51 ),9795000.000000000000000,9795000.000000000000000
FS( 52 ),9735000.000000000000000,9735000.000000000000000
FS( 53 ),9771000.000000000000000,9771000.000000000000000
FS( 54 ),9804000.000000000000000,9804000.000000000000000
FS( 55 ),9802000.000000000000000,9802000.000000000000000
FS( 56 ),10068000.000000000000000,10068000.000000000000000
FS( 57 ),10011000.000000000000000,10011000.000000000000000
FS( 58 ),9928000.000000000000000,9928000.000000000000000
FS( 59 ),9899000.000000000000000,9899000.000000000000000
FS( 60 ),9846000.000000000000000,9846000.000000000000000
FS( 61 ),9866000.000000000000000,9866000.000000000000000
FS( 62 ),9648000.000000000000000,9648000.000000000000000
FS( 63 ),9593000.000000000000000,9593000.000000000000000
FS( 64 ),9622000.000000000000000,9622000.000000000000000
FS( 65 ),9629000.000000000000000,9629000.000000000000000
FS( 66 ),9652000.000000000000000,9652000.000000000000000
FS( 67 ),9631000.000000000000000,9631000.000000000000000
FS( 68 ),9554000.000000000000000,9554000.000000000000000
FS( 69 ),9532000.000000000000000,9532000.000000000000000
FS( 70 ),9473000.000000000000000,9473000.000000000000000
FS( 71 ),9530000.000000000000000,9530000.000000000000000
FS( 72 ),9559000.000000000000000,9559000.000000000000000
FS( 73 ),9506000.000000000000000,9506000.000000000000000
FS( 74 ),9430000.000000000000000,9430000.000000000000000
FS( 75 ),9463000.000000000000000,9463000.000000000000000
FS( 76 ),9522000.000000000000000,9522000.000000000000000
FS( 77 ),9617000.000000000000000,9617000.000000000000000
FS( 78 ),9608000.000000000000000,9608000.000000000000000
FS( 79 ),9687000.000000000000000,9687000.000000000000000
FS( 80 ),9718000.000000000000000,9718000.000000000000000
FS( 81 ),9664000.000000000000000,9664000.000000000000000
FS( 82 ),9579000.000000000000000,9579000.000000000000000
FS( 83 ),9729000.000000000000000,9729000.000000000000000
FS( 84 ),9544000.000000000000000,9544000.000000000000000
FS( 85 ),9507000.000000000000000,9507000.000000000000000
FS( 86 ),9576000.000000000000000,9576000.000000000000000
FS( 87 ),9617000.000000000000000,9617000.000000000000000
FS( 88 ),9565000.000000000000000,9565000.000000000000000
FS( 89 ),9668000.000000000000000,9668000.000000000000000
FS( 90 ),9584000.000000000000000,9584000.000000000000000
FS( 91 ),9649000.000000000000000,9649000.000000000000000
FS( 92 ),9765000.000000000000000,9765000.000000000000000
FS( 93 ),9843000.000000000000000,9843000.000000000000000
FS( 94 ),9878000.000000000000000,9878000.000000000000000
FS( 95 ),9907000.000000000000000,9907000.000000000000000
FS( 96 ),9786000.000000000000000,9786000.000000000000000
FS( 97 ),9750000.000000000000000,9750000.000000000000000
FS( 98 ),9749000.000000000000000,9749000.000000000000000
FS( 99 ),9732000.000000000000000,9732000.000000000000000
FS( 100 ),9758000.000000000000000,9758000.000000000000000
FS( 101 ),9709000.000000000000000,9709000.000000000000000
FS( 102 ),9610000.000000000000000,9610000.000000000000000
FS( 103 ),9604000.000000000000000,9604000.000000000000000
FS( 104 ),9733000.000000000000000,9733000.000000000000000
FS( 105 ),9821000.000000000000000,9821000.000000000000000
FS( 106 ),9917000.000000000000000,9917000.000000000000000
FS( 107 ),9986000.000000000000000,9986000.000000000000000
FS( 108 ),9942000.000000000000000,9942000.000000000000000
FS( 109 ),9914000.000000000000000,9914000.000000000000000
FS( 110 ),9980000.000000000000000,9980000.000000000000000
FS( 111 ),9935000.000000000000000,9935000.000000000000000
FS( 112 ),9892000.000000000000000,9892000.000000000000000
FS( 113 ),9939000.000000000000000,9939000.000000000000000
FS( 114 ),9881000.000000000000000,9881000.000000000000000
FS( 115 ),9828000.000000000000000,9828000.000000000000000
FS( 116 ),9937000.000000000000000,9937000.000000000000000
FS( 117 ),9927000.000000000000000,9927000.000000000000000
FS( 118 ),10066000.000000000000000,10066000.000000000000000
FS( 119 ),10076000.000000000000000,10076000.000000000000000
FS( 120 ),10110000.000000000000000,10110000.000000000000000
FS( 121 ),9976000.000000000000000,9976000.000000000000000
FS( 122 ),9713000.000000000000000,9713000.000000000000000
FS( 123 ),9287000.000000000000000,9287000.000000000000000
FS( 124 ),9121000.000000000000000,9121000.000000000000000
FS( 125 ),9515000.000000000000000,9515000.000000000000000
FS( 126 ),9733000.000000000000000,9733000.000000000000000
FS( 127 ),9625000.000000000000000,9625000.000000000000000
FS( 128 ),9502000.000000000000000,9502000.000000000000000
FS( 129 ),9347000.000000000000000,9347000.000000000000000
FS( 130 ),9604000.000000000000000,9604000.000000000000000
FS( 131 ),9601000.000000000000000,9601000.000000000000000
FS( 132 ),9485000.000000000000000,9485000.000000000000000
FS( 133 ),9678000.000000000000000,9678000.000000000000000
FS( 134 ),9543000.000000000000000,9543000.000000000000000
FS( 135 ),9525000.000000000000000,9525000.000000000000000
FS( 136 ),9741000.000000000000000,9741000.000000000000000
FS( 137 ),9697000.000000000000000,9697000.000000000000000
FS( 138 ),9819000.000000000000000,9819000.000000000000000
FS( 139 ),9869000.000000000000000,9869000.000000000000000
FS( 140 ),9784000.000000000000000,9784000.000000000000000
FS( 141 ),9705000.000000000000000,9705000.000000000000000
FS( 142 ),9790000.000000000000000,9790000.000000000000000
FS( 143 ),9720000.000000000000000,9720000.000000000000000
FS( 144 ),9738000.000000000000000,9738000.000000000000000
FS( 145 ),9729000.000000000000000,9729000.000000000000000
FS( 146 ),9759000.000000000000000,9759000.000000000000000
FS( 147 ),9596000.000000000000000,9596000.000000000000000
FS( 148 ),9748000.000000000000000,9748000.000000000000000
FS( 149 ),9853000.000000000000000,9853000.000000000000000
FS( 150 ),9878000.000000000000000,9878000.000000000000000
FS( 151 ),9979000.000000000000000,9979000.000000000000000
FS( 152 ),10117000.000000000000000,10117000.000000000000000
FS( 153 ),10190000.000000000000000,10190000.000000000000000
FS( 154 ),10177000.000000000000000,10177000.000000000000000
FS( 155 ),10295000.000000000000000,10295000.000000000000000
FS( 156 ),10276000.000000000000000,10276000.000000000000000
FS( 157 ),10324000.000000000000000,10324000.000000000000000
FS( 158 ),10338000.000000000000000,10338000.000000000000000
FS( 159 ),10282000.000000000000000,10282000.000000000000000
FS( 160 ),10366000.000000000000000,10366000.000000000000000
FS( 161 ),10482000.000000000000000,10482000.000000000000000
FS( 162 ),10449000.000000000000000,10449000.000000000000000
FS( 163 ),10384000.000000000000000,10384000.000000000000000
FS( 164 ),10254000.000000000000000,10254000.000000000000000
FS( 165 ),11087000.000000000000000,11087000.000000000000000
FS( 166 ),11259000.000000000000000,11259000.000000000000000
FS( 167 ),11218000.000000000000000,11218000.000000000000000
FS( 168 ),11164000.000000000000000,11164000.000000000000000
FS( 169 ),11294000.000000000000000,11294000.000000000000000
FS( 170 ),11262000.000000000000000,11262000.000000000000000
FS( 171 ),11225000.000000000000000,11225000.000000000000000
FS( 172 ),11211000.000000000000000,11211000.000000000000000
FS( 173 ),11208000.000000000000000,11208000.000000000000000
FS( 174 ),11240000.000000000000000,11240000.000000000000000
FS( 175 ),11285000.000000000000000,11285000.000000000000000
FS( 176 ),11331000.000000000000000,11331000.000000000000000
FS( 177 ),11293000.000000000000000,11293000.000000000000000
FS( 178 ),11322000.000000000000000,11322000.000000000000000
FS( 179 ),11385000.000000000000000,11385000.000000000000000
FS( 180 ),11211000.000000000000000,11211000.000000000000000
FS( 181 ),10997000.000000000000000,10997000.000000000000000
FS( 182 ),11106000.000000000000000,11106000.000000000000000
FS( 183 ),11094000.000000000000000,11094000.000000000000000
FS( 184 ),11253000.000000000000000,11253000.000000000000000
FS( 185 ),11330000.000000000000000,11330000.000000000000000
FS( 186 ),11391000.000000000000000,11391000.000000000000000
FS( 187 ),11447000.000000000000000,11447000.000000000000000
FS( 188 ),11428000.000000000000000,11428000.000000000000000
FS( 189 ),11440000.000000000000000,11440000.000000000000000
FS( 190 ),11423000.000000000000000,11423000.000000000000000
FS( 191 ),11416000.000000000000000,11416000.000000000000000
FS( 192 ),11445000.000000000000000,11445000.000000000000000
FS( 193 ),11372000.000000000000000,11372000.000000000000000
FS( 194 ),11339000.000000000000000,11339000.000000000000000
FS( 195 ),11620000.000000000000000,11620000.000000000000000
FS( 196 ),11642000.000000000000000,11642000.000000000000000
FS( 197 ),11653000.000000000000000,11653000.000000000000000
FS( 198 ),11658000.000000000000000,11658000.000000000000000
FS( 199 ),11720000.000000000000000,11720000.000000000000000
FS( 200 ),11608000.000000000000000,11608000.000000000000000
FS( 201 ),11626000.000000000000000,11626000.000000000000000
FS( 202 ),11693000.000000000000000,11693000.000000000000000
FS( 203 ),11784000.000000000000000,11784000.000000000000000
FS( 204 ),11750000.000000000000000,11750000.000000000000000
FS( 205 ),11666000.000000000000000,11666000.000000000000000
FS( 206 ),11769000.000000000000000,11769000.000000000000000
FS( 207 ),11772000.000000000000000,11772000.000000000000000
FS( 208 ),11880000.000000000000000,11880000.000000000000000
FS( 209 ),11857000.000000000000000,11857000.000000000000000
FS( 210 ),11875000.000000000000000,11875000.000000000000000
FS( 211 ),12007000.000000000000000,12007000.000000000000000
FS( 212 ),11943000.000000000000000,11943000.000000000000000
FS( 213 ),11814000.000000000000000,11814000.000000000000000
FS( 214 ),11758000.000000000000000,11758000.000000000000000
FS( 215 ),11920000.000000000000000,11920000.000000000000000
FS( 216 ),11840000.000000000000000,11840000.000000000000000
FS( 217 ),11566000.000000000000000,11566000.000000000000000
FS( 218 ),11548000.000000000000000,11548000.000000000000000
FS( 219 ),11669000.000000000000000,11669000.000000000000000
FS( 220 ),11744000.000000000000000,11744000.000000000000000
FS( 221 ),11512000.000000000000000,11512000.000000000000000
FS( 222 ),11662000.000000000000000,11662000.000000000000000
FS( 223 ),11518000.000000000000000,11518000.000000000000000
FS( 224 ),11750000.000000000000000,11750000.000000000000000
FS( 225 ),11578000.000000000000000,11578000.000000000000000
FS( 226 ),11784000.000000000000000,11784000.000000000000000
FS( 227 ),11840000.000000000000000,11840000.000000000000000
FS( 228 ),11920000.000000000000000,11920000.000000000000000
FS( 229 ),12043000.000000000000000,12043000.000000000000000
FS( 230 ),12087000.000000000000000,12087000.000000000000000
FS( 231 ),12238000.000000000000000,12238000.000000000000000
FS( 232 ),12378000.000000000000000,12378000.000000000000000
FS( 233 ),12461000.000000000000000,12461000.000000000000000
FS( 234 ),12395000.000000000000000,12395000.000000000000000
FS( 235 ),12147000.000000000000000,12147000.000000000000000
FS( 236 ),12066000.000000000000000,12066000.000000000000000
FS( 237 ),11540000.000000000000000,11540000.000000000000000
FS( 238 ),11605000.000000000000000,11605000.000000000000000
FS( 239 ),11701000.000000000000000,11701000.000000000000000
FS( 240 ),11754000.000000000000000,11754000.000000000000000
FS( 241 ),11673000.000000000000000,11673000.000000000000000
FS( 242 ),11793000.000000000000000,11793000.000000000000000
FS( 243 ),11918000.000000000000000,11918000.000000000000000
FS( 244 ),11864000.000000000000000,11864000.000000000000000
FS( 245 ),11717000.000000000000000,11717000.000000000000000
FS( 246 ),11653000.000000000000000,11653000.000000000000000
FS( 247 ),11767000.000000000000000,11767000.000000000000000
FS( 248 ),11690000.000000000000000,11690000.000000000000000
FS( 249 ),11706000.000000000000000,11706000.000000000000000
FS( 250 ),11837000.000000000000000,11837000.000000000000000
FS( 251 ),11706000.000000000000000,11706000.000000000000000
FS( 252 ),11719000.000000000000000,11719000.000000000000000
