代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14200801.419999999925494
真實報酬,4200801.419999999925494

夏普值報酬,0.411380142000000
夏普值風險,0.107606125117303
夏普值,3.823017895603517

二次趨勢線,71.693600768101390 x^2 + -2650.727569524477985 x + 10000000.000000000000000
二次平均預期報酬,15487.753424805170653
風險,340920.593597291503102
二次平均趨勢值,0.045429210542499
一次趨勢線,10926.194838112380239 x + 10000000.000000000000000
一次預期報酬,10926.194838112380239
一次風險,614737.586980009567924
一次趨勢值,0.017773754313266
找到最佳解世代,2945
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MRK[17](1),
Stock#,MRK[17](1),
張數,178986,
分配資金,10000000.000000000000000,
剩餘資金,52.179999999701977,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10062645.099999999627471,10062645.099999999627471
FS( 3 ),9982101.400000000372529,9982101.400000000372529
FS( 4 ),9727941.279999999329448,9727941.279999999329448
FS( 5 ),9803115.400000000372529,9803115.400000000372529
FS( 6 ),9946304.199999999254942,9946304.199999999254942
FS( 7 ),10084123.419999999925494,10084123.419999999925494
FS( 8 ),10214783.199999999254942,10214783.199999999254942
FS( 9 ),10186145.439999999478459,10186145.439999999478459
FS( 10 ),10025058.039999999105930,10025058.039999999105930
FS( 11 ),10066224.820000000298023,10066224.820000000298023
FS( 12 ),10062645.099999999627471,10062645.099999999627471
FS( 13 ),10064434.959999999031425,10064434.959999999031425
FS( 14 ),10042956.639999998733401,10042956.639999998733401
FS( 15 ),10130659.779999999329448,10130659.779999999329448
FS( 16 ),10087703.139999998733401,10087703.139999998733401
FS( 17 ),10084123.419999999925494,10084123.419999999925494
FS( 18 ),10084123.419999999925494,10084123.419999999925494
FS( 19 ),10130659.779999999329448,10130659.779999999329448
FS( 20 ),10071594.400000000372529,10071594.400000000372529
FS( 21 ),10062645.099999999627471,10062645.099999999627471
FS( 22 ),10048326.220000000670552,10048326.220000000670552
FS( 23 ),10211203.479999998584390,10211203.479999998584390
FS( 24 ),10200464.320000000298023,10200464.320000000298023
FS( 25 ),10141398.939999999478459,10141398.939999999478459
FS( 26 ),10166456.979999998584390,10166456.979999998584390
FS( 27 ),10255949.979999998584390,10255949.979999998584390
FS( 28 ),10309645.779999999329448,10309645.779999999329448
FS( 29 ),10499370.939999999478459,10499370.939999999478459
FS( 30 ),11109713.199999999254942,11109713.199999999254942
FS( 31 ),11102553.759999999776483,11102553.759999999776483
FS( 32 ),10941466.359999999403954,10941466.359999999403954
FS( 33 ),10968314.259999999776483,10968314.259999999776483
FS( 34 ),10962944.679999999701977,10962944.679999999701977
FS( 35 ),11043488.380000000819564,11043488.380000000819564
FS( 36 ),10950415.660000000149012,10950415.660000000149012
FS( 37 ),10971893.979999998584390,10971893.979999998584390
FS( 38 ),11104343.619999999180436,11104343.619999999180436
FS( 39 ),11030959.359999999403954,11030959.359999999403954
FS( 40 ),10855553.080000000074506,10855553.080000000074506
FS( 41 ),10604972.679999999701977,10604972.679999999701977
FS( 42 ),10714154.139999998733401,10714154.139999998733401
FS( 43 ),10481472.339999999850988,10481472.339999999850988
FS( 44 ),10094862.580000000074506,10094862.580000000074506
FS( 45 ),9926615.740000000223517,9926615.740000000223517
FS( 46 ),10001789.859999999403954,10001789.859999999403954
FS( 47 ),9795955.959999999031425,9795955.959999999031425
FS( 48 ),9821014.000000000000000,9821014.000000000000000
FS( 49 ),9921246.160000000149012,9921246.160000000149012
FS( 50 ),9826383.580000000074506,9826383.580000000074506
FS( 51 ),9826383.580000000074506,9826383.580000000074506
FS( 52 ),10021478.320000000298023,10021478.320000000298023
FS( 53 ),10075174.119999999180436,10075174.119999999180436
FS( 54 ),9840702.459999999031425,9840702.459999999031425
FS( 55 ),9763738.479999998584390,9763738.479999998584390
FS( 56 ),9767318.199999999254942,9767318.199999999254942
FS( 57 ),9821014.000000000000000,9821014.000000000000000
FS( 58 ),10034007.339999999850988,10034007.339999999850988
FS( 59 ),9794166.099999999627471,9794166.099999999627471
FS( 60 ),9704673.099999999627471,9704673.099999999627471
FS( 61 ),9611600.380000000819564,9611600.380000000819564
FS( 62 ),9729731.139999998733401,9729731.139999998733401
FS( 63 ),9736890.580000000074506,9736890.580000000074506
FS( 64 ),9718991.979999998584390,9718991.979999998584390
FS( 65 ),9749419.599999999627471,9749419.599999999627471
FS( 66 ),9801325.539999999105930,9801325.539999999105930
FS( 67 ),9869340.220000000670552,9869340.220000000670552
FS( 68 ),9908717.139999998733401,9908717.139999998733401
FS( 69 ),9910507.000000000000000,9910507.000000000000000
FS( 70 ),9808484.979999998584390,9808484.979999998584390
FS( 71 ),9889028.679999999701977,9889028.679999999701977
FS( 72 ),9964202.800000000745058,9964202.800000000745058
FS( 73 ),9778057.359999999403954,9778057.359999999403954
FS( 74 ),9779847.220000000670552,9779847.220000000670552
FS( 75 ),9788796.519999999552965,9788796.519999999552965
FS( 76 ),9686774.500000000000000,9686774.500000000000000
FS( 77 ),9559694.439999999478459,9559694.439999999478459
FS( 78 ),9672455.619999999180436,9672455.619999999180436
FS( 79 ),9620549.679999999701977,9620549.679999999701977
FS( 80 ),9860390.919999999925494,9860390.919999999925494
FS( 81 ),9749419.599999999627471,9749419.599999999627471
FS( 82 ),9534636.400000000372529,9534636.400000000372529
FS( 83 ),9681404.919999999925494,9681404.919999999925494
FS( 84 ),9761948.619999999180436,9761948.619999999180436
FS( 85 ),9760158.759999999776483,9760158.759999999776483
FS( 86 ),9550745.139999998733401,9550745.139999998733401
FS( 87 ),10051905.939999999478459,10051905.939999999478459
FS( 88 ),10110971.320000000298023,10110971.320000000298023
FS( 89 ),10059065.380000000819564,10059065.380000000819564
FS( 90 ),10155717.820000000298023,10155717.820000000298023
FS( 91 ),10232681.800000000745058,10232681.800000000745058
FS( 92 ),10497581.080000000074506,10497581.080000000074506
FS( 93 ),10608552.400000000372529,10608552.400000000372529
FS( 94 ),10545907.300000000745058,10545907.300000000745058
FS( 95 ),10495791.220000000670552,10495791.220000000670552
FS( 96 ),10529798.559999998658895,10529798.559999998658895
FS( 97 ),10783958.679999999701977,10783958.679999999701977
FS( 98 ),10755320.919999999925494,10755320.919999999925494
FS( 99 ),10672987.359999999403954,10672987.359999999403954
FS( 100 ),10633610.439999999478459,10633610.439999999478459
FS( 101 ),10644349.599999999627471,10644349.599999999627471
FS( 102 ),10536958.000000000000000,10536958.000000000000000
FS( 103 ),10377660.459999999031425,10377660.459999999031425
FS( 104 ),10255949.979999998584390,10255949.979999998584390
FS( 105 ),10297116.759999999776483,10297116.759999999776483
FS( 106 ),10336493.679999999701977,10336493.679999999701977
FS( 107 ),10270268.859999999403954,10270268.859999999403954
FS( 108 ),10159297.539999999105930,10159297.539999999105930
FS( 109 ),10372290.880000000819564,10372290.880000000819564
FS( 110 ),10391979.339999999850988,10391979.339999999850988
FS( 111 ),10683726.519999999552965,10683726.519999999552965
FS( 112 ),10681936.660000000149012,10681936.660000000149012
FS( 113 ),10596023.380000000819564,10596023.380000000819564
FS( 114 ),10694465.679999999701977,10694465.679999999701977
FS( 115 ),10572755.199999999254942,10572755.199999999254942
FS( 116 ),10585284.220000000670552,10585284.220000000670552
FS( 117 ),10483262.199999999254942,10483262.199999999254942
FS( 118 ),10461783.880000000819564,10461783.880000000819564
FS( 119 ),10590653.800000000745058,10590653.800000000745058
FS( 120 ),10583494.359999999403954,10583494.359999999403954
FS( 121 ),10576334.919999999925494,10576334.919999999925494
FS( 122 ),10452834.580000000074506,10452834.580000000074506
FS( 123 ),10689096.099999999627471,10689096.099999999627471
FS( 124 ),10655088.759999999776483,10655088.759999999776483
FS( 125 ),10839444.339999999850988,10839444.339999999850988
FS( 126 ),11100763.900000000372529,11100763.900000000372529
FS( 127 ),10988002.720000000670552,10988002.720000000670552
FS( 128 ),11084655.160000000149012,11084655.160000000149012
FS( 129 ),11095394.320000000298023,11095394.320000000298023
FS( 130 ),11200996.059999998658895,11200996.059999998658895
FS( 131 ),11156249.559999998658895,11156249.559999998658895
FS( 132 ),11175938.019999999552965,11175938.019999999552965
FS( 133 ),11202785.919999999925494,11202785.919999999925494
FS( 134 ),11018430.339999999850988,11018430.339999999850988
FS( 135 ),11102553.759999999776483,11102553.759999999776483
FS( 136 ),10916408.320000000298023,10916408.320000000298023
FS( 137 ),10923567.759999999776483,10923567.759999999776483
FS( 138 ),10968314.259999999776483,10968314.259999999776483
FS( 139 ),10950415.660000000149012,10950415.660000000149012
FS( 140 ),11002321.599999999627471,11002321.599999999627471
FS( 141 ),10932517.059999998658895,10932517.059999998658895
FS( 142 ),10868082.099999999627471,10868082.099999999627471
FS( 143 ),10717733.859999999403954,10717733.859999999403954
FS( 144 ),10792907.979999998584390,10792907.979999998584390
FS( 145 ),10864502.380000000819564,10864502.380000000819564
FS( 146 ),10821545.740000000223517,10821545.740000000223517
