代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11918833.910000000149012
真實報酬,1918833.910000000149012

夏普值報酬,0.183183391000000
夏普值風險,0.070113401136093
夏普值,2.612673013029754

二次趨勢線,36.434779359631932 x^2 + 214.339706167222118 x + 10000000.000000000000000
二次平均預期報酬,9468.773663513733482
風險,237858.957045799499610
二次平均趨勢值,0.039808354417742
一次趨勢線,7141.475183115936488 x + 10000000.000000000000000
一次預期報酬,7141.475183115936488
一次風險,353886.832856722234283
一次趨勢值,0.020180109911033
找到最佳解世代,2155
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),UNH[23](5),
Stock#,MCD[15](1),UNH[23](5),
張數,51964,41715,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,23.919999999925494,40.099999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5003637.480000000447035,4911981.349999999627471,9915618.830000000074506
FS( 3 ),5015589.199999999254942,4937010.349999999627471,9952599.549999998882413
FS( 4 ),5004676.759999999776483,4866094.849999999627471,9870771.609999999403954
FS( 5 ),4964664.480000000447035,4861089.049999999813735,9825753.530000001192093
FS( 6 ),4953232.399999999441206,4876940.749999999068677,9830173.149999998509884
FS( 7 ),4922573.640000000596046,4880277.949999999254942,9802851.589999999850988
FS( 8 ),4952193.120000000111759,4945353.349999999627471,9897546.469999998807907
FS( 9 ),4967262.679999999701977,4977473.899999999441206,9944736.579999998211861
FS( 10 ),4939721.759999999776483,4907809.849999999627471,9847531.609999999403954
FS( 11 ),4900229.120000000111759,4963290.799999999813735,9863519.919999999925494
FS( 12 ),4917377.239999999292195,5070498.349999999627471,9987875.589999999850988
FS( 13 ),4948036.000000000000000,4994994.199999999254942,9943030.199999999254942
FS( 14 ),4997401.799999999813735,5042966.449999999254942,10040368.250000000000000
FS( 15 ),4992725.040000000037253,5019606.049999999813735,10012331.089999999850988
FS( 16 ),5033776.600000000558794,5016268.849999999627471,10050045.449999999254942
FS( 17 ),5049885.440000000409782,5120139.199999999254942,10170024.640000000596046
FS( 18 ),5021824.879999999888241,4971216.649999999441206,9993041.529999999329448
FS( 19 ),4977655.480000000447035,5103036.049999999813735,10080691.530000001192093
FS( 20 ),5055601.480000000447035,5141413.849999999627471,10197015.330000000074506
FS( 21 ),4959468.080000000074506,5055480.949999999254942,10014949.029999999329448
FS( 22 ),4940241.399999999441206,5089270.099999999627471,10029511.500000000000000
FS( 23 ),4976096.560000000521541,5146836.799999999813735,10122933.359999999403954
FS( 24 ),4997401.799999999813735,5081344.250000000000000,10078746.050000000745058
FS( 25 ),4970380.520000000484288,5095944.499999999068677,10066325.019999999552965
FS( 26 ),5023903.440000000409782,5035040.599999999627471,10058944.039999999105930
FS( 27 ),4980253.679999999701977,4954947.799999999813735,9935201.480000000447035
FS( 28 ),5014030.279999999329448,4978308.200000000186265,9992338.480000000447035
FS( 29 ),5074308.520000000484288,5095527.349999999627471,10169835.870000001043081
FS( 30 ),5114840.440000000409782,5108041.849999999627471,10222882.289999999105930
FS( 31 ),5133027.839999999850988,5214415.099999999627471,10347442.939999999478459
FS( 32 ),5148097.399999999441206,5250290.000000000000000,10398387.399999998509884
FS( 33 ),5085220.959999999962747,5211495.049999999813735,10296716.009999999776483
FS( 34 ),5066513.919999999925494,5166442.849999999627471,10232956.769999999552965
FS( 35 ),5065994.279999999329448,5116384.849999999627471,10182379.129999998956919
FS( 36 ),5057160.399999999441206,5041715.000000000000000,10098875.399999998509884
FS( 37 ),5070671.040000000037253,5031286.250000000000000,10101957.289999999105930
FS( 38 ),5045208.679999999701977,4977891.049999999813735,10023099.730000000447035
FS( 39 ),4993764.319999999366701,4919907.199999999254942,9913671.519999999552965
FS( 40 ),4990646.480000000447035,4917404.299999999813735,9908050.780000001192093
FS( 41 ),5057680.040000000037253,5069246.899999999441206,10126926.939999999478459
FS( 42 ),5103408.359999999403954,5069246.899999999441206,10172655.259999997913837
FS( 43 ),5153293.799999999813735,5029200.500000000000000,10182494.300000000745058
FS( 44 ),5189148.959999999962747,5064241.099999999627471,10253390.059999998658895
FS( 45 ),5166284.799999999813735,5042966.449999999254942,10209251.250000000000000
FS( 46 ),5151734.879999999888241,5040880.700000000186265,10192615.580000000074506
FS( 47 ),5186031.120000000111759,5169362.899999999441206,10355394.019999999552965
FS( 48 ),5162647.319999999366701,5090938.700000000186265,10253586.019999999552965
FS( 49 ),5140302.799999999813735,5081761.399999999441206,10222064.199999999254942
FS( 50 ),5164725.879999999888241,5109293.299999999813735,10274019.179999999701977
FS( 51 ),5134586.759999999776483,5100116.000000000000000,10234702.759999999776483
FS( 52 ),5107045.839999999850988,5055898.099999999627471,10162943.939999999478459
FS( 53 ),5163686.600000000558794,5027531.899999999441206,10191218.500000000000000
FS( 54 ),5158490.199999999254942,5048389.399999999441206,10206879.599999997764826
FS( 55 ),5230720.160000000149012,5165191.399999999441206,10395911.559999998658895
FS( 56 ),5235916.560000000521541,5235272.599999999627471,10471189.160000000149012
FS( 57 ),5253584.319999999366701,5140162.399999999441206,10393746.719999998807907
FS( 58 ),5183952.560000000521541,4997079.950000000186265,10181032.510000001639128
FS( 59 ),5047287.239999999292195,4850660.299999999813735,9897947.539999999105930
FS( 60 ),4825920.600000000558794,4606627.549999999813735,9432548.150000000372529
FS( 61 ),4739660.359999999403954,4587855.799999999813735,9327516.160000000149012
FS( 62 ),4944398.520000000484288,4733023.999999999068677,9677422.519999999552965
FS( 63 ),5057680.040000000037253,4912815.649999999441206,9970495.689999999478459
FS( 64 ),5001558.919999999925494,4892375.299999999813735,9893934.219999998807907
FS( 65 ),4937643.199999999254942,4826465.599999999627471,9764108.799999998882413
FS( 66 ),4857099.000000000000000,4698400.549999999813735,9555499.550000000745058
FS( 67 ),4990646.480000000447035,4765144.549999999813735,9755791.030000001192093
FS( 68 ),4989087.560000000521541,4755132.949999999254942,9744220.509999999776483
FS( 69 ),4928809.319999999366701,4687137.500000000000000,9615946.820000000298023
FS( 70 ),5029099.839999999850988,4842734.450000000186265,9871834.289999999105930
FS( 71 ),4958948.440000000409782,4800602.299999999813735,9759550.740000000223517
FS( 72 ),4949594.919999999925494,4871100.649999999441206,9820695.570000000298023
FS( 73 ),5061837.160000000149012,4951610.599999999627471,10013447.759999999776483
FS( 74 ),5038973.000000000000000,4914067.099999999627471,9953040.099999999627471
FS( 75 ),5102369.080000000074506,5007091.549999999813735,10109460.629999998956919
FS( 76 ),5128351.080000000074506,5053812.349999999627471,10182163.429999999701977
FS( 77 ),5084181.679999999701977,5141831.000000000000000,10226012.679999999701977
FS( 78 ),5043130.120000000111759,5108876.149999999441206,10152006.269999999552965
FS( 79 ),5087299.520000000484288,5170197.199999999254942,10257496.719999998807907
FS( 80 ),5050924.719999999739230,5128065.049999999813735,10178989.769999999552965
FS( 81 ),5060278.239999999292195,5142665.299999999813735,10202943.539999999105930
FS( 82 ),5055601.480000000447035,5051309.450000000186265,10106910.929999999701977
FS( 83 ),5071190.679999999701977,4854414.649999999441206,9925605.329999998211861
FS( 84 ),4986489.359999999403954,4701320.599999999627471,9687809.959999999031425
FS( 85 ),5065474.640000000596046,4764727.399999999441206,9830202.039999999105930
FS( 86 ),5120036.839999999850988,4839397.250000000000000,9959434.089999999850988
FS( 87 ),5133027.839999999850988,4864426.250000000000000,9997454.089999999850988
FS( 88 ),5185511.480000000447035,4957033.549999999813735,10142545.030000001192093
