代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15564841.720000000670552
真實報酬,5564841.720000000670552

夏普值報酬,0.547784172000000
夏普值風險,0.134936195815343
夏普值,4.059579186222440

二次趨勢線,66.280031485696512 x^2 + 5317.413042548041631 x + 10000000.000000000000000
二次平均預期報酬,22086.261008429257345
風險,145761.249129037867533
二次平均趨勢值,0.151523543742939
一次趨勢線,17869.144787306675425 x + 10000000.000000000000000
一次預期報酬,17869.144787306675425
一次風險,494869.350042653153650
一次趨勢值,0.036108812933690
找到最佳解世代,1856
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AXP[1](7),BA[2](3),CAT[3](1),INTC[11](17),MCD[15](6),UNH[23](4),
Stock#,AXP[1](7),BA[2](3),CAT[3](1),INTC[11](17),MCD[15](6),UNH[23](4),
張數,21712,10164,17523,45637,13614,10243,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,52.879999999888241,74.919999999925494,53.469999999972060,2.759999999776483,40.119999999878928,27.469999999972060,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1661238.000000000000000,1649285.559999999823049,1643185.179999999934807,1673967.919999999692664,1677557.199999999953434,1646692.149999999906868,9951930.009999999776483
FS( 3 ),1694457.360000000102445,1650708.520000000018626,1634598.909999999916181,1666666.000000000000000,1691443.479999999748543,1658061.880000000121072,9995940.150000000372529
FS( 4 ),1689680.719999999739230,1666767.639999999897555,1627414.479999999981374,1655256.750000000000000,1694302.419999999925494,1644131.399999999906868,9977557.410000000149012
FS( 5 ),1687509.519999999785796,1692380.919999999925494,1635124.600000000093132,1658907.709999999729916,1696208.379999999888241,1644336.260000000009313,10014471.389999998733401
FS( 6 ),1689246.479999999748543,1665039.760000000009313,1628115.399999999906868,1660276.819999999832362,1697297.500000000000000,1642082.800000000046566,9982062.759999999776483
FS( 7 ),1697497.040000000037253,1669816.839999999850988,1646514.549999999813735,1618290.779999999795109,1694710.839999999850988,1643414.389999999897555,9970248.439999999478459
FS( 8 ),1704010.639999999897555,1689636.639999999897555,1687693.600000000093132,1612814.339999999850988,1712953.599999999860302,1646589.719999999972060,10053702.540000000968575
FS( 9 ),1713346.799999999813735,1707931.839999999850988,1726068.969999999972060,1633807.359999999636784,1709141.679999999934807,1659291.040000000037253,10149591.689999997615814
FS( 10 ),1724202.799999999813735,1712708.919999999925494,1718884.540000000037253,1639740.169999999692664,1712817.459999999962747,1670968.059999999823049,10179325.950000001117587
FS( 11 ),1728328.079999999841675,1720840.120000000111759,1735180.929999999934807,1645216.609999999636784,1721938.839999999850988,1682849.939999999944121,10234358.519999997690320
FS( 12 ),1726374.000000000000000,1736187.760000000009313,1721863.449999999953434,1661645.929999999701977,1724933.919999999925494,1676294.419999999925494,10247303.479999998584390
FS( 13 ),1730716.399999999674037,1755499.360000000102445,1732202.019999999785796,1664840.519999999552965,1739909.319999999832362,1614529.130000000121072,10237700.750000000000000
FS( 14 ),1736361.519999999785796,1784466.760000000009313,1719059.769999999785796,1666666.000000000000000,1743176.679999999701977,1644745.979999999981374,10294480.710000000894070
FS( 15 ),1733973.199999999953434,1782433.959999999962747,1720812.070000000065193,1646129.349999999860302,1740590.019999999785796,1644745.979999999981374,10268688.580000000074506
FS( 16 ),1738098.479999999748543,1797679.959999999962747,1674376.119999999878928,1651149.419999999692664,1746307.899999999906868,1665539.270000000018626,10273155.149999998509884
FS( 17 ),1731802.000000000000000,1803575.079999999841675,1673149.510000000009313,1667122.369999999878928,1751481.219999999972060,1670251.050000000046566,10297385.230000000447035
FS( 18 ),1740703.919999999925494,1823801.439999999944121,1707494.589999999850988,1666209.629999999655411,1728881.979999999748543,1694014.809999999823049,10361110.369999999180436
FS( 19 ),1738315.599999999860302,1831932.639999999897555,1693826.649999999906868,1652062.159999999916181,1737867.219999999972060,1694014.809999999823049,10348023.080000000074506
FS( 20 ),1778699.919999999925494,1869336.159999999916181,1727470.810000000055879,1639740.169999999692664,1756926.820000000065193,1720236.889999999897555,10492414.770000001415610
FS( 21 ),1739184.079999999841675,1859985.280000000027940,1653523.750000000000000,1638827.429999999701977,1745763.339999999850988,1713783.800000000046566,10351071.679999999701977
FS( 22 ),1734407.439999999711290,1851752.439999999944121,1666841.229999999981374,1638371.059999999823049,1741270.719999999972060,1722900.069999999832362,10355546.959999999031425
FS( 23 ),1726156.879999999888241,1839047.439999999944121,1676303.649999999906868,1623310.849999999860302,1743040.539999999804422,1728021.569999999832362,10335884.929999999701977
FS( 24 ),1727893.839999999850988,1850126.199999999953434,1681034.860000000102445,1633807.359999999636784,1743585.099999999860302,1723924.370000000111759,10360375.730000000447035
FS( 25 ),1716169.360000000102445,1847280.280000000027940,1633722.760000000009313,1625592.699999999720603,1743857.379999999888241,1719929.599999999860302,10286556.080000000074506
FS( 26 ),1721814.479999999748543,1835388.399999999906868,1601480.439999999944121,1634720.099999999860302,1744538.079999999608845,1720953.899999999906868,10258899.400000000372529
FS( 27 ),1723551.439999999711290,1816381.719999999739230,1617601.600000000093132,1638827.429999999701977,1742359.839999999850988,1741132.609999999869615,10279858.639999998733401
FS( 28 ),1719860.399999999674037,1819939.120000000111759,1623384.189999999944121,1604599.679999999701977,1737322.659999999916181,1743488.500000000000000,10248598.549999998882413
FS( 29 ),1730282.159999999916181,1816686.639999999897555,1609716.250000000000000,1605512.419999999692664,1739909.319999999832362,1731709.050000000046566,10233819.839999999850988
FS( 30 ),1720294.639999999897555,1816483.360000000102445,1636000.750000000000000,1601861.459999999729916,1740998.439999999711290,1759570.010000000009313,10275212.660000000149012
FS( 31 ),1732019.119999999878928,1811198.079999999841675,1627064.019999999785796,1603686.939999999711290,1742359.839999999850988,1754653.370000000111759,10270985.370000001043081
FS( 32 ),1720728.879999999888241,1830611.319999999832362,1628115.399999999906868,1609619.750000000000000,1751345.079999999608845,1738264.569999999832362,10278689.000000000000000
FS( 33 ),1712044.079999999841675,1823394.879999999888241,1671747.670000000158325,1616921.669999999692664,1753251.039999999804422,1720851.469999999972060,10298214.810000000521541
FS( 34 ),1683384.239999999990687,1788532.360000000102445,1619704.360000000102445,1599123.239999999757856,1749711.399999999906868,1717778.569999999832362,10158238.169999999925494
FS( 35 ),1686423.919999999925494,1798899.639999999897555,1619704.360000000102445,1614183.449999999720603,1757607.519999999785796,1710915.760000000009313,10187738.649999998509884
FS( 36 ),1690114.959999999962747,1801745.559999999823049,1616199.760000000009313,1609619.750000000000000,1756246.119999999878928,1693092.939999999944121,10167023.089999997988343
FS( 37 ),1697931.280000000027940,1787109.399999999906868,1614797.920000000158325,1604599.679999999701977,1760874.879999999888241,1690122.469999999972060,10155439.630000000819564
FS( 38 ),1684904.079999999841675,1789955.319999999832362,1603583.199999999953434,1615096.189999999711290,1762916.979999999981374,1686025.270000000018626,10142485.039999999105930
FS( 39 ),1707484.559999999823049,1802761.959999999962747,1628816.320000000065193,1624679.959999999729916,1762372.419999999692664,1693707.520000000018626,10219826.739999998360872
FS( 40 ),1699016.879999999888241,1805506.239999999990687,1627239.250000000000000,1623310.849999999860302,1754067.879999999888241,1674143.389999999897555,10183288.490000000223517
FS( 41 ),1719860.399999999674037,1809063.639999999897555,1633547.530000000027940,1631525.509999999776483,1760602.599999999860302,1690020.040000000037253,10244623.719999998807907
FS( 42 ),1717689.199999999953434,1797679.959999999962747,1625486.949999999953434,1646129.349999999860302,1764550.660000000149012,1679981.899999999906868,10231522.020000001415610
FS( 43 ),1706398.959999999962747,1795545.520000000018626,1616900.679999999934807,1650236.679999999701977,1764550.660000000149012,1696165.840000000083819,10229802.339999999850988
FS( 44 ),1699234.000000000000000,1816381.719999999739230,1649493.459999999962747,1655713.119999999878928,1760194.179999999701977,1689815.179999999934807,10270835.660000000149012
FS( 45 ),1688378.000000000000000,1799916.040000000037253,1651420.989999999990687,1652974.899999999674037,1775441.859999999869615,1693912.380000000121072,10262048.169999999925494
FS( 46 ),1691851.919999999925494,1802863.599999999860302,1679107.329999999841675,1644303.869999999878928,1771902.219999999972060,1693605.090000000083819,10283638.029999999329448
FS( 47 ),1688595.119999999878928,1817906.319999999832362,1673850.429999999934807,1644303.869999999878928,1769315.560000000055879,1700570.330000000074506,10294545.629999998956919
FS( 48 ),1682515.759999999776483,1804794.760000000009313,1702237.689999999944121,1633807.359999999636784,1769587.839999999850988,1695039.109999999869615,10287986.519999997690320
FS( 49 ),1677522.000000000000000,1815060.399999999906868,1701536.769999999785796,1631069.139999999897555,1786196.919999999692664,1698624.160000000149012,10310013.389999998733401
FS( 50 ),1664929.040000000037253,1789447.120000000111759,1662285.250000000000000,1626049.069999999832362,1787013.759999999776483,1695858.550000000046566,10225586.790000000968575
FS( 51 ),1645822.479999999748543,1785076.599999999860302,1631444.769999999785796,1608707.009999999776483,1780206.759999999776483,1689712.750000000000000,10140974.369999999180436
FS( 52 ),1664711.919999999925494,1819634.199999999953434,1649668.689999999944121,1619203.519999999552965,1788239.019999999785796,1712452.209999999962747,10253913.559999998658895
FS( 53 ),1645605.360000000102445,1807742.319999999832362,1654049.439999999944121,1632438.250000000000000,1801172.320000000065193,1726894.840000000083819,10267906.529999999329448
FS( 54 ),1640394.479999999748543,1813332.520000000018626,1637928.280000000027940,1638827.429999999701977,1805801.079999999608845,1733655.219999999972060,10269943.009999999776483
FS( 55 ),1737447.119999999878928,1822480.120000000111759,1658780.649999999906868,1651149.419999999692664,1814377.899999999906868,1757111.689999999944121,10441350.900000000372529
FS( 56 ),1728110.959999999962747,1833457.239999999990687,1652822.829999999841675,1657538.599999999860302,1816283.859999999869615,1753219.349999999860302,10441436.839999999850988
FS( 57 ),1746783.280000000027940,1850532.760000000009313,1696455.100000000093132,1677162.509999999776483,1827447.339999999850988,1765203.660000000149012,10563588.650000000372529
FS( 58 ),1750691.439999999711290,1865270.559999999823049,1829805.129999999888241,1682638.949999999720603,1929143.919999999692664,1782719.189999999944121,10840273.189999997615814
FS( 59 ),1748303.119999999878928,1846975.360000000102445,1834010.649999999906868,1685377.169999999692664,1917435.879999999888241,1786201.809999999823049,10818307.990000000223517
FS( 60 ),1744177.839999999850988,1862323.000000000000000,1799315.110000000102445,1708195.669999999692664,1917844.300000000046566,1788762.559999999823049,10820622.480000000447035
FS( 61 ),1720728.879999999888241,1878687.040000000037253,1791955.449999999953434,1649780.309999999823049,1905047.139999999897555,1791323.309999999823049,10737526.130000000819564
FS( 62 ),1720294.639999999897555,1853886.879999999888241,1787399.469999999972060,1657082.229999999981374,1921656.219999999972060,1788352.840000000083819,10728676.279999999329448
FS( 63 ),1727025.360000000102445,1864559.079999999841675,1778813.199999999953434,1687202.649999999674037,1922745.339999999850988,1783743.489999999757856,10764093.119999999180436
FS( 64 ),1711609.839999999850988,1864050.879999999888241,1779338.890000000130385,1687659.019999999552965,1941668.800000000046566,1767354.689999999944121,10751686.119999999180436
FS( 65 ),1700753.839999999850988,1860798.399999999906868,1741664.439999999944121,1681726.209999999729916,1952968.419999999692664,1782514.330000000074506,10720429.639999998733401
FS( 66 ),1700536.719999999739230,1880516.559999999823049,1746045.189999999944121,1680357.099999999860302,1959911.560000000055879,1783538.630000000121072,10750909.759999999776483
FS( 67 ),1697062.799999999813735,1890782.199999999953434,1741313.979999999981374,1667578.739999999757856,1963723.479999999981374,1786816.389999999897555,10747281.590000001713634
FS( 68 ),1703142.159999999916181,1899828.159999999916181,1739912.140000000130385,1659820.449999999720603,1965357.160000000149012,1774524.790000000037253,10742588.859999999403954
