代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14865537.069999998435378
真實報酬,4865537.069999998435378

夏普值報酬,0.477853707000000
夏普值風險,0.110949152715568
夏普值,4.306961299876164

二次趨勢線,6.933997955158310 x^2 + 17044.379861856170464 x + 10000000.000000000000000
二次平均預期報酬,18791.747346556068806
風險,267086.020033327746205
二次平均趨勢值,0.070358408666284
一次趨勢線,18352.300056666263117 x + 10000000.000000000000000
一次預期報酬,18352.300056666263117
一次風險,271558.793162295070942
一次趨勢值,0.067581313950302
找到最佳解世代,1966
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
FS( 138 ),12674790.459999999031425,12674790.459999999031425
FS( 139 ),12670009.779999999329448,12670009.779999999329448
FS( 140 ),12329386.329999998211861,12329386.329999998211861
FS( 141 ),12392730.339999999850988,12392730.339999999850988
FS( 142 ),12343728.369999999180436,12343728.369999999180436
FS( 143 ),12652082.229999998584390,12652082.229999998584390
FS( 144 ),12523003.869999999180436,12523003.869999999180436
FS( 145 ),12726182.769999999552965,12726182.769999999552965
FS( 146 ),12540931.419999999925494,12540931.419999999925494
FS( 147 ),12616227.129999998956919,12616227.129999998956919
FS( 148 ),12678375.969999998807907,12678375.969999998807907
FS( 149 ),12630569.169999999925494,12630569.169999999925494
FS( 150 ),12513442.509999999776483,12513442.509999999776483
FS( 151 ),12557663.799999998882413,12557663.799999998882413
FS( 152 ),12458464.689999999478459,12458464.689999999478459
FS( 153 ),12670009.779999999329448,12670009.779999999329448
FS( 154 ),12681961.479999998584390,12681961.479999998584390
FS( 155 ),12621007.809999998658895,12621007.809999998658895
FS( 156 ),12752476.509999999776483,12752476.509999999776483
FS( 157 ),12920995.479999998584390,12920995.479999998584390
FS( 158 ),12842114.259999999776483,12842114.259999999776483
FS( 159 ),12827772.219999998807907,12827772.219999998807907
FS( 160 ),12713035.900000000372529,12713035.900000000372529
FS( 161 ),12754866.849999999627471,12754866.849999999627471
FS( 162 ),12759647.529999999329448,12759647.529999999329448
FS( 163 ),12751281.339999999850988,12751281.339999999850988
FS( 164 ),12484758.429999997839332,12484758.429999997839332
FS( 165 ),12452488.839999999850988,12452488.839999999850988
FS( 166 ),12588738.219999998807907,12588738.219999998807907
FS( 167 ),12299507.079999998211861,12299507.079999998211861
FS( 168 ),12405877.209999999031425,12405877.209999999031425
FS( 169 ),12511052.169999999925494,12511052.169999999925494
FS( 170 ),12756062.019999999552965,12756062.019999999552965
FS( 171 ),12833748.069999998435378,12833748.069999998435378
FS( 172 ),12999876.699999999254942,12999876.699999999254942
FS( 173 ),12993900.849999999627471,12993900.849999999627471
FS( 174 ),13072782.069999998435378,13072782.069999998435378
FS( 175 ),13108637.169999999925494,13108637.169999999925494
FS( 176 ),13255643.079999998211861,13255643.079999998211861
FS( 177 ),13290303.009999999776483,13290303.009999999776483
FS( 178 ),13265204.439999999478459,13265204.439999999478459
FS( 179 ),13099075.809999998658895,13099075.809999998658895
FS( 180 ),13197079.750000000000000,13197079.750000000000000
FS( 181 ),13354842.189999999478459,13354842.189999999478459
FS( 182 ),13290303.009999999776483,13290303.009999999776483
FS( 183 ),13425357.219999998807907,13425357.219999998807907
FS( 184 ),13352451.849999999627471,13352451.849999999627471
FS( 185 ),13114613.019999999552965,13114613.019999999552965
FS( 186 ),13120588.869999999180436,13120588.869999999180436
FS( 187 ),13105051.660000000149012,13105051.660000000149012
FS( 188 ),13205445.939999999478459,13205445.939999999478459
FS( 189 ),13323767.769999999552965,13323767.769999999552965
FS( 190 ),13634511.969999998807907,13634511.969999998807907
FS( 191 ),13523361.160000000149012,13523361.160000000149012
FS( 192 ),13630926.459999999031425,13630926.459999999031425
FS( 193 ),13494677.079999998211861,13494677.079999998211861
FS( 194 ),13595071.359999999403954,13595071.359999999403954
FS( 195 ),13670367.069999998435378,13670367.069999998435378
FS( 196 ),13743272.439999999478459,13743272.439999999478459
FS( 197 ),13801835.769999999552965,13801835.769999999552965
FS( 198 ),13850837.740000000223517,13850837.740000000223517
FS( 199 ),13856813.589999999850988,13856813.589999999850988
FS( 200 ),13797055.089999999850988,13797055.089999999850988
FS( 201 ),13745662.779999999329448,13745662.779999999329448
FS( 202 ),13780322.709999999031425,13780322.709999999031425
FS( 203 ),13607023.059999998658895,13607023.059999998658895
FS( 204 ),13457626.809999998658895,13457626.809999998658895
FS( 205 ),13477944.699999999254942,13477944.699999999254942
FS( 206 ),13712198.019999999552965,13712198.019999999552965
FS( 207 ),13863984.609999999403954,13863984.609999999403954
FS( 208 ),14391054.579999998211861,14391054.579999998211861
FS( 209 ),14107799.290000000968575,14107799.290000000968575
FS( 210 ),13951232.019999999552965,13951232.019999999552965
FS( 211 ),13916572.089999999850988,13916572.089999999850988
FS( 212 ),13514994.969999998807907,13514994.969999998807907
FS( 213 ),13658415.369999999180436,13658415.369999999180436
FS( 214 ),13806616.449999999254942,13806616.449999999254942
FS( 215 ),14036089.089999999850988,14036089.089999999850988
FS( 216 ),13957207.869999999180436,13957207.869999999180436
FS( 217 ),13867570.119999999180436,13867570.119999999180436
FS( 218 ),14013380.859999999403954,14013380.859999999403954
FS( 219 ),13838886.040000000968575,13838886.040000000968575
FS( 220 ),14030113.240000000223517,14030113.240000000223517
FS( 221 ),14244048.669999999925494,14244048.669999999925494
FS( 222 ),14370736.689999999478459,14370736.689999999478459
FS( 223 ),14210583.910000000149012,14210583.910000000149012
FS( 224 ),14246439.009999999776483,14246439.009999999776483
FS( 225 ),14272732.750000000000000,14272732.750000000000000
FS( 226 ),14021747.049999998882413,14021747.049999998882413
FS( 227 ),14260781.049999998882413,14260781.049999998882413
FS( 228 ),14407786.959999999031425,14407786.959999999031425
FS( 229 ),14509376.410000000149012,14509376.410000000149012
FS( 230 ),14483082.669999999925494,14483082.669999999925494
FS( 231 ),14369541.519999999552965,14369541.519999999552965
FS( 232 ),14504595.729999998584390,14504595.729999998584390
FS( 233 ),14725702.179999997839332,14725702.179999997839332
FS( 234 ),14671919.529999999329448,14671919.529999999329448
FS( 235 ),14685066.400000000372529,14685066.400000000372529
FS( 236 ),14601404.500000000000000,14601404.500000000000000
FS( 237 ),14327710.569999998435378,14327710.569999998435378
FS( 238 ),14493839.199999999254942,14493839.199999999254942
FS( 239 ),14673114.699999999254942,14673114.699999999254942
FS( 240 ),14595428.650000000372529,14595428.650000000372529
FS( 241 ),14312173.359999999403954,14312173.359999999403954
FS( 242 ),14480692.329999998211861,14480692.329999998211861
FS( 243 ),14510571.579999998211861,14510571.579999998211861
FS( 244 ),14569134.910000000149012,14569134.910000000149012
FS( 245 ),14609770.689999999478459,14609770.689999999478459
FS( 246 ),14726897.349999999627471,14726897.349999999627471
FS( 247 ),14773508.979999998584390,14773508.979999998584390
FS( 248 ),14702993.949999999254942,14702993.949999999254942
FS( 249 ),14857170.879999998956919,14857170.879999998956919
FS( 250 ),14888245.299999998882413,14888245.299999998882413
FS( 251 ),14865537.069999998435378,14865537.069999998435378
