代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14797106.320000000298023
真實報酬,4797106.320000000298023

夏普值報酬,0.471010632000000
夏普值風險,0.111191112017784
夏普值,4.236045700529260

二次趨勢線,9.642768417028414 x^2 + 16199.530072352445131 x + 10000000.000000000000000
二次平均預期報酬,18629.507713443585089
風險,282126.501988947682548
二次平均趨勢值,0.066032462679360
一次趨勢線,18018.390076071744261 x + 10000000.000000000000000
一次預期報酬,18018.390076071744261
一次風險,290266.440737131109927
一次趨勢值,0.062075347154546
找到最佳解世代,2099
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
FS( 100 ),11862144.400000000372529,11862144.400000000372529
FS( 101 ),11926068.759999999776483,11926068.759999999776483
FS( 102 ),11710671.460000000894070,11710671.460000000894070
FS( 103 ),11550860.560000000521541,11550860.560000000521541
FS( 104 ),11570315.800000000745058,11570315.800000000745058
FS( 105 ),11514729.400000000372529,11514729.400000000372529
FS( 106 ),11566146.820000000298023,11566146.820000000298023
FS( 107 ),11627291.860000001266599,11627291.860000001266599
FS( 108 ),11723178.400000000372529,11723178.400000000372529
FS( 109 ),11538353.620000001043081,11538353.620000001043081
FS( 110 ),11384101.360000001266599,11384101.360000001266599
FS( 111 ),11416063.540000000968575,11416063.540000000968575
FS( 112 ),11450805.040000000968575,11450805.040000000968575
FS( 113 ),11423011.840000001713634,11423011.840000001713634
FS( 114 ),11317397.679999999701977,11317397.679999999701977
FS( 115 ),10960255.060000000521541,10960255.060000000521541
FS( 116 ),10986658.600000001490116,10986658.600000001490116
FS( 117 ),11135352.220000000670552,11135352.220000000670552
FS( 118 ),11257642.300000000745058,11257642.300000000745058
FS( 119 ),11375763.400000000372529,11375763.400000000372529
FS( 120 ),11150638.480000000447035,11150638.480000000447035
FS( 121 ),12131738.439999999478459,12131738.439999999478459
FS( 122 ),12034462.240000000223517,12034462.240000000223517
FS( 123 ),12112283.199999999254942,12112283.199999999254942
FS( 124 ),12431905.000000000000000,12431905.000000000000000
FS( 125 ),12367980.640000000596046,12367980.640000000596046
FS( 126 ),12209559.400000000372529,12209559.400000000372529
FS( 127 ),12262366.480000000447035,12262366.480000000447035
FS( 128 ),12394384.179999999701977,12394384.179999999701977
FS( 129 ),12323511.520000001415610,12323511.520000001415610
