代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12897928.080000001937151
真實報酬,2897928.080000001937151

夏普值報酬,0.281092808000000
夏普值風險,0.072751907548473
夏普值,3.863717357688737

二次趨勢線,-52.436373018529288 x^2 + 29915.909007361671684 x + 10000000.000000000000000
二次平均預期報酬,23361.362380045506143
風險,107476.353815088790725
二次平均趨勢值,0.217362810988530
一次趨勢線,25019.741647197832208 x + 10000000.000000000000000
一次預期報酬,25019.741647197832208
一次風險,140857.826841361908009
一次趨勢值,0.177624078180446
找到最佳解世代,3058
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](1),V[25](2),
Stock#,TRV[22](1),V[25](2),
張數,42600,37616,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,38.000000000000000,81.280000000260770,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4910114.000000000000000,4819819.360000000335276,9729933.359999999403954
FS( 3 ),5055806.000000000000000,5027459.680000000633299,10083265.679999999701977
FS( 4 ),5039618.000000000000000,5118114.240000000223517,10157732.240000000223517
FS( 5 ),5020022.000000000000000,5145950.080000001005828,10165972.080000001937151
FS( 6 ),5055806.000000000000000,5206511.839999999850988,10262317.839999999850988
FS( 7 ),5123540.000000000000000,5216292.000000000000000,10339832.000000000000000
FS( 8 ),5132060.000000000000000,5193346.240000000223517,10325406.240000000223517
FS( 9 ),5136746.000000000000000,5157234.879999999888241,10293980.879999998956919
FS( 10 ),5189570.000000000000000,5166262.720000000670552,10355832.720000000670552
FS( 11 ),5210018.000000000000000,5166262.720000000670552,10376280.720000000670552
FS( 12 ),5237282.000000000000000,5164005.760000000707805,10401287.760000001639128
FS( 13 ),5282864.000000000000000,5209897.280000000260770,10492761.280000001192093
FS( 14 ),5212574.000000000000000,5192970.080000001005828,10405544.080000001937151
FS( 15 ),5240690.000000000000000,5153849.439999999478459,10394539.439999999478459
FS( 16 ),5298626.000000000000000,5179804.479999999515712,10478430.480000000447035
FS( 17 ),5324186.000000000000000,5216292.000000000000000,10540478.000000000000000
FS( 18 ),5326316.000000000000000,5115481.120000001043081,10441797.120000001043081
FS( 19 ),5317370.000000000000000,5078241.280000000260770,10395611.280000001192093
FS( 20 ),5362526.000000000000000,5176042.879999999888241,10538568.879999998956919
FS( 21 ),5348042.000000000000000,5078617.439999999478459,10426659.439999999478459
FS( 22 ),5388512.000000000000000,5271963.680000000633299,10660475.679999999701977
FS( 23 ),5369342.000000000000000,5322745.280000000260770,10692087.280000001192093
