代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15925909.600000001490116
真實報酬,5925909.600000001490116

夏普值報酬,0.583890960000000
夏普值風險,0.118643966238997
夏普值,4.921370875479715

二次趨勢線,-134.174687014100840 x^2 + 62718.637274534230528 x + 10000000.000000000000000
二次平均預期報酬,45812.626710757533147
風險,269190.045399127819110
二次平均趨勢值,0.170186927391134
一次趨勢線,50089.645319521929196 x + 10000000.000000000000000
一次預期報酬,50089.645319521929196
一次風險,358474.304391068813857
一次趨勢值,0.139730085827513
找到最佳解世代,2668
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,1
HD[9](1),
Stock#,HD[9](1),
張數,316555,
分配資金,10000000.000000000000000,
剩餘資金,27.550000000745058,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10278568.400000000372529,10278568.400000000372529
FS( 3 ),10392528.200000001117587,10392528.200000001117587
FS( 4 ),10566633.450000001117587,10566633.450000001117587
FS( 5 ),10737573.150000000372529,10737573.150000000372529
FS( 6 ),10971823.849999999627471,10971823.849999999627471
FS( 7 ),10987651.600000001490116,10987651.600000001490116
FS( 8 ),10990817.150000000372529,10990817.150000000372529
FS( 9 ),10892685.099999999627471,10892685.099999999627471
FS( 10 ),11095280.300000000745058,11095280.300000000745058
FS( 11 ),10968658.300000000745058,10968658.300000000745058
FS( 12 ),11380179.800000000745058,11380179.800000000745058
FS( 13 ),11206074.550000000745058,11206074.550000000745058
FS( 14 ),11310537.699999999254942,11310537.699999999254942
FS( 15 ),11668244.850000001490116,11668244.850000001490116
FS( 16 ),11617596.050000000745058,11617596.050000000745058
FS( 17 ),11408669.750000000000000,11408669.750000000000000
FS( 18 ),11570112.800000000745058,11570112.800000000745058
FS( 19 ),11829687.900000000372529,11829687.900000000372529
FS( 20 ),11433994.150000000372529,11433994.150000000372529
FS( 21 ),11332696.550000000745058,11332696.550000000745058
FS( 22 ),11250392.250000000000000,11250392.250000000000000
FS( 23 ),11392842.000000001862645,11392842.000000001862645
FS( 24 ),11538457.300000000745058,11538457.300000000745058
FS( 25 ),11519464.000000000000000,11519464.000000000000000
FS( 26 ),11820191.250000001862645,11820191.250000001862645
FS( 27 ),12010124.250000000000000,12010124.250000000000000
FS( 28 ),11763211.349999999627471,11763211.349999999627471
FS( 29 ),11775873.550000000745058,11775873.550000000745058
FS( 30 ),12048110.850000001490116,12048110.850000001490116
FS( 31 ),12108256.300000000745058,12108256.300000000745058
FS( 32 ),12051276.400000000372529,12051276.400000000372529
FS( 33 ),11978468.750000001862645,11978468.750000001862645
FS( 34 ),11908826.650000000372529,11908826.650000000372529
FS( 35 ),11991130.950000001117587,11991130.950000001117587
FS( 36 ),11731555.850000001490116,11731555.850000001490116
FS( 37 ),11744218.050000000745058,11744218.050000000745058
FS( 38 ),11560616.150000002235174,11560616.150000002235174
FS( 39 ),11544788.400000000372529,11544788.400000000372529
FS( 40 ),11807529.050000000745058,11807529.050000000745058
FS( 41 ),12333010.350000001490116,12333010.350000001490116
FS( 42 ),12415314.650000000372529,12415314.650000000372529
FS( 43 ),12453301.250000001862645,12453301.250000001862645
FS( 44 ),12643234.250000000000000,12643234.250000000000000
FS( 45 ),12735035.199999999254942,12735035.199999999254942
FS( 46 ),12763525.150000000372529,12763525.150000000372529
FS( 47 ),12893312.699999999254942,12893312.699999999254942
FS( 48 ),12633737.599999999627471,12633737.599999999627471
FS( 49 ),12735035.199999999254942,12735035.199999999254942
FS( 50 ),12678055.300000000745058,12678055.300000000745058
FS( 51 ),12507115.599999999627471,12507115.599999999627471
FS( 52 ),12389990.250000000000000,12389990.250000000000000
FS( 53 ),12478625.650000000372529,12478625.650000000372529
FS( 54 ),12795180.650000000372529,12795180.650000000372529
FS( 55 ),12725538.550000000745058,12725538.550000000745058
FS( 56 ),13279509.800000000745058,13279509.800000000745058
FS( 57 ),13295337.550000000745058,13295337.550000000745058
FS( 58 ),13270013.150000000372529,13270013.150000000372529
FS( 59 ),13323827.500000001862645,13323827.500000001862645
FS( 60 ),13364979.650000000372529,13364979.650000000372529
FS( 61 ),13146556.700000001117587,13146556.700000001117587
FS( 62 ),13298503.099999999627471,13298503.099999999627471
FS( 63 ),13307999.750000000000000,13307999.750000000000000
FS( 64 ),13339655.250000000000000,13339655.250000000000000
FS( 65 ),13529588.250000001862645,13529588.250000001862645
FS( 66 ),13640382.500000001862645,13640382.500000001862645
FS( 67 ),13675203.550000000745058,13675203.550000000745058
FS( 68 ),13684700.199999999254942,13684700.199999999254942
FS( 69 ),13779666.700000001117587,13779666.700000001117587
FS( 70 ),13757507.850000001490116,13757507.850000001490116
FS( 71 ),13735349.000000000000000,13735349.000000000000000
FS( 72 ),13773335.599999999627471,13773335.599999999627471
FS( 73 ),13846143.250000001862645,13846143.250000001862645
FS( 74 ),14207015.950000001117587,14207015.950000001117587
FS( 75 ),14374790.099999999627471,14374790.099999999627471
FS( 76 ),14089890.599999999627471,14089890.599999999627471
FS( 77 ),14207015.950000001117587,14207015.950000001117587
FS( 78 ),14232340.350000001490116,14232340.350000001490116
FS( 79 ),14327306.849999999627471,14327306.849999999627471
FS( 80 ),14229174.800000000745058,14229174.800000000745058
FS( 81 ),14203850.400000000372529,14203850.400000000372529
FS( 82 ),14172194.900000002235174,14172194.900000002235174
FS( 83 ),14051904.000000000000000,14051904.000000000000000
FS( 84 ),14077228.400000000372529,14077228.400000000372529
FS( 85 ),14074062.850000001490116,14074062.850000001490116
FS( 86 ),14298816.900000000372529,14298816.900000000372529
FS( 87 ),14308313.550000000745058,14308313.550000000745058
FS( 88 ),14390617.850000001490116,14390617.850000001490116
FS( 89 ),14298816.900000000372529,14298816.900000000372529
FS( 90 ),14330472.400000002235174,14330472.400000002235174
FS( 91 ),14349465.700000001117587,14349465.700000001117587
FS( 92 ),14539398.700000001117587,14539398.700000001117587
FS( 93 ),14580550.850000001490116,14580550.850000001490116
