代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11753352.480000000447035
真實報酬,1753352.480000000447035

夏普值報酬,0.166635248000000
夏普值風險,0.105899295872443
夏普值,1.573525552055734

二次趨勢線,187.347156421223787 x^2 + 442.170029739975689 x + 10000000.000000000000000
二次平均預期報酬,23860.564582392962620
風險,598936.320396666647866
二次平均趨勢值,0.039838232830145
一次趨勢線,17935.428611239807651 x + 10000000.000000000000000
一次預期報酬,17935.428611239807651
一次風險,681575.737871479708701
一次趨勢值,0.026314652377814
找到最佳解世代,1649
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,327118,
分配資金,10000000.000000000000000,
剩餘資金,2.740000000223517,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10019627.080000000074506,10019627.080000000074506
FS( 3 ),9859339.259999999776483,9859339.259999999776483
FS( 4 ),9839712.179999999701977,9839712.179999999701977
FS( 5 ),9905135.780000001192093,9905135.780000001192093
FS( 6 ),9820085.099999999627471,9820085.099999999627471
FS( 7 ),9705593.800000000745058,9705593.800000000745058
FS( 8 ),9842983.359999999403954,9842983.359999999403954
FS( 9 ),9787373.300000000745058,9787373.300000000745058
FS( 10 ),9623814.300000000745058,9623814.300000000745058
FS( 11 ),10049067.699999999254942,10049067.699999999254942
FS( 12 ),9895322.240000000223517,9895322.240000000223517
FS( 13 ),9721949.699999999254942,9721949.699999999254942
FS( 14 ),9241086.240000000223517,9241086.240000000223517
FS( 15 ),9489695.919999999925494,9489695.919999999925494
FS( 16 ),9623814.300000000745058,9623814.300000000745058
FS( 17 ),9715407.339999999850988,9715407.339999999850988
FS( 18 ),9313052.199999999254942,9313052.199999999254942
FS( 19 ),8976120.660000000149012,8976120.660000000149012
FS( 20 ),9100425.500000000000000,9100425.500000000000000
FS( 21 ),9152764.380000000819564,9152764.380000000819564
FS( 22 ),9309781.020000001415610,9309781.020000001415610
FS( 23 ),8976120.660000000149012,8976120.660000000149012
FS( 24 ),9133137.300000000745058,9133137.300000000745058
