代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11989418.500000000000000
真實報酬,1989418.500000000000000

夏普值報酬,0.190241850000000
夏普值風險,0.051135307301581
夏普值,3.720361918977236

二次趨勢線,50.015150312233871 x^2 + 9175.505147240128281 x + 10000000.000000000000000
二次平均預期報酬,15477.414086581595257
風險,158371.360015283571556
二次平均趨勢值,0.097728617630662
一次趨勢線,13883.106446549048997 x + 10000000.000000000000000
一次預期報酬,13883.106446549048997
一次風險,181296.395383305352880
一次趨勢值,0.076576847637796
找到最佳解世代,1915
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),VZ[26](1),WMT[28](6),
Stock#,MCD[15](3),VZ[26](1),WMT[28](6),
張數,33745,77591,51864,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.899999999906868,23.640000000130385,33.720000000204891,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3367415.450000000186265,3324022.080000000540167,3370156.440000000409782,10061594.970000002533197
FS( 3 ),3413983.549999999813735,3414027.640000000130385,3416315.400000000372529,10244327.589999999850988
FS( 4 ),3438617.399999999906868,3418683.100000000093132,3406461.240000000689179,10263762.740000000223517
FS( 5 ),3434230.549999999813735,3402388.990000000223517,3441728.760000000242144,10278349.300000000745058
FS( 6 ),3474049.649999999906868,3431873.569999999832362,3468698.040000000037253,10374622.259999999776483
FS( 7 ),3467638.100000000093132,3426442.199999999720603,3458843.879999999888241,10352925.179999999701977
FS( 8 ),3483835.699999999720603,3437304.939999999944121,3471291.240000000689179,10392432.880000000819564
FS( 9 ),3488559.999999999534339,3441960.399999999906868,3460918.440000000409782,10391439.839999999850988
FS( 10 ),3469662.799999999813735,3413251.730000000447035,3113429.640000000130385,9996345.169999999925494
FS( 11 ),3498008.599999999627471,3466013.610000000335276,3077124.840000000316650,10041148.050000000745058
FS( 12 ),3537152.799999999813735,3468341.340000000316650,3054304.680000000167638,10059799.820000000298023
FS( 13 ),3526016.949999999720603,3468341.340000000316650,3052230.120000000111759,10046589.410000000149012
FS( 14 ),3504082.700000000186265,3510240.480000000447035,3047043.720000000204891,10061367.900000000372529
FS( 15 ),3460214.200000000186265,3480755.899999999906868,3041338.680000000167638,9982309.779999999329448
FS( 16 ),3741310.050000000279397,3560674.630000000353903,3054823.320000000298023,10356809.000000000000000
FS( 17 ),3799351.450000000186265,3581624.199999999720603,3023704.919999999925494,10404681.570000000298023
FS( 18 ),3785516.000000000000000,3597142.399999999906868,3009183.000000000465661,10391842.400000000372529
FS( 19 ),3767293.699999999720603,3582400.110000000335276,2981176.439999999944121,10330871.250000000000000
FS( 20 ),3811162.199999999720603,3606453.319999999832362,2989474.680000000167638,10407091.199999999254942
FS( 21 ),3800363.800000000279397,3600246.040000000037253,3006071.160000000149012,10406682.000000000000000
FS( 22 ),3787878.149999999906868,3637489.720000000204891,2968729.080000000540167,10394097.950000001117587
FS( 23 ),3783153.850000000093132,3629730.620000000111759,2987918.760000000242144,10400804.230000000447035
FS( 24 ),3782141.500000000000000,3604125.590000000316650,3013850.760000000242144,10400118.849999999627471
FS( 25 ),3792939.899999999906868,3580072.380000000353903,3027335.399999999906868,10400348.679999999701977
FS( 26 ),3808125.149999999906868,3584727.840000000316650,3039782.760000000242144,10432636.750000000000000
FS( 27 ),3823647.850000000093132,3552139.620000000111759,3048599.640000000130385,10424388.110000001266599
FS( 28 ),3810824.750000000000000,3514895.939999999944121,3033559.080000000540167,10359280.769999999552965
FS( 29 ),3820610.799999999813735,3499377.740000000223517,3043413.240000000223517,10363402.780000001192093
FS( 30 ),3841870.149999999906868,3516447.760000000242144,2986362.840000000316650,10344681.750000000000000
FS( 31 ),3783153.850000000093132,3478428.169999999925494,2953688.520000000484288,10215271.539999999105930
FS( 32 ),3710939.549999999813735,3431873.569999999832362,2926200.600000000093132,10069014.719999998807907
FS( 33 ),3747721.600000000093132,3494722.280000000260770,3001403.399999999906868,10243848.280000001192093
FS( 34 ),3743672.199999999720603,3497825.919999999925494,3107724.600000000093132,10349223.719999998807907
FS( 35 ),3797326.750000000000000,3521103.220000000204891,3160107.240000000223517,10478538.210000000894070
FS( 36 ),3823310.399999999906868,3550587.799999999813735,3148178.520000000484288,10522077.719999998807907
FS( 37 ),3843894.849999999627471,3521879.130000000353903,3115504.200000000186265,10481279.179999999701977
FS( 38 ),3862792.049999999813735,3490842.730000000447035,3125358.359999999869615,10478994.140000000596046
FS( 39 ),3856380.500000000000000,3506360.930000000167638,3107724.600000000093132,10470467.029999999329448
FS( 40 ),3860429.899999999906868,3485411.360000000335276,3124321.080000000540167,10470163.339999999850988
FS( 41 ),3854693.250000000000000,3509464.569999999832362,3106168.680000000167638,10470327.500000000000000
FS( 42 ),3852331.099999999627471,3526534.590000000316650,3051711.480000000447035,10430578.169999999925494
FS( 43 ),3862117.149999999906868,3536621.419999999925494,3059491.080000000540167,10458230.650000000372529
FS( 44 ),3837483.299999999813735,3485411.360000000335276,3026298.120000000111759,10349193.780000001192093
FS( 45 ),3826347.449999999720603,3457478.600000000093132,3062084.280000000260770,10345911.330000000074506
FS( 46 ),3921170.899999999906868,3546708.250000000000000,3094239.959999999962747,10562120.109999999403954
FS( 47 ),3928594.799999999813735,3573865.100000000093132,3137805.720000000204891,10640266.620000001043081
FS( 48 ),3932306.750000000000000,3545932.340000000316650,3091646.760000000242144,10569886.849999999627471
FS( 49 ),3933994.000000000000000,3519551.399999999906868,3066752.040000000502914,10520298.440000001341105
FS( 50 ),3954915.899999999906868,3516447.760000000242144,3089053.560000000521541,10560418.220000000670552
FS( 51 ),3917121.500000000000000,3477652.260000000242144,3078680.760000000242144,10473455.519999999552965
FS( 52 ),3923195.600000000093132,3526534.590000000316650,3132100.680000000167638,10581831.870000001043081
FS( 53 ),3945804.750000000000000,3534293.689999999944121,3093202.680000000167638,10573302.119999999180436
FS( 54 ),3976512.700000000186265,3608781.049999999813735,3127432.919999999925494,10712727.669999999925494
FS( 55 ),3965039.399999999906868,3576968.740000000223517,3058972.439999999944121,10600981.580000000074506
FS( 56 ),3936693.599999999627471,3535069.600000000093132,3052230.120000000111759,10523994.320000000298023
FS( 57 ),3971450.949999999720603,3561450.540000000037253,3088534.919999999925494,10621437.410000000149012
FS( 58 ),3972463.299999999813735,3595590.580000000540167,3139880.280000000260770,10707935.160000000149012
FS( 59 ),4008907.899999999906868,3642921.090000000316650,3168405.480000000447035,10820235.470000000670552
FS( 60 ),4001146.549999999813735,3624299.250000000000000,3154920.840000000316650,10780367.640000000596046
FS( 61 ),4007220.649999999906868,3627402.890000000130385,3150771.720000000204891,10785396.259999999776483
FS( 62 ),4051764.049999999813735,3663094.750000000000000,3195374.760000000242144,10910234.560000000521541
FS( 63 ),4030167.250000000000000,3628954.710000000428408,3199005.240000000223517,10858128.200000001117587
FS( 64 ),3986636.199999999720603,3586279.660000000149012,3179296.919999999925494,10752213.779999999329448
FS( 65 ),3967739.000000000000000,3559122.810000000055879,3187595.160000000149012,10714457.970000000670552
FS( 66 ),4022405.899999999906868,3608005.140000000130385,3263316.600000000093132,10893728.640000000596046
FS( 67 ),3995409.899999999906868,3531965.960000000428408,3295990.919999999925494,10823367.780000001192093
FS( 68 ),3902948.599999999627471,3512568.210000000428408,3372749.640000000130385,10788267.450000001117587
FS( 69 ),3896874.500000000000000,3478428.169999999925494,3295472.280000000260770,10670775.949999999254942
FS( 70 ),3937705.949999999720603,3498601.830000000540167,3330739.800000000279397,10767048.580000000074506
FS( 71 ),3963014.699999999720603,3486187.270000000018626,3299621.399999999906868,10748824.369999999180436
FS( 72 ),3884726.300000000279397,3425666.290000000037253,3211452.600000000093132,10521846.189999999478459
FS( 73 ),3935343.800000000279397,3481531.810000000055879,3270577.560000000521541,10687454.170000001788139
FS( 74 ),3886751.000000000000000,3447391.770000000018626,3211971.240000000223517,10546115.009999999776483
FS( 75 ),3965039.399999999906868,3481531.810000000055879,3244645.560000000521541,10691217.769999999552965
FS( 76 ),3906998.000000000000000,3446615.860000000335276,3155439.480000000447035,10509054.339999999850988
FS( 77 ),3976512.700000000186265,3559122.810000000055879,3209378.040000000502914,10745014.550000000745058
FS( 78 ),3995409.899999999906868,3649904.280000000260770,3251387.879999999888241,10896703.059999998658895
FS( 79 ),4022405.899999999906868,3649128.370000000111759,3290804.520000000484288,10962339.789999999105930
FS( 80 ),4063912.250000000000000,3743789.390000000130385,3319329.720000000204891,11127032.360000001266599
FS( 81 ),4078760.050000000279397,3804310.370000000111759,3316736.520000000484288,11199807.940000001341105
FS( 82 ),4129714.999999999534339,3802758.549999999813735,3330739.800000000279397,11263214.349999999627471
FS( 83 ),4176958.000000000000000,3877245.910000000149012,3441728.760000000242144,11495933.669999999925494
FS( 84 ),4204966.349999999627471,3938542.799999999813735,3500853.720000000204891,11644363.869999999180436
FS( 85 ),4182694.649999999906868,3872590.449999999720603,3467660.760000000242144,11522946.859999999403954
FS( 86 ),4099007.049999999813735,3927680.060000000055879,3437061.000000000000000,11463749.109999999403954
FS( 87 ),4071673.599999999627471,3912937.770000000018626,3444840.600000000093132,11429452.969999998807907
FS( 88 ),3894174.899999999906868,3954836.910000000149012,3474921.720000000204891,11323934.530000001192093
FS( 89 ),3916109.149999999906868,3936990.980000000447035,3469735.320000000298023,11322836.450000001117587
FS( 90 ),3948504.350000000093132,3891212.290000000037253,3413203.560000000521541,11252921.200000001117587
FS( 91 ),3966389.200000000186265,3878021.819999999832362,3412166.280000000726432,11256578.300000000745058
FS( 92 ),3939055.750000000000000,3832243.130000000353903,3387790.199999999720603,11159090.080000000074506
FS( 93 ),3979549.750000000000000,3888108.649999999906868,3432393.240000000689179,11300052.640000000596046
FS( 94 ),4021731.000000000000000,3898195.480000000447035,3417871.320000000298023,11337798.800000000745058
FS( 95 ),4003508.699999999720603,3904402.760000000242144,3428762.760000000242144,11336675.220000000670552
FS( 96 ),3953903.549999999813735,3952509.180000000167638,3325553.400000000372529,11231967.130000000819564
FS( 97 ),3932306.750000000000000,3946301.899999999906868,3353559.959999999962747,11232169.609999999403954
FS( 98 ),3970776.049999999813735,3962596.010000000242144,3403868.040000000037253,11337241.100000001490116
FS( 99 ),3944792.399999999906868,3928455.970000000204891,3447952.440000000409782,11321201.810000000521541
FS( 100 ),3950191.600000000093132,3943198.260000000242144,3481145.400000000372529,11374536.260000001639128
FS( 101 ),3994397.550000000279397,3965699.649999999906868,3528860.280000000726432,11488958.480000000447035
FS( 102 ),3950191.600000000093132,3958716.460000000428408,3449508.360000000335276,11358417.420000001788139
FS( 103 ),3954578.449999999720603,3936215.069999999832362,3440691.480000000447035,11331486.000000000000000
FS( 104 ),4010595.149999999906868,3992856.500000000000000,3446915.159999999683350,11450367.810000000521541
FS( 105 ),3998109.500000000000000,4044066.560000000055879,3433949.159999999683350,11476126.220000000670552
FS( 106 ),3937705.949999999720603,4026220.630000000353903,3430318.680000000167638,11394246.259999999776483
FS( 107 ),3954241.000000000000000,4020013.350000000093132,3463511.640000000130385,11437766.990000000223517
FS( 108 ),3953228.649999999906868,4051049.750000000000000,3521080.680000000167638,11525360.080000000074506
FS( 109 ),3996084.799999999813735,4070447.500000000000000,3528860.280000000726432,11595393.580000000074506
FS( 110 ),4037253.699999999720603,4061136.580000000540167,3502409.640000000130385,11600800.919999999925494
FS( 111 ),4048727.000000000000000,4059584.760000000242144,3496185.959999999962747,11604498.719999998807907
FS( 112 ),4101706.649999999906868,4075878.870000000111759,3483738.600000000093132,11661325.119999999180436
FS( 113 ),4147262.399999999906868,4076654.780000000260770,3493592.760000000242144,11717510.939999999478459
FS( 114 ),4165147.250000000000000,4086741.610000000335276,3531453.480000000447035,11783343.339999999850988
FS( 115 ),4168184.299999999813735,4128640.750000000000000,3526267.080000000074506,11823093.129999998956919
FS( 116 ),4156036.099999999627471,4161228.970000000204891,3498260.520000000484288,11815526.589999999850988
FS( 117 ),4187081.500000000000000,4130968.480000000447035,3472328.520000000484288,11790379.500000000000000
FS( 118 ),4177970.350000000093132,4146486.680000000167638,3525229.800000000279397,11849687.830000000074506
FS( 119 ),4178307.799999999813735,4128640.750000000000000,3520043.400000000372529,11826992.949999999254942
FS( 120 ),4190793.449999999720603,4105363.449999999720603,3498779.159999999683350,11794937.059999998658895
FS( 121 ),4160422.950000000186265,4155797.600000000093132,3526785.720000000204891,11843007.270000001415610
FS( 122 ),4156373.549999999813735,4143383.040000000037253,3533009.400000000372529,11832766.990000000223517
FS( 123 ),4183369.549999999813735,4193817.189999999944121,3528341.640000000130385,11905529.380000000819564
FS( 124 ),4246135.250000000000000,4193041.280000000260770,3568276.919999999925494,12007454.450000001117587
FS( 125 ),4241073.500000000000000,4196144.919999999925494,3552199.080000000074506,11989418.500000000000000
