代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11993102.660000000149012
真實報酬,1993102.660000000149012

夏普值報酬,0.190610266000000
夏普值風險,0.059475226095121
夏普值,3.204868287430322

二次趨勢線,-40.267394797706217 x^2 + 22021.229058700904716 x + 10000000.000000000000000
二次平均預期報酬,16867.002524594507122
風險,125856.651368178238044
二次平均趨勢值,0.134017569522426
一次趨勢線,18170.718647927285929 x + 10000000.000000000000000
一次預期報酬,18170.718647927285929
一次風險,145658.874551302113105
一次趨勢值,0.124748448756738
找到最佳解世代,1749
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),INTC[11](2),PG[21](14),TRV[22](13),
Stock#,AAPL[0](1),INTC[11](2),PG[21](14),TRV[22](13),
張數,32308,96190,31117,29624,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,6.959999999962747,21.900000000372529,60.219999999739230,30.640000000130385,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2504200.040000000037253,2490381.000000000465661,2493465.429999999701977,2507702.240000000223517,9995748.710000000894070
FS( 3 ),2486753.719999999739230,2540399.800000000279397,2492531.919999999459833,2517478.160000000149012,10037163.599999999627471
FS( 4 ),2454445.719999999739230,2516352.300000000279397,2482263.309999999590218,2523995.440000000409782,9977056.769999999552965
FS( 5 ),2415999.200000000186265,2548095.000000000000000,2504667.549999999348074,2518070.640000000130385,9986832.390000000596046
FS( 6 ),2415999.200000000186265,2588494.800000000279397,2531428.169999999459833,2510072.160000000149012,10045994.330000000074506
FS( 7 ),2447661.040000000037253,2595228.100000000558794,2535784.549999999348074,2542362.319999999832362,10121036.009999999776483
FS( 8 ),2415999.200000000186265,2542323.600000000558794,2523337.750000000000000,2517774.399999999906868,9999434.950000001117587
FS( 9 ),2398229.800000000279397,2518276.100000000558794,2513069.140000000130385,2526957.839999999850988,9956532.880000000819564
FS( 10 ),2407922.200000000186265,2554828.300000000279397,2514624.989999999757856,2532882.640000000130385,10010258.130000000819564
FS( 11 ),2390475.879999999888241,2575028.200000000186265,2515558.500000000000000,2544436.000000000000000,10025498.580000000074506
FS( 12 ),2395322.080000000074506,2590418.600000000558794,2540763.270000000018626,2570801.360000000335276,10097305.310000002384186
FS( 13 ),2422783.879999999888241,2600999.500000000465661,2544186.140000000130385,2567838.960000000428408,10135808.480000002309680
FS( 14 ),2451538.000000000000000,2592342.400000000372529,2537962.739999999757856,2559544.240000000223517,10141387.380000000819564
FS( 15 ),2454122.639999999664724,2581761.500000000465661,2528316.469999999739230,2574060.000000000000000,10138260.609999999403954
FS( 16 ),2421814.639999999664724,2573104.400000000372529,2500622.339999999850988,2610793.759999999776483,10106335.140000000596046
FS( 17 ),2620508.839999999850988,2573104.400000000372529,2525204.770000000018626,2624420.800000000279397,10343238.810000000521541
FS( 18 ),2639893.639999999664724,2525971.300000000745058,2533295.189999999478459,2616126.080000000074506,10315286.210000000894070
FS( 19 ),2741986.919999999925494,2532704.600000000093132,2580904.199999999720603,2655526.000000000000000,10511121.719999998807907
FS( 20 ),2733909.919999999925494,2547133.100000000558794,2565345.699999999720603,2692852.240000000223517,10539240.960000000894070
FS( 21 ),2723571.359999999869615,2567333.000000000465661,2568768.569999999832362,2683372.560000000055879,10543045.490000000223517
FS( 22 ),2730032.959999999962747,2544247.400000000372529,2562234.000000000000000,2690778.560000000055879,10527292.919999999925494
FS( 23 ),2734879.160000000149012,2540399.800000000279397,2549164.859999999869615,2695814.640000000130385,10520258.460000000894070
FS( 24 ),2773648.759999999776483,2517314.200000000651926,2542319.119999999646097,2685446.240000000223517,10518728.320000000298023
FS( 25 ),2743602.319999999832362,2520199.900000000372529,2524582.429999999701977,2662635.759999999776483,10451020.410000000149012
FS( 26 ),2733909.919999999925494,2536552.200000000651926,2554454.750000000000000,2697888.319999999832362,10522805.190000001341105
FS( 27 ),2713878.959999999962747,2533666.500000000465661,2556632.939999999478459,2702924.399999999906868,10507102.800000000745058
FS( 28 ),2702571.160000000149012,2529818.900000000372529,2563789.849999999627471,2704701.839999999850988,10500881.750000000000000
FS( 29 ),2736171.479999999981374,2536552.200000000651926,2543252.629999999888241,2726623.600000000093132,10542599.910000000149012
FS( 30 ),2740371.519999999552965,2544247.400000000372529,2539518.589999999850988,2752396.479999999981374,10576533.990000000223517
FS( 31 ),2741017.680000000167638,2532704.600000000093132,2525827.109999999869615,2744694.240000000223517,10544243.630000000819564
FS( 32 ),2717755.919999999925494,2501923.800000000745058,2505912.229999999981374,2736399.520000000484288,10461991.470000002533197
FS( 33 ),2757817.839999999850988,2483647.700000000186265,2499688.829999999608845,2742620.560000000055879,10483774.929999999701977
FS( 34 ),2790448.919999999925494,2504809.500000000465661,2487242.029999999795109,2748249.120000000111759,10530749.570000000298023
FS( 35 ),2791095.080000000074506,2504809.500000000465661,2496577.129999999888241,2745286.720000000204891,10537768.429999999701977
FS( 36 ),2798525.919999999925494,2520199.900000000372529,2504667.549999999348074,2750915.280000000260770,10574308.649999998509884
FS( 37 ),2802725.959999999962747,2515390.400000000372529,2509646.270000000018626,2755358.880000000353903,10583121.510000001639128
FS( 38 ),2834387.800000000279397,2528857.000000000465661,2505601.059999999590218,2750915.280000000260770,10619761.140000000596046
FS( 39 ),2887696.000000000000000,2569256.800000000279397,2491909.579999999608845,2769578.399999999906868,10718440.780000001192093
FS( 40 ),2879942.080000000074506,2585609.100000000093132,2492531.919999999459833,2768689.680000000167638,10726772.779999999329448
FS( 41 ),2932604.119999999646097,2593304.300000000279397,2501867.020000000018626,2787649.040000000037253,10815424.480000000447035
FS( 42 ),2921619.400000000372529,2627932.700000000186265,2514002.649999999906868,2768393.440000000409782,10831948.190000001341105
FS( 43 ),2901588.439999999944121,2622161.300000000745058,2500622.339999999850988,2776095.680000000167638,10800467.759999999776483
FS( 44 ),2942619.600000000093132,2660637.300000000279397,2487242.029999999795109,2767208.479999999981374,10857707.410000000149012
FS( 45 ),2976219.919999999925494,2654865.900000000372529,2485063.839999999850988,2804534.720000000204891,10920684.380000000819564
FS( 46 ),2987850.800000000279397,2660637.300000000279397,2492843.089999999850988,2813421.919999999925494,10954753.109999999403954
FS( 47 ),2979450.719999999739230,2709694.200000000651926,2490353.729999999981374,2795351.280000000260770,10974849.929999999701977
FS( 48 ),3027266.560000000055879,2684684.800000000279397,2492220.750000000000000,2804238.479999999981374,11008410.589999999850988
FS( 49 ),3045035.959999999962747,2716427.500000000000000,2494087.770000000018626,2817273.040000000037253,11072824.269999999552965
FS( 50 ),3032435.839999999850988,2686608.600000000558794,2491287.239999999757856,2811348.240000000223517,11021679.919999999925494
FS( 51 ),2981712.280000000260770,2689494.300000000279397,2481952.140000000130385,2814310.640000000130385,10967469.360000001266599
FS( 52 ),2949081.200000000186265,2873217.200000000651926,2478218.099999999627471,2826456.479999999981374,11126972.980000000447035
FS( 53 ),2978804.560000000055879,2886683.800000000745058,2479773.949999999720603,2827937.680000000167638,11173199.990000000223517
