代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12421755.410000000149012
真實報酬,2421755.410000000149012

夏普值報酬,0.233475541000000
夏普值風險,0.064696295005948
夏普值,3.608793068884913

二次趨勢線,-23.956720760306442 x^2 + 22824.697952486854774 x + 10000000.000000000000000
二次平均預期報酬,19782.194415927933733
風險,95403.500202478331630
二次平均趨勢值,0.207352920741309
一次趨勢線,20551.839579326300736 x + 10000000.000000000000000
一次預期報酬,20551.839579326300736
一次風險,104622.906574966109474
一次趨勢值,0.196437283689879
找到最佳解世代,1903
找到最佳解實驗#,2
找到最佳解次數,40

stock[index](rank)
投資組合檔數,6
BA[2](3),CAT[3](4),MCD[15](5),MMM[16](13),UNH[23](1),V[25](2),
Stock#,BA[2](3),CAT[3](4),MCD[15](5),MMM[16](13),UNH[23](1),V[25](2),
張數,9434,18062,12859,8738,10065,18651,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,149.899999999906868,85.260000000009313,11.009999999776483,154.639999999897555,2.649999999906868,12.639999999897555,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1686005.699999999720603,1700261.319999999832362,1662551.119999999646097,1662034.859999999869615,1660425.699999999953434,1655848.419999999925494,10027131.119999997317791
FS( 3 ),1670722.620000000111759,1702248.139999999897555,1676953.199999999720603,1662471.760000000009313,1664451.699999999953434,1660511.169999999925494,10037362.589999999850988
FS( 4 ),1673458.479999999981374,1730786.099999999860302,1673609.859999999869615,1659413.459999999729916,1664149.750000000000000,1661630.229999999981374,10063051.879999998956919
FS( 5 ),1687420.799999999813735,1725367.500000000000000,1671166.649999999906868,1660287.260000000009313,1670993.949999999953434,1655102.379999999888241,10070342.539999999105930
FS( 6 ),1675250.939999999944121,1754627.939999999944121,1671423.829999999608845,1657840.619999999878928,1665558.849999999860302,1657340.500000000000000,10082046.679999999701977
FS( 7 ),1684779.279999999795109,1753905.459999999962747,1687111.809999999590218,1660986.299999999813735,1669081.600000000093132,1657153.989999999757856,10113022.439999999478459
FS( 8 ),1661005.600000000093132,1713446.580000000074506,1687883.349999999627471,1657753.239999999757856,1666364.049999999813735,1653983.320000000065193,10040440.139999998733401
FS( 9 ),1656948.979999999981374,1681657.459999999962747,1681453.849999999627471,1648578.339999999850988,1660325.050000000046566,1657527.010000000009313,9986494.689999999478459
FS( 10 ),1689024.580000000074506,1700441.939999999944121,1689040.659999999683350,1663520.320000000065193,1682669.349999999860302,1675058.949999999953434,10099759.799999998882413
FS( 11 ),1677986.799999999813735,1704957.439999999944121,1701256.709999999962747,1662297.000000000000000,1696861.000000000000000,1673566.869999999878928,10116929.819999998435378
FS( 12 ),1683175.500000000000000,1688340.399999999906868,1705628.769999999552965,1658889.179999999934807,1703503.899999999906868,1673939.889999999897555,10113481.640000000596046
FS( 13 ),1691666.100000000093132,1709834.179999999934807,1713729.939999999944121,1670510.719999999972060,1726552.749999999767169,1700051.290000000037253,10212348.980000000447035
FS( 14 ),1701854.819999999832362,1703693.099999999860302,1715530.199999999720603,1673481.639999999897555,1722728.049999999813735,1700051.290000000037253,10217343.099999997764826
FS( 15 ),1717703.939999999944121,1748667.479999999981374,1726074.579999999608845,1697336.379999999888241,1734504.100000000093132,1713106.989999999757856,10337397.470000000670552
FS( 16 ),1731383.239999999757856,1886119.300000000046566,1822131.309999999590218,1705200.579999999841675,1751715.249999999767169,1717956.250000000000000,10614509.929999999701977
FS( 17 ),1714402.040000000037253,1890454.179999999934807,1811072.569999999832362,1704064.639999999897555,1755137.349999999860302,1712547.459999999729916,10587682.239999998360872
FS( 18 ),1728647.379999999888241,1854691.420000000158325,1811458.339999999850988,1713763.820000000065193,1757653.599999999860302,1708444.239999999757856,10574662.800000000745058
