代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11899798.169999998062849
真實報酬,1899798.169999998062849

夏普值報酬,0.181279817000000
夏普值風險,0.052282149827156
夏普值,3.467336702857644

二次趨勢線,95.894943557259722 x^2 + 3436.137433858407348 x + 10000000.000000000000000
二次平均預期報酬,15231.215491401351755
風險,95943.781873647982138
二次平均趨勢值,0.158751460427732
一次趨勢線,12246.338595206812897 x + 10000000.000000000000000
一次預期報酬,12246.338595206812897
一次風險,187596.759462046029512
一次趨勢值,0.065280118005900
找到最佳解世代,2238
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](14),JNJ[12](1),PG[21](12),UTX[24](3),V[25](5),
Stock#,BA[2](14),JNJ[12](1),PG[21](12),UTX[24](3),V[25](5),
張數,28567,28930,28797,25526,58513,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,24.329999999841675,69.100000000093132,48.349999999860302,37.900000000139698,25.659999999916181,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1986287.839999999850988,1995081.899999999906868,1980993.979999999981374,2001021.040000000270084,1989467.659999999916181,9952852.419999999925494
FS( 3 ),1995714.949999999720603,1996239.100000000093132,1991936.839999999850988,2005360.460000000195578,2026330.850000000093132,10015582.199999999254942
FS( 4 ),1998000.309999999823049,2004050.199999999953434,1997984.209999999729916,2004594.680000000167638,2043299.620000000111759,10047929.019999999552965
FS( 5 ),2025138.959999999962747,2015043.600000000325963,2005183.459999999729916,2004084.160000000381842,2052076.569999999832362,10101526.750000000000000
FS( 6 ),2015997.519999999552965,2008968.300000000046566,1989921.049999999580905,2000510.520000000251457,2029256.500000000000000,10044653.890000000596046
FS( 7 ),2017997.209999999962747,1979170.399999999906868,1978402.250000000000000,1973963.479999999981374,2000585.129999999888241,9950118.469999998807907
FS( 8 ),2009427.109999999869615,1973673.699999999953434,1962275.929999999934807,1940524.419999999925494,2009947.209999999962747,9895848.369999999180436
FS( 9 ),2023424.939999999711290,1966441.199999999953434,1958244.349999999860302,1941290.199999999953434,2033937.539999999804422,9923338.229999998584390
FS( 10 ),2052563.279999999795109,1966441.199999999953434,1956516.529999999795109,1938992.859999999869615,2035107.800000000046566,9949621.669999999925494
FS( 11 ),2063990.079999999841675,1984667.099999999860302,1978690.219999999739230,1943842.800000000279397,2046225.269999999785796,10017415.469999998807907
FS( 12 ),2099127.490000000223517,2012150.600000000093132,1987041.349999999860302,1980855.500000000000000,2064949.429999999934807,10144124.370000001043081
FS( 13 ),2103412.540000000037253,2054099.100000000093132,2000575.939999999711290,2004849.940000000409782,2085428.979999999981374,10248366.500000000000000
FS( 14 ),2121409.750000000000000,2098072.700000000186265,2000575.939999999711290,2022462.880000000353903,2075481.769999999785796,10318003.039999999105930
FS( 15 ),2114268.000000000000000,2078978.900000000139698,1974658.639999999664724,1990810.639999999897555,2047395.530000000027940,10206111.709999999031425
FS( 16 ),2105412.229999999515712,2076664.500000000232831,1972642.849999999860302,1986726.479999999981374,2033352.409999999916181,10174798.469999998807907
FS( 17 ),2080273.269999999552965,2050916.800000000046566,1942118.029999999795109,1967326.719999999972060,1998829.739999999757856,10039464.559999998658895
FS( 18 ),2077130.899999999674037,2046577.300000000046566,1960548.109999999869615,1988513.300000000279397,1996489.219999999739230,10069258.829999998211861
FS( 19 ),2043707.510000000009313,2058149.300000000046566,2017854.139999999664724,1972942.440000000409782,2012287.729999999981374,10104941.119999999180436
FS( 20 ),2031423.699999999720603,2051206.100000000325963,1999712.029999999795109,1996171.100000000325963,2023405.199999999720603,10101918.130000000819564
FS( 21 ),2012283.809999999823049,2048891.699999999953434,1993952.629999999655411,1995150.060000000055879,2029841.629999999888241,10080119.829999998211861
FS( 22 ),2022282.260000000009313,2068564.100000000093132,1994240.599999999860302,2018123.460000000195578,2104738.269999999552965,10207948.689999999478459
FS( 23 ),2001142.679999999701977,2051206.100000000325963,1992512.779999999795109,1992852.719999999972060,2097716.709999999962747,10135430.990000000223517
FS( 24 ),2011426.799999999813735,2048023.800000000279397,1977538.339999999850988,1988513.300000000279397,2070215.600000000093132,10095717.839999999850988
FS( 25 ),2057419.669999999692664,2054388.400000000139698,1985025.560000000055879,2041352.120000000111759,2104738.269999999552965,10242924.019999999552965
FS( 26 ),2002856.699999999720603,2035005.300000000279397,1959972.169999999925494,1982897.580000000307336,2085428.979999999981374,10066160.730000000447035
FS( 27 ),2027709.989999999990687,2015043.600000000325963,1926855.619999999646097,1944098.060000000055879,2078407.420000000158325,9992114.689999999478459
FS( 28 ),2092557.079999999841675,2021408.200000000186265,1929735.320000000065193,1935929.740000000223517,2090695.149999999674037,10070325.490000000223517
FS( 29 ),2105126.559999999590218,2015911.500000000232831,1931751.109999999869615,1964263.600000000325963,2095376.189999999944121,10112428.960000000894070
FS( 30 ),2095699.449999999720603,2010993.400000000139698,1925127.799999999580905,1965539.900000000139698,2083673.589999999850988,10081034.140000000596046
FS( 31 ),2036565.760000000009313,2004050.199999999953434,1915912.760000000009313,1905553.800000000279397,2047395.530000000027940,9909478.049999998882413
FS( 32 ),2029424.010000000009313,1998264.199999999953434,1909865.389999999664724,1910403.740000000223517,2047980.659999999916181,9895938.000000000000000
FS( 33 ),2021710.919999999692664,2001735.800000000046566,1924263.889999999664724,1920869.400000000139698,2087769.500000000000000,9956349.509999999776483
FS( 34 ),2055705.649999999674037,2003471.600000000093132,1955940.589999999850988,1954818.979999999981374,2130483.989999999292195,10100420.809999998658895
FS( 35 ),2072274.510000000009313,2015622.200000000186265,1966883.449999999720603,1957626.840000000083819,2141016.330000000074506,10153423.330000000074506
FS( 36 ),2089700.379999999888241,2013307.800000000279397,1971778.939999999711290,1973963.479999999981374,2145697.370000000111759,10194447.969999998807907
FS( 37 ),2106554.910000000149012,2012439.900000000139698,2004031.580000000074506,2006636.760000000009313,2166762.049999999813735,10296425.199999999254942
