代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12107129.719999998807907
真實報酬,2107129.719999998807907

夏普值報酬,0.202012972000000
夏普值風險,0.055507425076246
夏普值,3.639386473476515

預期報酬,33076.107608736412658
風險,178237.114109301328426
趨勢值,0.185573626312492
找到最佳解世代,1900
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](2),
Stock#,HD[9](1),MCD[15](2),
張數,152114,56934,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,12.820000000298023,56.120000000111759,
20111003,4805294.080000000074506,4897518.799999999813735,9702812.879999998956919
20111004,4939154.400000000372529,4923708.440000000409782,9862862.839999999850988
20111005,4993915.440000000409782,4886701.339999999850988,9880616.780000001192093
20111006,5077578.140000000596046,4959576.860000000335276,10037155.000000000000000
20111007,5159719.700000000186265,4964700.919999999925494,10124420.620000001043081
20111010,5272284.059999999590218,5039284.459999999962747,10311568.519999999552965
20111011,5279889.760000000707805,5086539.680000000633299,10366429.440000001341105
20111012,5281410.900000000372529,5030744.360000000335276,10312155.260000001639128
20111013,5234255.559999999590218,5084831.660000000149012,10319087.219999998807907
20111014,5331608.519999999552965,5120700.080000000074506,10452308.599999999627471
20111017,5270762.919999999925494,5047824.559999999590218,10318587.480000000447035
20111018,5468511.120000001043081,5103619.879999999888241,10572131.000000000000000
20111019,5384848.419999999925494,5102481.200000000186265,10487329.620000001043081
20111020,5435046.040000000037253,5067751.459999999962747,10502797.500000000000000
20111021,5606934.860000000335276,5256203.000000000000000,10863137.859999999403954
20111024,5582596.620000001043081,5238553.459999999962747,10821150.080000001937151
20111025,5482201.379999999888241,5224889.299999999813735,10707090.679999999701977
20111026,5559779.519999999552965,5225458.640000000596046,10785238.160000000149012
20111027,5684513.000000000000000,5323954.459999999962747,11008467.460000000894070
20111028,5494370.500000000000000,5311428.980000000447035,10805799.480000000447035
20111031,5445694.019999999552965,5286378.019999999552965,10732072.039999999105930
20111101,5406144.379999999888241,5232860.059999999590218,10639004.439999999478459
20111102,5474595.680000000633299,5268159.140000000596046,10742754.820000000298023
20111103,5544568.120000001043081,5294918.120000000111759,10839486.240000002086163
20111104,5535441.280000000260770,5341034.660000000149012,10876475.940000001341105
20111107,5679949.580000001005828,5387151.200000000186265,11067100.780000001192093
20111108,5771217.979999999515712,5386012.519999999552965,11157230.500000000000000
20111109,5652569.059999999590218,5274991.220000000670552,10927560.280000001192093
20111110,5658653.620000001043081,5309720.959999999962747,10968374.580000001937151
20111111,5789471.660000001080334,5395121.959999999962747,11184593.620000001043081
20111114,5818373.320000000298023,5355268.160000000149012,11173641.480000000447035
20111115,5790992.800000000745058,5378611.099999999627471,11169603.900000000372529
20111116,5756006.580000001005828,5303458.220000000670552,11059464.800000000745058
20111117,5722541.500000000000000,5254494.980000000447035,10977036.480000000447035
20111118,5762091.140000000596046,5280115.280000000260770,11042206.420000001788139
20111121,5637357.660000001080334,5253925.640000000596046,10891283.300000000745058
20111122,5643442.220000000670552,5274991.220000000670552,10918433.440000001341105
20111123,5555216.100000000558794,5230582.700000000186265,10785798.800000000745058
20111125,5547610.400000000372529,5243677.519999999552965,10791287.919999999925494
20111128,5673865.019999999552965,5338187.959999999962747,11012052.980000000447035
20111129,5926374.260000000707805,5321107.759999999776483,11247482.019999999552965
20111130,5965923.900000000372529,5438391.799999999813735,11404315.699999999254942
20111201,5984177.580000001005828,5437253.120000000111759,11421430.700000001117587
20111202,6075445.979999999515712,5448639.919999999925494,11524085.899999998509884
20111205,6119559.040000000037253,5428713.019999999552965,11548272.059999998658895
20111206,6133249.300000000745058,5466289.459999999962747,11599538.760000001639128
20111207,6195616.040000000037253,5491340.419999999925494,11686956.460000000894070
20111208,6070882.559999999590218,5518099.400000000372529,11588981.960000000894070
20111209,6119559.040000000037253,5581296.140000000596046,11700855.179999999701977
20111212,6092178.519999999552965,5606916.440000000409782,11699094.960000000894070
20111213,6010036.959999999962747,5579588.120000000111759,11589625.080000000074506
20111214,5953754.780000000260770,5557383.860000000335276,11511138.640000000596046
20111215,5996346.700000000186265,5587558.879999999888241,11583905.580000000074506
20111216,6148460.700000000186265,5550551.780000000260770,11699012.480000000447035
20111219,6114995.620000001043081,5536318.280000000260770,11651313.900000002235174
20111220,6381195.120000001043081,5626274.000000000000000,12007469.120000001043081
20111221,6388800.820000000298023,5647908.919999999925494,12036709.740000000223517
20111222,6376631.700000000186265,5613748.519999999552965,11990380.219999998807907
20111223,6402491.080000001005828,5701996.220000000670552,12104487.300000000745058
20111227,6422265.900000000372529,5724769.820000000298023,12147035.720000000670552
20111228,6317307.240000000223517,5669543.839999999850988,11986851.080000000074506
20111229,6390321.959999999962747,5739572.660000000149012,12129894.620000001043081
20111230,6394885.379999999888241,5712244.339999999850988,12107129.719999998807907
