代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11382282.980000000447035
真實報酬,1382282.980000000447035

夏普值報酬,0.129528298000000
夏普值風險,0.046687394244148
夏普值,2.774374113120154

預期報酬,27450.849593323964655
風險,139729.022542193270056
趨勢值,0.196457751538588
找到最佳解世代,1368
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),PFE[20](3),UNH[23](1),WBA[27](8),
Stock#,BA[2](2),PFE[20](3),UNH[23](1),WBA[27](8),
張數,19233,80256,24730,32808,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,94.660000000149012,25.600000000093132,44.299999999813735,30.399999999906868,
20150102,2499423.009999999776483,2514446.080000000074506,2492333.699999999720603,2493438.399999999906868,9999641.189999999478459
20150105,2482113.310000000521541,2500802.560000000055879,2451281.899999999906868,2444226.399999999906868,9878424.170000001788139
20150106,2452879.150000000372529,2521669.120000000111759,2446335.899999999906868,2450459.919999999925494,9871344.089999999850988
20150107,2490960.489999999757856,2556179.200000000186265,2471313.200000000186265,2513123.199999999720603,10031576.089999999850988
20150108,2535004.060000000521541,2608345.600000000093132,2589275.299999999813735,2544290.799999999813735,10276915.759999999776483
20150109,2530003.479999999981374,2620384.000000000000000,2565039.899999999906868,2482611.759999999776483,10198039.140000000596046
20150112,2517117.370000000111759,2630014.720000000204891,2536105.799999999813735,2483596.000000000000000,10166833.890000000596046
20150113,2522887.270000000018626,2603530.239999999757856,2548965.399999999441206,2469160.479999999981374,10144543.389999998733401
20150114,2507693.200000000186265,2606740.479999999981374,2555395.199999999720603,2460302.319999999832362,10130131.199999999254942
20150115,2503077.279999999795109,2600320.000000000000000,2583340.099999999627471,2453412.640000000130385,10140150.019999999552965
20150116,2515386.400000000372529,2632422.399999999906868,2615736.399999999906868,2494422.640000000130385,10257967.840000001713634
20150120,2523848.919999999925494,2656499.200000000186265,2612026.899999999906868,2495078.799999999813735,10287453.820000000298023
20150121,2546736.189999999944121,2619581.439999999944121,2703527.899999999441206,2479987.120000000111759,10349832.649999998509884
20150122,2608858.779999999795109,2633224.960000000428408,2815554.799999999813735,2494094.559999999590218,10551733.099999999627471
20150123,2589241.120000000111759,2604332.800000000279397,2769804.299999999813735,2479987.120000000111759,10443365.339999999850988
20150126,2578662.970000000204891,2632422.399999999906868,2760159.599999999627471,2488189.120000000111759,10459434.089999999850988
20150127,2548082.500000000000000,2616371.200000000186265,2720591.600000000093132,2458333.840000000316650,10343379.140000000596046
20150128,2685790.779999999795109,2564204.799999999813735,2682260.099999999627471,2420276.559999999590218,10352532.239999998360872
20150129,2842347.400000000372529,2554574.080000000074506,2705259.000000000000000,2446522.959999999497086,10548703.439999999478459
20150130,2795995.870000000111759,2508025.600000000093132,2627606.799999999813735,2419620.399999999906868,10351248.669999999925494
20150202,2813113.239999999757856,2540128.000000000000000,2653326.000000000000000,2457021.520000000018626,10463588.759999999776483
20150203,2833884.880000000353903,2569822.720000000204891,2666185.600000000093132,2453740.720000000204891,10523633.920000001788139
20150204,2831576.919999999925494,2573835.520000000018626,2668905.899999999906868,2449803.759999999776483,10524122.099999999627471
