代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11085539.830000000074506
真實報酬,1085539.830000000074506

夏普值報酬,0.099853983000000
夏普值風險,0.031417957067429
夏普值,3.178245574201250

預期報酬,18018.121424353204930
風險,46655.202131459853263
趨勢值,0.386197478548775
找到最佳解世代,2038
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](2),CAT[3](7),CSCO[4](4),INTC[11](13),KO[14](8),MCD[15](11),TRV[22](1),VZ[26](15),
Stock#,AAPL[0](2),CAT[3](7),CSCO[4](4),INTC[11](13),KO[14](8),MCD[15](11),TRV[22](1),VZ[26](15),
張數,16301,12579,55753,48430,32333,12751,14688,26277,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,39.319999999832362,24.770000000018626,17.739999999990687,21.699999999953434,6.220000000204891,19.469999999972060,51.200000000186265,3.110000000102445,
20140401,1261410.699999999720603,1255534.760000000009313,1287912.040000000037253,1258717.399999999906868,1241916.750000000000000,1248342.370000000111759,1239571.520000000251457,1254729.860000000102445,10048135.400000000372529
20140402,1263529.829999999841675,1291007.540000000037253,1281779.209999999962747,1253874.399999999906868,1239330.110000000102445,1244389.560000000055879,1243390.400000000372529,1256569.250000000000000,10073870.300000000745058
20140403,1254727.289999999804422,1290001.219999999972060,1287354.510000000009313,1279058.000000000000000,1230923.530000000260770,1245282.129999999888241,1248237.440000000176951,1264452.350000000093132,10100036.469999998807907
20140404,1238426.289999999804422,1285221.199999999953434,1266168.370000000111759,1266950.500000000000000,1235773.480000000214204,1247959.840000000083819,1251468.800000000279397,1262350.190000000176951,10054318.669999999925494
20140407,1219028.099999999860302,1271887.459999999962747,1273973.790000000037253,1282932.399999999906868,1248706.680000000167638,1236993.979999999981374,1248531.200000000186265,1264452.350000000093132,10046505.959999999031425
20140408,1219028.099999999860302,1287988.580000000074506,1278991.560000000055879,1303273.000000000000000,1257759.920000000158325,1250637.550000000046566,1244565.440000000176951,1266817.280000000027940,10109061.429999999701977
20140409,1235003.079999999841675,1295535.979999999981374,1289027.100000000093132,1306663.099999999860302,1260669.890000000363216,1254080.319999999832362,1260575.360000000102445,1260773.570000000065193,10162328.400000000372529
20140410,1219028.099999999860302,1286353.310000000055879,1262823.189999999944121,1280026.599999999860302,1257436.590000000316650,1267851.400000000139698,1248384.320000000065193,1247372.300000000046566,10069275.810000002384186
20140411,1210062.549999999813735,1276164.320000000065193,1252230.120000000111759,1267919.099999999860302,1249030.010000000242144,1266066.260000000009313,1252937.600000000093132,1236861.500000000000000,10011271.459999999031425
20140414,1214952.849999999860302,1292894.390000000130385,1273973.790000000037253,1286322.500000000000000,1252263.310000000055879,1276522.080000000074506,1255875.200000000186265,1242116.900000000139698,10094921.020000001415610
20140415,1206150.309999999823049,1289372.270000000018626,1276203.909999999916181,1296492.800000000046566,1299146.160000000149012,1285702.800000000046566,1261603.520000000251457,1232919.950000000186265,10147591.719999998807907
20140416,1208595.459999999729916,1294781.239999999990687,1284009.330000000074506,1304241.599999999860302,1312402.690000000409782,1285702.800000000046566,1274675.840000000316650,1237649.810000000055879,10202058.770000001415610
20140417,1222451.309999999823049,1293523.340000000083819,1294044.870000000111759,1309568.899999999906868,1316605.980000000214204,1278307.219999999972060,1273207.040000000270084,1250788.310000000055879,10238496.970000000670552
20140421,1236959.199999999720603,1291133.330000000074506,1304637.939999999944121,1305210.199999999953434,1317575.970000000204891,1270911.639999999897555,1269094.400000000372529,1260773.570000000065193,10256296.250000000000000
20140422,1238263.279999999795109,1304341.280000000027940,1311328.300000000046566,1299882.899999999906868,1316282.650000000139698,1266448.789999999804422,1276291.520000000251457,1259196.950000000186265,10272035.670000001788139
20140423,1221962.279999999795109,1300441.790000000037253,1310213.239999999990687,1295524.199999999953434,1316929.310000000055879,1264026.099999999860302,1294504.640000000130385,1246321.220000000204891,10249922.780000001192093
20140424,1322213.429999999934807,1324341.890000000130385,1300735.229999999981374,1295524.199999999953434,1315959.320000000298023,1273079.310000000055879,1301261.120000000344589,1216102.670000000158325,10349217.170000001788139
20140425,1331994.029999999795109,1316920.280000000027940,1282336.739999999990687,1271793.500000000000000,1325982.550000000046566,1284427.699999999953434,1297148.480000000214204,1207168.489999999990687,10317771.769999999552965
20140428,1383505.189999999944121,1311511.310000000055879,1283451.800000000046566,1275183.599999999860302,1326629.210000000195578,1279072.280000000027940,1316683.520000000251457,1224511.310000000055879,10400548.220000000670552
20140429,1379429.939999999944121,1324593.469999999972060,1291257.219999999972060,1282448.099999999860302,1311756.030000000260770,1294245.969999999972060,1335190.400000000372529,1228978.400000000139698,10447899.529999999329448
20140430,1374213.619999999878928,1325851.370000000111759,1288469.570000000065193,1292618.399999999906868,1318869.290000000270084,1292715.849999999860302,1330490.240000000223517,1227927.320000000065193,10451155.660000000149012
20140501,1377473.819999999832362,1321700.300000000046566,1282894.270000000018626,1280995.199999999953434,1318545.960000000195578,1287360.429999999934807,1334162.240000000223517,1240803.050000000046566,10443935.269999999552965
20140502,1379918.969999999972060,1320945.560000000055879,1278991.560000000055879,1279058.000000000000000,1324042.570000000298023,1293353.400000000139698,1336659.200000000186265,1238175.350000000093132,10451144.610000001266599
20140505,1399480.169999999692664,1314781.849999999860302,1280106.620000000111759,1267434.800000000046566,1317899.300000000046566,1289655.609999999869615,1331518.400000000372529,1245270.140000000130385,10446146.890000000596046
20140506,1384320.239999999757856,1306605.500000000000000,1266725.899999999906868,1268887.699999999953434,1309169.390000000363216,1287232.919999999925494,1320208.640000000130385,1247372.300000000046566,10390522.590000001713634
20140507,1379429.939999999944121,1316039.750000000000000,1275088.850000000093132,1277120.800000000046566,1322749.250000000000000,1300111.429999999934807,1337687.360000000102445,1263926.810000000055879,10472154.189999999478459
20140508,1369323.319999999832362,1320065.030000000027940,1283451.800000000046566,1275667.899999999906868,1316929.310000000055879,1299983.919999999925494,1340184.320000000065193,1274174.840000000083819,10479780.439999999478459
