代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11570590.170000001788139
真實報酬,1570590.170000001788139

夏普值報酬,0.148359017000000
夏普值風險,0.040459693205076
夏普值,3.666834947265170

預期報酬,25317.150557648015820
風險,58538.862714308386785
趨勢值,0.432484496345705
找到最佳解世代,3753
找到最佳解實驗#,2
找到最佳解次數,45

stock[index](rank)
投資組合檔數,3
JNJ[12](1),TRV[22](2),VZ[26](20),
Stock#,JNJ[12](1),TRV[22](2),VZ[26](20),
張數,47551,46412,77035,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.900000000372529,23.160000000149012,28.549999999813735,
20130102,3368520.740000000689179,3381601.479999999981374,3410368.000000000000000,10160491.220000000670552
20130103,3363765.640000000130385,3407592.200000000186265,3394190.649999999906868,10165549.490000000223517
20130104,3402281.950000000186265,3437295.880000000353903,3412679.049999999813735,10252257.879999998956919
20130107,3395149.300000000745058,3390883.880000000353903,3442722.699999999720603,10228756.880000000819564
20130108,3395624.810000000055879,3396917.439999999944121,3320237.049999999813735,10112780.300000000745058
20130109,3410841.130000000353903,3431726.439999999944121,3312533.549999999813735,10155102.120000001043081
20130110,3432714.590000000316650,3455396.560000000055879,3357984.200000000186265,10246096.350000001490116
20130111,3440322.750000000000000,3473961.359999999869615,3335644.049999999813735,10249929.160000000149012
20130114,3450308.460000000428408,3478602.560000000055879,3280949.200000000186265,10209861.220000000670552
20130115,3441273.770000000484288,3506913.880000000353903,3233187.499999999534339,10181376.150000000372529
20130116,3451259.480000000447035,3506449.760000000242144,3197751.399999999441206,10155461.640000000596046
20130117,3466475.800000000745058,3522693.960000000428408,3245513.100000000093132,10234683.860000001266599
20130118,3482167.630000000353903,3541722.880000000353903,3277097.449999999720603,10300988.960000000894070
20130122,3456490.090000000316650,3617838.560000000055879,3307911.449999999720603,10382241.099999999627471
20130123,3464098.250000000000000,3603450.840000000316650,3296356.199999999720603,10363906.289999999105930
20130124,3475986.000000000000000,3624336.240000000223517,3280949.200000000186265,10381272.440000001341105
20130125,3514977.820000000298023,3636403.359999999869615,3287112.000000000000000,10438494.179999999701977
20130128,3500712.520000000484288,3589991.359999999869615,3294815.500000000000000,10385520.380000000819564
20130129,3538277.810000000055879,3611340.880000000353903,3351051.049999999813735,10500670.740000000223517
20130130,3523061.490000000689179,3600666.120000000111759,3359524.899999999906868,10483253.510000001639128
20130131,3514977.820000000298023,3641508.679999999701977,3359524.899999999906868,10516012.400000000372529
20130201,3527341.080000000540167,3707877.840000000316650,3432708.149999999906868,10667928.070000000298023
