代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11383224.620000001043081
真實報酬,1383224.620000001043081

夏普值報酬,0.129622462000000
夏普值風險,0.046715601262416
夏普值,2.774714624175997

二次趨勢線,-105.774347200956441 x^2 + 32347.237966791424697 x + 10000000.000000000000000
二次平均預期報酬,25789.228440332128230
風險,132254.195378617034294
二次平均趨勢值,0.194997431775248
一次趨勢線,27468.718684913132165 x + 10000000.000000000000000
一次預期報酬,27468.718684913132165
一次風險,139667.856618926656665
一次趨勢值,0.196671727839710
找到最佳解世代,2297
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
BA[2](4),PFE[20](6),UNH[23](2),WBA[27](1),
Stock#,BA[2](4),PFE[20](6),UNH[23](2),WBA[27](1),
張數,19238,79795,24806,32894,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,21.900000000372529,22.649999999906868,51.319999999832362,56.000000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2482685.800000000745058,2486434.850000000093132,2458822.040000000037253,2450659.000000000000000,9878601.690000001341105
FS( 3 ),2453444.040000000502914,2507181.549999999813735,2453860.839999999850988,2456908.859999999869615,9871395.289999999105930
FS( 4 ),2491535.280000000260770,2541493.399999999906868,2478914.899999999906868,2519736.399999999906868,10031679.980000000447035
FS( 5 ),2535590.300000000745058,2593360.149999999906868,2597239.520000000018626,2550985.699999999720603,10277175.669999999925494
FS( 6 ),2530588.420000000391155,2605329.399999999906868,2572929.639999999664724,2489144.979999999981374,10197992.439999999478459
FS( 7 ),2517698.960000000428408,2614904.800000000279397,2543906.619999999646097,2490131.800000000279397,10166642.180000001564622
FS( 8 ),2523470.360000000335276,2588572.449999999720603,2556805.739999999757856,2475658.439999999944121,10144506.990000000223517
FS( 9 ),2508272.340000000316650,2591764.249999999534339,2563255.299999999813735,2466777.060000000055879,10130068.949999999254942
FS( 10 ),2503655.220000000204891,2585380.649999999906868,2591286.079999999608845,2459869.319999999832362,10140191.269999999552965
FS( 11 ),2515967.540000000502914,2617298.649999999906868,2623781.939999999944121,2500986.819999999832362,10258034.950000001117587
FS( 12 ),2524432.260000000242144,2641237.149999999906868,2620061.040000000037253,2501644.699999999720603,10287375.150000000372529
FS( 13 ),2547325.480000000447035,2604531.449999999720603,2711843.239999999757856,2486513.459999999962747,10350213.629999998956919
FS( 14 ),2609464.220000000204891,2618096.600000000093132,2824214.419999999459833,2500657.879999999888241,10552433.120000001043081
FS( 15 ),2589841.460000000428408,2589370.399999999906868,2778323.319999999832362,2486513.459999999962747,10444048.640000000596046
FS( 16 ),2579260.560000000055879,2617298.649999999906868,2768648.979999999981374,2494736.959999999962747,10459945.149999998509884
FS( 17 ),2548672.140000000130385,2601339.649999999906868,2728959.379999999888241,2464803.420000000391155,10343774.589999999850988
FS( 18 ),2686416.220000000204891,2549472.899999999906868,2690510.079999999608845,2426646.379999999888241,10353045.579999998211861
FS( 19 ),2843013.540000000502914,2539897.500000000000000,2713579.659999999683350,2452961.579999999608845,10549452.280000001192093
FS( 20 ),2796649.960000000428408,2493616.399999999906868,2635688.819999999832362,2425988.500000000000000,10351943.679999999701977
FS( 21 ),2813771.780000000260770,2525534.399999999906868,2661487.060000000055879,2463487.660000000149012,10464280.900000000372529
FS( 22 ),2834548.820000000298023,2555058.550000000279397,2674386.179999999701977,2460198.260000000242144,10524191.810000000521541
FS( 23 ),2832240.260000000242144,2559048.299999999813735,2677114.839999999850988,2456250.979999999981374,10524654.380000000819564
FS( 24 ),2858788.700000000186265,2632459.700000000186265,2699440.239999999757856,2460198.260000000242144,10650886.900000000372529
FS( 25 ),2847245.900000000372529,2646822.799999999813735,2669176.919999999459833,2504934.100000000093132,10668179.719999998807907
FS( 26 ),2839165.940000000409782,2638843.299999999813735,2641642.259999999776483,2513157.600000000093132,10632809.099999999627471
FS( 27 ),2848015.420000000391155,2725021.899999999906868,2703161.139999999664724,2522696.859999999869615,10798895.320000000298023
FS( 28 ),2845706.860000000335276,2733001.399999999906868,2724990.419999999459833,2616115.819999999832362,10919814.500000000000000
FS( 29 ),2848977.320000000298023,2782474.299999999813735,2724742.359999999869615,2630260.239999999757856,10986454.220000000670552
FS( 30 ),2880527.640000000130385,2764121.449999999720603,2714819.959999999962747,2589800.620000000111759,10949269.669999999925494
FS( 31 ),2884182.860000000335276,2759333.750000000000000,2722757.879999999888241,2565788.000000000000000,10932062.490000000223517
FS( 32 ),2908230.360000000335276,2751354.249999999534339,2723005.939999999944121,2558880.260000000242144,10941470.809999998658895
FS( 33 ),2957864.400000000372529,2745768.599999999627471,2729455.500000000000000,2536183.399999999906868,10969271.900000000372529
FS( 34 ),3045589.680000000633299,2757737.850000000093132,2793703.040000000037253,2537170.219999999739230,11134200.789999999105930
FS( 35 ),2976910.020000000484288,2744172.699999999720603,2887469.720000000204891,2585195.459999999962747,11193747.900000002235174
FS( 36 ),2969984.340000000316650,2740182.950000000186265,2863407.899999999906868,2644404.660000000149012,11217979.850000001490116
FS( 37 ),2943628.280000000260770,2765717.349999999627471,2829175.619999999646097,2631904.939999999944121,11170426.189999999478459
FS( 38 ),2919003.640000000130385,2760131.700000000186265,2819501.279999999795109,2685851.100000000093132,11184487.719999998807907
FS( 39 ),2902074.200000000186265,2738587.049999999813735,2818757.099999999627471,2732889.520000000018626,11192307.869999999180436
FS( 40 ),2958826.300000000745058,2774494.800000000279397,2837857.720000000204891,2750652.280000000260770,11321831.100000001490116
FS( 41 ),2992877.560000000055879,2757737.850000000093132,2799656.479999999981374,2737165.739999999757856,11287437.630000000819564
FS( 42 ),2969407.200000000186265,2764121.449999999720603,2823470.239999999757856,2730915.879999999888241,11287914.769999999552965
FS( 43 ),2971715.760000000242144,2750556.299999999813735,2847532.060000000055879,2736836.800000000279397,11306640.920000001788139
FS( 44 ),2945744.460000000428408,2710658.799999999813735,2800152.599999999627471,2708876.899999999906868,11165432.759999999776483
FS( 45 ),2977102.400000000372529,2715446.500000000000000,2850260.720000000204891,2746705.000000000000000,11289514.620000001043081
FS( 46 ),2932277.860000000335276,2695497.750000000000000,2789734.079999999608845,2721047.680000000167638,11138557.369999999180436
FS( 47 ),2908230.360000000335276,2683528.500000000000000,2796183.639999999664724,2714139.939999999944121,11102082.439999999478459
FS( 48 ),2924967.420000000391155,2713052.649999999906868,2849764.599999999627471,2771375.500000000000000,11259160.169999999925494
FS( 49 ),2915925.560000000055879,2713052.649999999906868,2858942.819999999832362,2753941.680000000167638,11241862.709999999031425
FS( 50 ),2956325.360000000335276,2748162.449999999720603,2940058.439999999944121,2854268.379999999888241,11498814.629999998956919
FS( 51 ),2972485.280000000260770,2726617.799999999813735,2917236.919999999459833,2837492.439999999944121,11453832.439999999478459
FS( 52 ),2995955.640000000130385,2743374.750000000000000,2975779.079999999608845,2867754.920000000391155,11582864.390000000596046
FS( 53 ),2964790.080000000540167,2725021.899999999906868,2995623.879999999888241,2873675.839999999850988,11559111.699999999254942
FS( 54 ),2972292.900000000372529,2733001.399999999906868,2955438.159999999683350,2902293.620000000111759,11563026.080000001937151
FS( 55 ),2939780.680000000633299,2796837.399999999906868,2952957.560000000055879,2892096.479999999981374,11581672.120000001043081
FS( 56 ),2917464.600000000558794,2754546.050000000279397,2930136.040000000037253,2894728.000000000000000,11496874.690000001341105
FS( 57 ),2851670.640000000130385,2736991.149999999906868,2890942.560000000055879,2824992.719999999739230,11304597.070000000298023
FS( 58 ),2850516.360000000335276,2725819.849999999627471,2883748.819999999832362,2777625.359999999869615,11237710.389999998733401
FS( 59 ),2863598.200000000186265,2755344.000000000000000,2927407.379999999888241,2805585.260000000242144,11351934.839999999850988
