代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11467552.769999999552965
真實報酬,1467552.769999999552965

夏普值報酬,0.138055277000000
夏普值風險,0.048905164567267
夏普值,2.822918156427245

二次趨勢線,229.656856249324989 x^2 + 13331.527147163829795 x + 10000000.000000000000000
二次平均預期報酬,28029.565947120623605
風險,92264.518448645467288
二次平均趨勢值,0.303795721458427
一次趨勢線,24268.256805399316363 x + 10000000.000000000000000
一次預期報酬,24268.256805399316363
一次風險,138965.700571440364001
一次趨勢值,0.174634868212846
找到最佳解世代,2393
找到最佳解實驗#,2
找到最佳解次數,33

stock[index](rank)
投資組合檔數,5
AAPL[0](20),BA[2](2),CVX[5](3),JPM[13](4),MSFT[18](8),
Stock#,AAPL[0](20),BA[2](2),CVX[5](3),JPM[13](4),MSFT[18](8),
張數,17774,15108,19521,30070,34831,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,69.520000000018626,2.959999999962747,73.550000000046566,44.299999999813735,3.979999999981374,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2008531.520000000018626,1998035.959999999962747,1976965.219999999972060,2002706.299999999580905,1993730.420000000158325,9979969.419999999925494
FS( 3 ),2009420.219999999972060,2034446.239999999990687,1995705.380000000121072,2035482.599999999860302,2007662.820000000065193,10082717.259999999776483
FS( 4 ),2024350.380000000121072,2030820.319999999832362,1994729.330000000074506,2040895.199999999953434,2011145.920000000158325,10101941.150000000372529
FS( 5 ),2027371.959999999962747,2022208.759999999776483,1996486.219999999972060,2048111.999999999767169,2013235.779999999795109,10107414.719999998807907
FS( 6 ),2062742.219999999972060,2052273.679999999934807,2029867.130000000121072,2064049.099999999860302,2021595.219999999972060,10230527.349999999627471
FS( 7 ),2067185.719999999972060,2020546.880000000121072,2011517.390000000130385,2054125.999999999767169,1991988.869999999878928,10145364.859999999403954
FS( 8 ),2085670.680000000167638,2011784.239999999990687,1994143.700000000186265,2048713.399999999674037,1989202.389999999897555,10129514.410000000149012
FS( 9 ),2079272.040000000037253,2015108.000000000000000,1967595.140000000130385,2036986.099999999627471,1982584.500000000000000,10081545.779999999329448
FS( 10 ),2090825.139999999897555,2016920.959999999962747,1973256.229999999981374,2030370.699999999720603,2000000.000000000000000,10111373.029999999329448
FS( 11 ),2089403.219999999972060,2024474.959999999962747,1978722.110000000102445,2019846.199999999953434,1993033.800000000046566,10105480.290000000968575
