代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10658556.339999997988343
真實報酬,658556.339999997988343

夏普值報酬,0.057155634000000
夏普值風險,0.041692018938476
夏普值,1.370901085033630

二次趨勢線,-362.669528574515766 x^2 + 39026.673393046381534 x + 10000000.000000000000000
二次平均預期報酬,15815.823564277374317
風險,408987.345345409994479
二次平均趨勢值,0.038670691756783
一次趨勢線,21755.607969277250959 x + 10000000.000000000000000
一次預期報酬,21755.607969277250959
一次風險,440681.985567964031361
一次趨勢值,0.049368044716505
找到最佳解世代,2686
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,296647,
分配資金,10000000.000000000000000,
剩餘資金,29.629999998956919,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10106792.919999999925494,10106792.919999999925494
FS( 3 ),10151289.969999998807907,10151289.969999998807907
FS( 4 ),10195787.019999997690320,10195787.019999997690320
FS( 5 ),10169088.789999999105930,10169088.789999999105930
FS( 6 ),10246217.009999997913837,10246217.009999997913837
FS( 7 ),10266982.299999998882413,10266982.299999998882413
FS( 8 ),10272915.240000000223517,10272915.240000000223517
FS( 9 ),10412339.330000000074506,10412339.330000000074506
FS( 10 ),10548796.949999999254942,10548796.949999999254942
FS( 11 ),10483534.609999999403954,10483534.609999999403954
FS( 12 ),10471668.729999998584390,10471668.729999998584390
FS( 13 ),10364875.809999998658895,10364875.809999998658895
FS( 14 ),10984868.039999999105930,10984868.039999999105930
FS( 15 ),11293380.919999999925494,11293380.919999999925494
FS( 16 ),11477302.059999998658895,11477302.059999998658895
FS( 17 ),11420939.129999998956919,11420939.129999998956919
FS( 18 ),11103526.839999997988343,11103526.839999997988343
FS( 19 ),11085728.019999997690320,11085728.019999997690320
FS( 20 ),11385341.490000000223517,11385341.490000000223517
FS( 21 ),11064962.729999998584390,11064962.729999998584390
FS( 22 ),11287447.979999998584390,11287447.979999998584390
FS( 23 ),10961136.279999999329448,10961136.279999999329448
FS( 24 ),10848410.419999999925494,10848410.419999999925494
FS( 25 ),10436071.089999997988343,10436071.089999997988343
FS( 26 ),9994067.059999998658895,9994067.059999998658895
FS( 27 ),10762382.789999999105930,10762382.789999999105930
FS( 28 ),10872142.179999997839332,10872142.179999997839332
FS( 29 ),11106493.309999998658895,11106493.309999998658895
FS( 30 ),10949270.399999998509884,10949270.399999998509884
FS( 31 ),10756449.849999997764826,10756449.849999997764826
FS( 32 ),10774248.669999999925494,10774248.669999999925494
FS( 33 ),10694153.979999998584390,10694153.979999998584390
FS( 34 ),10525065.189999997615814,10525065.189999997615814
FS( 35 ),10077128.219999998807907,10077128.219999998807907
FS( 36 ),10269948.769999997690320,10269948.769999997690320
FS( 37 ),10456836.379999998956919,10456836.379999998956919
FS( 38 ),10391574.039999999105930,10391574.039999999105930
FS( 39 ),10344110.519999997690320,10344110.519999997690320
FS( 40 ),10735684.559999998658895,10735684.559999998658895
FS( 41 ),10886974.529999999329448,10886974.529999999329448
FS( 42 ),11053096.849999997764826,11053096.849999997764826
FS( 43 ),11186588.000000000000000,11186588.000000000000000
FS( 44 ),11150990.359999999403954,11150990.359999999403954
FS( 45 ),10848410.419999999925494,10848410.419999999925494
FS( 46 ),10634824.580000000074506,10634824.580000000074506
FS( 47 ),10566595.769999997690320,10566595.769999997690320
FS( 48 ),10305546.410000000149012,10305546.410000000149012
FS( 49 ),10617025.759999997913837,10617025.759999997913837
FS( 50 ),10744583.969999998807907,10744583.969999998807907
FS( 51 ),10777215.139999998733401,10777215.139999998733401
FS( 52 ),11005633.330000000074506,11005633.330000000074506
FS( 53 ),11326012.089999997988343,11326012.089999997988343
FS( 54 ),11521799.109999999403954,11521799.109999999403954
FS( 55 ),11613759.679999997839332,11613759.679999997839332
FS( 56 ),11450603.830000000074506,11450603.830000000074506
FS( 57 ),11604860.269999997690320,11604860.269999997690320
FS( 58 ),11483235.000000000000000,11483235.000000000000000
FS( 59 ),11400173.839999997988343,11400173.839999997988343
FS( 60 ),11302280.330000000074506,11302280.330000000074506
FS( 61 ),11370509.139999998733401,11370509.139999998733401
FS( 62 ),10857309.830000000074506,10857309.830000000074506
FS( 63 ),10658556.339999997988343,10658556.339999997988343
