代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11072656.849999999627471
真實報酬,1072656.849999999627471

夏普值報酬,0.098565685000000
夏普值風險,0.028584202097919
夏普值,3.448257350768419

二次趨勢線,-248.838879513656252 x^2 + 31418.491617597079312 x + 10000000.000000000000000
二次平均預期報酬,15243.964449209424856
風險,70217.400818769994657
二次平均趨勢值,0.217096677909709
一次趨勢線,19381.634189959753712 x + 10000000.000000000000000
一次預期報酬,19381.634189959753712
一次風險,135737.598531104915310
一次趨勢值,0.142787513553353
找到最佳解世代,2057
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),CSCO[4](3),JPM[13](2),PG[21](4),V[25](1),
Stock#,AAPL[0](5),CSCO[4](3),JPM[13](2),PG[21](4),V[25](1),
張數,20857,69444,32647,23590,26852,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,22.270000000018626,12.800000000046566,44.780000000027940,39.800000000046566,63.039999999804422,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1981228.699999999953434,1967361.319999999832362,1944173.629999999888241,2015569.399999999906868,2005101.879999999888241,9913434.929999999701977
FS( 3 ),1992491.479999999981374,1994444.479999999981374,1965067.709999999962747,2005897.500000000000000,1988722.159999999916181,9946623.330000000074506
FS( 4 ),2001042.849999999860302,1995833.359999999869615,1965067.709999999962747,2001179.500000000000000,1988722.159999999916181,9951845.580000000074506
FS( 5 ),2016477.030000000260770,2031944.240000000223517,2018608.790000000037253,2023354.099999999860302,2052092.879999999888241,10142477.039999999105930
FS( 6 ),2022734.130000000121072,2043749.719999999972060,2032973.470000000204891,2022882.300000000046566,2054778.079999999608845,10177117.699999999254942
FS( 7 ),2031911.209999999962747,2056249.639999999897555,2063335.180000000167638,2022882.300000000046566,2080556.000000000000000,10254934.329999998211861
FS( 8 ),2020439.860000000102445,2065971.800000000046566,2062029.299999999813735,2026184.900000000139698,2080018.959999999729916,10254644.820000000298023
FS( 9 ),2060485.300000000046566,2066666.240000000223517,2093370.420000000158325,2025713.100000000093132,2098278.319999999366701,10344513.379999998956919
FS( 10 ),2060276.729999999981374,2070832.880000000121072,2095329.240000000223517,2029015.700000000186265,2102574.639999999664724,10358029.190000001341105
FS( 11 ),2082176.580000000074506,2077082.840000000083819,2088146.900000000139698,2027128.500000000232831,2102843.160000000149012,10377377.980000000447035
FS( 12 ),2083010.860000000102445,2077777.280000000260770,2084882.199999999953434,2032790.100000000093132,2113852.479999999515712,10392312.920000001788139
FS( 13 ),2084887.989999999990687,2127082.519999999552965,2087167.489999999990687,2012738.599999999860302,2131037.759999999776483,10442914.359999999403954
