代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11078718.259999999776483
真實報酬,1078718.259999999776483

夏普值報酬,0.099171826000000
夏普值風險,0.036353346031708
夏普值,2.727997194907439

二次趨勢線,75.592683224584420 x^2 + 15318.010664468387404 x + 10000000.000000000000000
二次平均預期報酬,20155.942390841784800
風險,71526.062310455701663
二次平均趨勢值,0.281798574390350
一次趨勢線,18917.888996297333506 x + 10000000.000000000000000
一次預期報酬,18917.888996297333506
一次風險,79283.941375410184264
一次趨勢值,0.238609340909541
找到最佳解世代,2117
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](3),JNJ[12](5),KO[14](7),MCD[15](1),UNH[23](4),
Stock#,BA[2](3),JNJ[12](5),KO[14](7),MCD[15](1),UNH[23](4),
張數,11321,16039,47158,15430,12078,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,145.349999999860302,97.090000000083819,29.220000000204891,117.699999999720603,3.979999999981374,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2023208.049999999813735,1999839.610000000102445,2012732.660000000149012,1995062.399999999674037,1992511.639999999897555,10023354.359999999403954
FS( 3 ),2004868.030000000027940,2001764.290000000037253,2007545.280000000260770,2012343.999999999767169,1997342.840000000083819,10023864.440000001341105
FS( 4 ),2008151.119999999878928,2005774.040000000037253,2012261.080000000307336,2008332.199999999720603,1996980.500000000000000,10031498.939999999478459
FS( 5 ),2024906.199999999720603,2003688.970000000204891,2009431.600000000093132,2005400.499999999767169,2005193.540000000037253,10048620.809999998658895
FS( 6 ),2010302.109999999869615,1994386.350000000093132,2013204.239999999990687,2005709.099999999627471,1998671.419999999925494,10022273.219999998807907
FS( 7 ),2021736.319999999832362,1992461.670000000158325,2011789.500000000000000,2024533.699999999487773,2002898.720000000204891,10053419.910000000149012
FS( 8 ),1993207.399999999906868,2011387.690000000176951,2024993.739999999990687,2025459.499999999534339,1999637.659999999916181,10054685.990000000223517
FS( 9 ),1988339.369999999878928,2004811.699999999953434,2017920.040000000270084,2017744.499999999534339,1992390.860000000102445,10021206.469999998807907
FS( 10 ),2026830.770000000018626,2016520.170000000158325,2031124.280000000260770,2026848.199999999720603,2019204.020000000018626,10120527.439999999478459
FS( 11 ),2013585.199999999720603,1953968.070000000065193,2050459.060000000055879,2041506.699999999953434,2036234.000000000000000,10095753.030000001192093
FS( 12 ),2019811.750000000000000,1946750.520000000251457,2038669.560000000055879,2046752.899999999441206,2044205.479999999981374,10096190.209999999031425
FS( 13 ),2030000.649999999906868,1954770.020000000251457,2032067.440000000409782,2056473.799999999813735,2071864.099999999860302,10145176.009999999776483
FS( 14 ),2042227.329999999841675,1953005.730000000214204,2031124.280000000260770,2058633.999999999767169,2067274.459999999962747,10152265.800000000745058
FS( 15 ),2061246.609999999869615,1971129.800000000046566,2041027.460000000195578,2071286.599999999627471,2081405.720000000204891,10226096.189999999478459
FS( 16 ),2077662.059999999823049,1979790.860000000102445,2033010.600000000093132,2186548.699999999720603,2102059.100000000093132,10379071.319999998435378
FS( 17 ),2057284.260000000009313,1981073.980000000214204,2039141.140000000363216,2173278.899999999906868,2106165.620000000111759,10356943.900000002235174
FS( 18 ),2074378.969999999739230,1984762.949999999953434,2028294.800000000046566,2173741.799999999813735,2109185.120000000111759,10370363.640000000596046
FS( 19 ),2092605.780000000027940,1980432.420000000158325,2034896.920000000158325,2159237.599999999627471,2112204.620000000111759,10379377.339999999850988
FS( 20 ),2064982.539999999804422,1978347.350000000093132,2038197.980000000214204,2178062.199999999720603,2108702.000000000000000,10368292.070000000298023
FS( 21 ),2076869.589999999850988,1984121.390000000130385,2046214.840000000316650,2179296.599999999627471,2103266.899999999906868,10389769.320000000298023
FS( 22 ),2076303.539999999804422,1978186.959999999962747,2042913.780000000260770,2200744.299999999813735,2083942.099999999860302,10382090.679999999701977
FS( 23 ),2072680.819999999832362,1988131.140000000130385,2058947.500000000000000,2213551.199999999720603,2101817.540000000037253,10435128.199999999254942
FS( 24 ),2094643.559999999823049,1981073.980000000214204,2060362.239999999990687,2221420.500000000000000,2103025.339999999850988,10460525.620000001043081
FS( 25 ),2106077.769999999552965,1976903.840000000083819,2069793.840000000316650,2225740.899999999906868,2106890.299999999813735,10485406.649999998509884
FS( 26 ),2116153.459999999962747,1976262.280000000027940,2051873.800000000046566,2227592.500000000000000,2092396.700000000186265,10464278.740000000223517
FS( 27 ),2073926.129999999888241,1969846.680000000167638,2054703.280000000260770,2230061.299999999813735,2094208.399999999906868,10422745.789999999105930
FS( 28 ),2082530.089999999850988,1976101.890000000130385,2059419.080000000307336,2225278.000000000000000,2093362.939999999944121,10436692.000000000000000
FS( 29 ),2074718.599999999860302,1983159.050000000046566,2055646.440000000409782,2243022.500000000000000,2075125.159999999916181,10431671.750000000000000
FS( 30 ),2064982.539999999804422,2036889.699999999953434,2062248.560000000055879,2257218.099999999627471,2071743.320000000065193,10493082.219999998807907
