代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11780434.860000001266599
真實報酬,1780434.860000001266599

夏普值報酬,0.169343486000000
夏普值風險,0.047448866464168
夏普值,3.568967999011807

二次趨勢線,-156.095812208541133 x^2 + 38014.025905400652846 x + 10000000.000000000000000
二次平均預期報酬,27867.798111845480889
風險,105011.212100860298960
二次平均趨勢值,0.265379263359795
一次趨勢線,30463.344756708396744 x + 10000000.000000000000000
一次預期報酬,30463.344756708396744
一次風險,127817.616171398301958
一次趨勢值,0.238334477431173
找到最佳解世代,1722
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](4),VZ[26](1),
Stock#,MCD[15](4),VZ[26](1),
張數,74951,190114,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.790000000037253,1.799999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4957277.929999999701977,5096958.139999999664724,10054236.070000000298023
FS( 3 ),4955029.400000000372529,5058935.339999999850988,10013964.740000000223517
FS( 4 ),5044970.600000000558794,5041825.080000000074506,10086795.679999999701977
FS( 5 ),5173136.809999999590218,5091254.719999999739230,10264391.529999999329448
FS( 6 ),5188127.009999999776483,5066539.899999999441206,10254666.910000000149012
FS( 7 ),5242091.729999999515712,5036121.659999999217689,10278213.389999998733401
FS( 8 ),5309547.629999999888241,5112167.259999999776483,10421714.890000000596046
FS( 9 ),5314044.690000000409782,5102661.559999999590218,10416706.250000000000000
FS( 10 ),5346273.620000000111759,5095057.000000000000000,10441330.620000001043081
FS( 11 ),5242091.729999999515712,5074144.459999999962747,10316236.189999999478459
FS( 12 ),5239843.200000000186265,5079847.879999999888241,10319691.080000000074506
FS( 13 ),5311796.160000000149012,5070342.179999999701977,10382138.339999999850988
FS( 14 ),5254833.400000000372529,5041825.080000000074506,10296658.480000000447035
FS( 15 ),5351520.190000000409782,5133079.799999999813735,10484599.990000000223517
FS( 16 ),5239093.690000000409782,5326996.080000000074506,10566089.769999999552965
FS( 17 ),5311796.160000000149012,5376425.719999999739230,10688221.879999998956919
FS( 18 ),5276569.190000000409782,5435361.059999999590218,10711930.250000000000000
FS( 19 ),5229350.059999999590218,5496197.540000000037253,10725547.599999999627471
FS( 20 ),5200119.169999999925494,5490494.119999999180436,10690613.289999999105930
FS( 21 ),5226352.020000000484288,5524714.639999999664724,10751066.660000000149012
FS( 22 ),5265326.540000000037253,5619771.639999999664724,10885098.179999999701977
FS( 23 ),5280316.740000000223517,5615969.359999999403954,10896286.099999999627471
FS( 24 ),5298304.979999999515712,5589353.399999999441206,10887658.379999998956919
FS( 25 ),5280316.740000000223517,5617870.500000000000000,10898187.240000000223517
FS( 26 ),5377003.529999999329448,5617870.500000000000000,10994874.029999999329448
FS( 27 ),5465445.709999999962747,5676805.839999999850988,11142251.550000000745058
FS( 28 ),5459449.629999999888241,5707224.080000000074506,11166673.710000000894070
FS( 29 ),5364261.859999999403954,5619771.639999999664724,10984033.500000000000000
FS( 30 ),5400987.850000000558794,5764258.280000000260770,11165246.130000000819564
FS( 31 ),5388246.179999999701977,5709125.219999999739230,11097371.399999998509884
FS( 32 ),5380751.080000000074506,5695817.240000000223517,11076568.320000000298023
FS( 33 ),5487931.009999999776483,5735741.179999999701977,11223672.189999999478459
FS( 34 ),5490179.540000000037253,5731938.899999999441206,11222118.439999999478459
FS( 35 ),5469193.259999999776483,5631178.480000000447035,11100371.740000000223517
FS( 36 ),5477437.870000000111759,5583649.980000000447035,11061087.850000001490116
FS( 37 ),5496925.129999999888241,5591254.540000000037253,11088179.669999999925494
FS( 38 ),5450455.509999999776483,5602661.379999999888241,11053116.890000000596046
FS( 39 ),5485682.479999999515712,5638783.040000000037253,11124465.519999999552965
FS( 40 ),5483433.950000000186265,5608364.799999999813735,11091798.750000000000000
FS( 41 ),5545643.279999999329448,5673003.559999999590218,11218646.839999999850988
FS( 42 ),5451954.529999999329448,5596957.959999999962747,11048912.489999998360872
FS( 43 ),5475938.850000000558794,5614068.219999999739230,11090007.070000000298023
FS( 44 ),5586866.330000000074506,5752851.440000000409782,11339717.769999999552965
FS( 45 ),5622842.809999999590218,5724334.339999999850988,11347177.149999998509884
FS( 46 ),5628089.379999999888241,5741444.599999999627471,11369533.980000000447035
FS( 47 ),5681304.589999999850988,5745246.879999999888241,11426551.469999998807907
FS( 48 ),5702290.870000000111759,5790874.240000000223517,11493165.109999999403954
FS( 49 ),5574124.660000000149012,5863117.559999999590218,11437242.219999998807907
FS( 50 ),5622093.300000000745058,5859315.280000000260770,11481408.580000001937151
FS( 51 ),5589114.859999999403954,5874524.399999999441206,11463639.259999997913837
FS( 52 ),5541895.729999999515712,5876425.540000000037253,11418321.269999999552965
FS( 53 ),5599608.000000000000000,5929657.459999999962747,11529265.460000000894070
FS( 54 ),5606353.589999999850988,5973383.679999999701977,11579737.269999999552965
FS( 55 ),5570377.109999999403954,6022813.319999999366701,11593190.429999999701977
FS( 56 ),5629588.400000000372529,6100760.060000000521541,11730348.460000000894070
FS( 57 ),5659568.800000000745058,6144486.280000000260770,11804055.080000001937151
FS( 58 ),5631087.419999999925494,6157794.259999999776483,11788881.679999999701977
FS( 59 ),5594361.429999999701977,6115969.179999999701977,11710330.609999999403954
FS( 60 ),5628838.889999999664724,6205322.759999999776483,11834161.649999998509884
FS( 61 ),5603355.550000000745058,6247147.839999999850988,11850503.390000000596046
FS( 62 ),5593611.919999999925494,6220531.879999999888241,11814143.800000000745058
FS( 63 ),5580120.740000000223517,6209125.039999999105930,11789245.779999999329448
FS( 64 ),5584617.800000000745058,6195817.060000000521541,11780434.860000001266599
