代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12611435.530000001192093
真實報酬,2611435.530000001192093

夏普值報酬,0.252443553000000
夏普值風險,0.067863829446595
夏普值,3.719854229544433

二次趨勢線,-98.943065587032038 x^2 + 49079.205334435137047 x + 10000000.000000000000000
二次平均預期報酬,42845.792202452124911
風險,90121.932006649556570
二次平均趨勢值,0.475420258403812
一次趨勢線,44441.545964239630848 x + 10000000.000000000000000
一次預期報酬,44441.545964239630848
一次風險,100016.298382743349066
一次趨勢值,0.444343038913221
找到最佳解世代,2805
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),GS[8](8),HD[9](3),MSFT[18](2),UNH[23](18),
Stock#,AAPL[0](1),GS[8](8),HD[9](3),MSFT[18](2),UNH[23](18),
張數,34042,20973,47460,74710,38842,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,32.500000000000000,14.719999999972060,35.599999999860302,13.300000000046566,25.419999999925494,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2010553.020000000018626,1986996.739999999757856,2028476.000000000000000,2047067.300000000046566,2029131.500000000000000,10102224.559999998658895
FS( 3 ),2033020.739999999990687,1983641.059999999823049,2045087.000000000000000,2067986.100000000093132,2042726.199999999953434,10172461.099999999627471
FS( 4 ),2054126.780000000027940,1959312.380000000121072,2050307.600000000093132,2100111.400000000372529,2050106.179999999934807,10213964.339999999850988
FS( 5 ),2051063.000000000000000,1985948.089999999850988,2051731.399999999674037,2072468.699999999953434,2047775.659999999916181,10208986.849999999627471
FS( 6 ),2058211.820000000065193,2062289.809999999823049,2065969.399999999906868,2079939.699999999953434,2043891.459999999729916,10310302.189999999478459
FS( 7 ),2054807.619999999878928,2092281.200000000186265,2062647.199999999953434,2070974.500000000000000,2059039.839999999850988,10339750.359999999403954
FS( 8 ),2049360.900000000139698,2122692.049999999813735,2059325.000000000000000,2091893.300000000046566,2053601.959999999729916,10376873.209999999031425
FS( 9 ),2041531.239999999990687,2075502.799999999813735,2065020.199999999720603,2110570.799999999813735,2046998.820000000065193,10339623.859999999403954
FS( 10 ),2065360.640000000130385,2048657.360000000102445,2075936.000000000000000,2111317.900000000372529,2080791.359999999869615,10382063.259999999776483
FS( 11 ),2086807.099999999860302,2187708.349999999627471,2130040.400000000372529,2109076.599999999627471,2095162.899999999906868,10608795.349999999627471
FS( 12 ),2080339.119999999878928,2258387.360000000335276,2155194.199999999254942,2100858.500000000000000,2032238.859999999869615,10627018.039999999105930
FS( 13 ),2043914.179999999934807,2280618.740000000223517,2112480.200000000186265,2219647.400000000372529,2030296.760000000009313,10686957.279999999329448
FS( 14 ),2078637.020000000018626,2269083.589999999850988,2130040.400000000372529,2221141.599999999627471,2036511.479999999981374,10735414.089999999850988
FS( 15 ),2044595.020000000018626,2283345.230000000447035,2133837.200000000186265,2192004.700000000186265,1993785.279999999795109,10647567.429999999701977
FS( 16 ),2172252.520000000018626,2270761.429999999701977,2148075.200000000186265,2208440.900000000372529,2003107.359999999869615,10802637.410000000149012
FS( 17 ),2162380.340000000316650,2276843.599999999627471,2133362.599999999627471,2203958.299999999813735,1955720.119999999878928,10732264.959999999031425
FS( 18 ),2175316.299999999813735,2344166.929999999701977,2129565.799999999813735,2183786.599999999627471,1981744.260000000009313,10814579.889999998733401
FS( 19 ),2203230.739999999757856,2301382.009999999776483,2124819.799999999813735,2212176.400000000372529,1983686.359999999869615,10825295.309999998658895
FS( 20 ),2219911.319999999832362,2337875.030000000260770,2106785.000000000000000,2206199.600000000558794,2011652.599999999860302,10882423.549999998882413
FS( 21 ),2218549.640000000130385,2379401.570000000298023,2110581.799999999813735,2233095.200000000186265,2068750.339999999850988,11010378.550000000745058
FS( 22 ),2213443.339999999850988,2378143.190000000409782,2110107.200000000186265,2237577.799999999813735,2040784.099999999860302,10980055.630000000819564
FS( 23 ),2235570.640000000130385,2464971.410000000149012,2143803.799999999813735,2259243.700000000186265,1993008.439999999944121,11096597.990000000223517
FS( 24 ),2256336.260000000242144,2462035.190000000409782,2145227.599999999627471,2256255.299999999813735,1992231.599999999860302,11112085.950000001117587
FS( 25 ),2280165.660000000149012,2432463.259999999776483,2157567.200000000186265,2267461.799999999813735,2020974.679999999934807,11158632.599999999627471
FS( 26 ),2318292.699999999720603,2436028.669999999925494,2143803.799999999813735,2290621.900000000372529,2025247.300000000046566,11213994.370000001043081
FS( 27 ),2398291.399999999906868,2430365.959999999962747,2148549.799999999813735,2298840.000000000000000,2060981.939999999944121,11337029.099999999627471
FS( 28 ),2399653.079999999608845,2393453.480000000447035,2151397.399999999441206,2278668.299999999813735,2071080.859999999869615,11294253.119999999180436
FS( 29 ),2444248.100000000093132,2402052.410000000149012,2179873.399999999441206,2284645.099999999627471,2091667.119999999878928,11402486.129999997094274
FS( 30 ),2477609.260000000242144,2367237.230000000447035,2186043.200000000186265,2259990.799999999813735,2115360.739999999757856,11406241.230000000447035
FS( 31 ),2420418.699999999720603,2373529.129999999888241,2169432.200000000186265,2245048.799999999813735,2121575.459999999962747,11330004.289999999105930
FS( 32 ),2442205.579999999608845,2406456.740000000223517,2179873.399999999441206,2337689.200000000186265,2128178.600000000093132,11494403.519999999552965
FS( 33 ),2441865.160000000149012,2430995.149999999441206,2216892.200000000186265,2334700.799999999813735,2123905.979999999981374,11548359.289999999105930
FS( 34 ),2503821.600000000093132,2446095.709999999962747,2226858.799999999813735,2348895.700000000186265,2148764.859999999869615,11674436.669999999925494
FS( 35 ),2494970.680000000167638,2398487.000000000000000,2210247.799999999813735,2336195.000000000000000,2143326.979999999981374,11583227.460000000894070
FS( 36 ),2511310.839999999850988,2428688.120000000111759,2228282.599999999627471,2343666.000000000000000,2134004.899999999906868,11645952.459999999031425
FS( 37 ),2540586.959999999962747,2430156.230000000447035,2229706.399999999441206,2351884.099999999627471,2161582.719999999739230,11713916.410000000149012
FS( 38 ),2556927.120000000111759,2437706.509999999776483,2227333.399999999441206,2342171.799999999813735,2164690.079999999608845,11728828.909999998286366
FS( 39 ),2603905.079999999608845,2456162.750000000000000,2241571.399999999441206,2381021.000000000000000,2168962.700000000186265,11851622.929999999701977
FS( 40 ),2637947.079999999608845,2414845.940000000409782,2257707.799999999813735,2371308.700000000186265,2165466.919999999925494,11847276.439999999478459
