代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11001051.019999999552965
真實報酬,1001051.019999999552965

夏普值報酬,0.091405102000000
夏普值風險,0.028058610834286
夏普值,3.257648874345136

二次趨勢線,212.341177902823347 x^2 + 1302.212076824970154 x + 10000000.000000000000000
二次平均預期報酬,15104.388640508494063
風險,82392.738696369691752
二次平均趨勢值,0.183321842185275
一次趨勢線,11573.599287008048123 x + 10000000.000000000000000
一次預期報酬,11573.599287008048123
一次風險,128897.732971410616301
一次趨勢值,0.089789005750590
找到最佳解世代,2145
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](1),NKE[19](5),PG[21](3),
Stock#,GS[8](1),NKE[19](5),PG[21](3),
張數,19982,85470,42045,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,135.580000000074506,3.000000000000000,5.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3334931.559999999590218,3324786.000000000000000,3345105.600000000093132,10004824.160000000149012
FS( 3 ),3386285.300000000279397,3352991.099999999627471,3362764.500000000000000,10102041.900000000372529
FS( 4 ),3352715.540000000037253,3361538.099999999627471,3371593.949999999720603,10085848.589999999850988
FS( 5 ),3295367.200000000186265,3319657.800000000279397,3387150.600000000093132,10002176.599999999627471
FS( 6 ),3290571.520000000018626,3363247.500000000000000,3433820.549999999813735,10087640.570000000298023
FS( 7 ),3265594.020000000018626,3311965.500000000000000,3431297.850000000093132,10008858.369999999180436
FS( 8 ),3293169.180000000167638,3303418.500000000000000,3412377.599999999627471,10008966.279999999329448
FS( 9 ),3337129.580000000074506,3331623.599999999627471,3419104.799999999813735,10087858.980000000447035
FS( 10 ),3380490.520000000018626,3335042.400000000372529,3416582.100000000093132,10132116.019999999552965
FS( 11 ),3406467.120000000111759,3287179.200000000186265,3403127.699999999720603,10096775.019999999552965
FS( 12 ),3399873.059999999590218,3270939.900000000372529,3380423.400000000372529,10051237.359999999403954
FS( 13 ),3426449.120000000111759,3312820.199999999720603,3386730.149999999906868,10126000.470000000670552
FS( 14 ),3431444.620000000111759,3282905.699999999720603,3375378.000000000000000,10089729.320000000298023
FS( 15 ),3497385.220000000204891,3292307.400000000372529,3367809.899999999441206,10157503.519999999552965
FS( 16 ),3533352.819999999832362,3306837.299999999813735,3363184.949999999720603,10203376.069999998435378
FS( 17 ),3522162.899999999906868,3358973.999999999534339,3374537.100000000093132,10255675.000000000000000
FS( 18 ),3504978.380000000353903,3321367.199999999720603,3345105.600000000093132,10171452.179999999701977
FS( 19 ),3515968.479999999981374,3350427.000000000465661,3332492.100000000093132,10198888.580000000074506
FS( 20 ),3507775.859999999869615,3337606.499999999534339,3306844.650000000372529,10152228.009999999776483
FS( 21 ),3512171.899999999906868,3402563.700000000186265,3286242.599999999627471,10200979.199999999254942
FS( 22 ),3454423.920000000391155,3296580.899999999906868,3250924.799999999813735,10001930.620000001043081
FS( 23 ),3402071.080000000074506,3281196.300000000279397,3348889.650000000372529,10032158.030000001192093
FS( 24 ),3430845.160000000149012,3297435.599999999627471,3330810.299999999813735,10059092.059999998658895
FS( 25 ),3385486.020000000018626,3287179.200000000186265,3338798.849999999627471,10011465.070000000298023
FS( 26 ),3391880.260000000242144,3296580.899999999906868,3409434.450000000186265,10097896.609999999403954
FS( 27 ),3379091.779999999795109,3262392.900000000372529,3369491.699999999720603,10010977.379999998956919
FS( 28 ),3442234.899999999906868,3293162.100000000093132,3403548.149999999906868,10138946.150000000372529
FS( 29 ),3446231.300000000279397,3293162.100000000093132,3425832.000000000000000,10165226.400000000372529
FS( 30 ),3443633.640000000130385,3279486.899999999906868,3423309.299999999813735,10146430.839999999850988
FS( 31 ),3444432.920000000391155,3301709.100000000093132,3425832.000000000000000,10171975.019999999552965
FS( 32 ),3451626.439999999944121,3303418.500000000000000,3445593.149999999906868,10200639.089999999850988
FS( 33 ),3435041.380000000353903,3296580.899999999906868,3438445.500000000000000,10170068.780000001192093
FS( 34 ),3487993.680000000167638,3357264.600000000093132,3466195.199999999720603,10311454.480000000447035
FS( 35 ),3476204.300000000279397,3355555.199999999720603,3476706.449999999720603,10308466.949999999254942
FS( 36 ),3477603.040000000037253,3372649.200000000186265,3481751.850000000093132,10332005.089999999850988
FS( 37 ),3499982.880000000353903,3373503.899999999906868,3501513.000000000000000,10375000.780000001192093
FS( 38 ),3506377.120000000111759,3388888.500000000000000,3506137.949999999720603,10401404.570000000298023
FS( 39 ),3554333.920000000391155,3419657.699999999720603,3512444.700000000186265,10486437.320000000298023
FS( 40 ),3554933.380000000353903,3396580.800000000279397,3505717.499999999534339,10457232.679999999701977
FS( 41 ),3553135.000000000000000,3406837.199999999720603,3502774.350000000093132,10462747.549999998882413
FS( 42 ),3549937.880000000353903,3368375.699999999720603,3491001.750000000000000,10409316.330000000074506
FS( 43 ),3579111.600000000558794,3357264.600000000093132,3494365.350000000093132,10430742.550000000745058
FS( 44 ),3592299.720000000204891,3388033.800000000279397,3488899.500000000000000,10469234.019999999552965
FS( 45 ),3588902.779999999795109,3368375.699999999720603,3485535.900000000372529,10442815.379999998956919
FS( 46 ),3598494.140000000130385,3415384.200000000186265,3519171.899999999906868,10533051.240000000223517
FS( 47 ),3591900.080000000074506,3505982.400000000372529,3522115.049999999813735,10619998.530000001192093
FS( 48 ),3599093.600000000558794,3521367.000000000465661,3503194.799999999813735,10623656.400000002235174
FS( 49 ),3544942.380000000353903,3497435.400000000372529,3489319.949999999720603,10531698.730000000447035
FS( 50 ),3594297.920000000391155,3524785.800000000279397,3516649.199999999720603,10635733.919999999925494
FS( 51 ),3616877.580000000074506,3496580.699999999720603,3510342.449999999720603,10623801.729999998584390
FS( 52 ),3660238.520000000018626,3497435.400000000372529,3500672.100000000093132,10658347.019999999552965
FS( 53 ),3676423.939999999944121,3488033.700000000186265,3526319.550000000279397,10690778.190000001341105
FS( 54 ),3677622.859999999869615,3470085.000000000000000,3535149.000000000000000,10682857.859999999403954
FS( 55 ),3693208.819999999832362,3483760.199999999720603,3538512.599999999627471,10715482.619999999180436
FS( 56 ),3754553.559999999590218,3503418.300000000279397,3539773.949999999720603,10797746.809999998658895
FS( 57 ),3720783.979999999981374,3496580.699999999720603,3551546.549999999813735,10768912.230000000447035
FS( 58 ),3702600.359999999869615,3448717.500000000000000,3565841.850000000093132,10717160.709999999031425
FS( 59 ),3698603.959999999962747,3423931.200000000186265,3550285.199999999720603,10672821.359999999403954
FS( 60 ),3752955.000000000000000,3454700.400000000372529,3583921.199999999720603,10791577.599999999627471
FS( 61 ),3678621.959999999962747,3408546.600000000093132,3545660.250000000000000,10632829.810000000521541
FS( 62 ),3699203.420000000391155,3824785.500000000000000,3556171.500000000000000,11080161.419999999925494
FS( 63 ),3673426.640000000130385,3808546.200000000186265,3550285.199999999720603,11032259.039999999105930
FS( 64 ),3668231.319999999832362,3811965.000000000000000,3520853.699999999720603,11001051.019999999552965
