代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10576777.470000000670552
真實報酬,576777.470000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,26585.087718050061085
風險,13557.856396862991460
起點值,1.960862170232258
找到最佳解世代,2495
找到最佳解實驗#,17
找到最佳解次數,7

stock[index](rank)
投資組合檔數,10
AXP[1](9),CVX[5](24),INTC[11](16),JNJ[12](5),KO[14](12),MCD[15](7),MMM[16](11),TRV[22](4),UTX[24](10),V[25](6),
Stock#,AXP[1](9),CVX[5](24),INTC[11](16),JNJ[12](5),KO[14](12),MCD[15](7),MMM[16](11),TRV[22](4),UTX[24](10),V[25](6),
張數,11044,8515,25614,7620,22321,6371,4700,8108,8504,9484,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,76.239999999874271,83.549999999930151,29.440000000060536,103.599999999976717,19.200000000069849,7.839999999967404,28.000000000000000,121.440000000060536,99.680000000051223,7.040000000037253,
FS( 1 ),1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,10000000.000000000000000
FS( 2 ),1009829.159999999916181,1003320.849999999860302,1008708.760000000125729,1006705.599999999976717,1008705.190000000060536,999362.900000000023283,1008507.000000000000000,1003081.040000000037253,1001105.520000000018626,1001422.600000000093132,10050748.620000001043081
FS( 3 ),1005190.679999999934807,1001277.249999999883585,1007684.200000000186265,1012725.399999999906868,1015624.700000000069849,1001592.750000000000000,1017672.000000000000000,1004702.640000000130385,1000425.200000000069849,998767.080000000074506,10065661.899999998509884
FS( 4 ),1006847.279999999795109,1009792.249999999883585,1012550.860000000102445,1015011.399999999906868,1016071.120000000111759,1011722.640000000013970,1016967.000000000000000,1009080.960000000079162,1005017.360000000102445,1007587.199999999953434,10110648.069999998435378
FS( 5 ),1011154.439999999827705,996593.999999999883585,1015112.260000000125729,1015240.000000000000000,1015401.490000000107102,1016819.439999999944121,1017672.000000000000000,1014189.000000000000000,1005527.600000000093132,1012234.360000000102445,10119944.589999997988343
FS( 6 ),1012700.599999999860302,1002384.199999999837019,1021003.480000000097789,1016992.599999999860302,1013615.809999999939464,1020132.359999999986030,1018424.000000000000000,1013216.040000000037253,1008929.200000000069849,1014889.880000000121072,10142288.169999999925494
FS( 7 ),1014909.399999999906868,1011665.549999999930151,1015624.540000000037253,1020421.599999999976717,1023883.469999999972060,1023063.020000000018626,1018753.000000000000000,1021242.960000000079162,1004592.160000000032596,1017735.080000000074506,10171890.779999999329448
FS( 8 ),1015682.479999999748543,1016178.499999999883585,1006659.640000000013970,1041376.599999999976717,1029017.300000000046566,1039436.489999999990687,1017625.000000000000000,1018567.320000000065193,1001445.680000000051223,1028452.000000000000000,10214441.009999999776483
FS( 9 ),1011817.079999999841675,1014560.649999999906868,1003842.099999999976717,1042748.200000000069849,1029240.510000000009313,1044278.449999999953434,1022701.000000000000000,1021324.040000000037253,1010544.959999999962747,1025322.280000000027940,10226379.269999999552965
FS( 10 ),1025622.079999999841675,1014730.949999999953434,1016136.820000000065193,1039700.200000000069849,1030802.980000000097789,1053580.109999999869615,1023312.000000000000000,1027161.800000000046566,1009694.560000000055879,1030538.479999999981374,10271279.980000000447035
FS( 11 ),1015682.479999999748543,1022990.499999999883585,1018442.079999999958090,1037338.000000000000000,1040624.219999999972060,1051286.549999999813735,1028012.000000000000000,1044594.000000000000000,1012160.720000000088476,1027124.239999999990687,10298254.789999999105930
FS( 12 ),1012700.599999999860302,1023756.849999999976717,1019210.500000000000000,1072923.399999999906868,1038392.120000000111759,1053771.240000000223517,1023453.000000000000000,1043215.640000000130385,1015137.119999999995343,1019916.400000000139698,10322476.869999999180436
FS( 13 ),1017007.759999999892898,1006130.799999999930151,1030992.940000000060536,1072085.200000000186265,1035713.600000000093132,1056128.510000000242144,1025897.000000000000000,1054323.600000000093132,1013606.400000000139698,1022382.239999999990687,10334268.050000000745058
FS( 14 ),1015019.839999999967404,1006556.549999999930151,1026894.700000000186265,1082448.399999999906868,1039954.590000000200234,1060779.339999999850988,1030456.000000000000000,1079863.799999999813735,1016242.640000000013970,1014984.719999999972060,10373200.580000000074506
FS( 15 ),1017118.199999999953434,1010303.149999999906868,1035603.460000000079162,1085191.600000000093132,1035267.180000000167638,1059505.140000000130385,1040232.000000000000000,1081080.000000000000000,1028488.400000000139698,1020011.239999999990687,10412800.370000001043081
FS( 16 ),1020320.959999999846332,1012772.500000000000000,1045849.060000000055879,1094488.000000000000000,1033927.920000000041910,1040646.979999999981374,1041313.000000000000000,1090242.040000000037253,1028148.240000000107102,1019821.560000000055879,10427530.259999999776483
FS( 17 ),1036666.079999999841675,1015327.000000000000000,1048922.740000000223517,1079400.399999999906868,1030802.980000000097789,1044087.319999999948777,1102883.000000000000000,1080025.959999999962747,1018368.640000000013970,1028167.479999999981374,10484651.600000001490116
FS( 18 ),1033021.559999999939464,1008600.149999999906868,1044568.360000000102445,1084886.800000000279397,1027901.250000000000000,1042176.020000000018626,1117124.000000000000000,1068593.680000000167638,1011990.640000000013970,1038410.199999999953434,10477272.660000000149012
FS( 19 ),1056876.599999999627471,1008600.149999999906868,1059168.340000000316650,1080695.799999999813735,1031919.030000000027940,1044915.549999999930151,1094846.000000000000000,1069890.959999999962747,1019984.400000000139698,1041350.239999999990687,10508247.070000000298023
