代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10418061.640000000596046
真實報酬,418061.640000000596046

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20022.633446640302282
風險,16119.210770104200492
起點值,1.242159664775627
找到最佳解世代,2331
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,7
CSCO[4](16),CVX[5](2),IBM[10](17),KO[14](19),MCD[15](27),PG[21](10),VZ[26](1),
Stock#,CSCO[4](16),CVX[5](2),IBM[10](17),KO[14](19),MCD[15](27),PG[21](10),VZ[26](1),
張數,73942,17274,9892,44159,18017,22985,44159,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,11.560000000055879,11.199999999953434,67.280000000027940,27.349999999860302,3.069999999832362,53.250000000000000,27.349999999860302,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1421176.800000000046566,1459664.199999999953434,1436187.840000000083819,1432986.899999999906868,1430192.529999999795109,1433397.850000000093132,1445793.010000000009313,10059402.129999998956919
FS( 3 ),1410085.500000000000000,1466401.060000000055879,1438166.239999999990687,1424155.099999999860302,1437038.989999999990687,1432708.300000000046566,1452858.449999999720603,10061416.639999998733401
FS( 4 ),1436704.620000000111759,1467437.500000000000000,1434308.360000000102445,1413115.349999999860302,1433795.929999999701977,1426502.350000000093132,1452416.859999999869615,10064283.969999998807907
FS( 5 ),1433746.940000000176951,1490757.399999999906868,1424713.120000000111759,1416206.479999999981374,1447488.849999999860302,1428571.000000000000000,1455066.399999999906868,10096553.189999999478459
FS( 6 ),1430789.260000000242144,1487993.560000000055879,1434209.439999999944121,1421947.149999999906868,1418661.649999999674037,1439603.800000000046566,1456391.169999999692664,10089599.029999999329448
FS( 7 ),1456668.959999999962747,1496803.300000000046566,1427482.880000000121072,1431662.129999999888241,1398302.439999999711290,1445120.199999999953434,1482003.389999999897555,10138046.299999998882413
FS( 8 ),1456668.959999999962747,1503367.419999999925494,1432626.719999999972060,1427687.819999999832362,1397401.589999999850988,1452705.250000000000000,1503199.709999999729916,10173660.469999998807907
FS( 9 ),1447795.919999999925494,1526514.580000000074506,1427285.040000000037253,1431662.129999999888241,1389293.939999999711290,1452475.399999999906868,1506290.839999999850988,10181320.849999999627471
FS( 10 ),1444838.239999999990687,1526687.319999999832362,1442518.719999999972060,1410907.399999999906868,1389293.939999999711290,1460750.000000000000000,1531019.879999999888241,10206018.500000000000000
FS( 11 ),1439662.300000000046566,1520295.939999999944121,1431637.520000000018626,1429454.179999999701977,1386951.729999999981374,1462818.649999999906868,1529253.520000000018626,10200076.839999999850988
FS( 12 ),1460366.060000000055879,1538433.639999999897555,1429955.880000000121072,1442701.879999999888241,1382087.139999999664724,1482585.750000000000000,1534994.189999999711290,10271127.539999999105930
FS( 13 ),1445577.660000000149012,1528587.459999999962747,1434407.280000000027940,1450650.500000000000000,1383888.839999999850988,1489711.100000000093132,1529695.109999999869615,10262520.949999999254942
FS( 14 ),1450753.600000000093132,1533942.399999999906868,1429560.199999999953434,1442260.289999999804422,1385870.709999999962747,1493388.699999999953434,1534111.010000000009313,10269889.910000000149012
FS( 15 ),1444098.820000000065193,1541370.219999999972060,1441727.360000000102445,1445793.010000000009313,1384789.689999999711290,1491090.200000000186265,1542942.809999999823049,10291815.110000001266599
FS( 16 ),1446317.080000000074506,1553289.280000000027940,1443804.679999999934807,1448442.549999999813735,1387492.239999999990687,1492929.000000000000000,1553540.969999999739230,10325818.800000000745058
FS( 17 ),1455929.540000000037253,1566417.520000000018626,1443211.159999999916181,1448000.959999999729916,1386591.389999999664724,1499594.649999999906868,1565022.309999999823049,10364770.529999999329448
FS( 18 ),1490682.280000000027940,1556744.080000000074506,1437770.560000000055879,1436519.619999999878928,1377042.379999999888241,1486493.199999999953434,1567671.849999999860302,10352926.969999998807907
FS( 19 ),1504731.260000000242144,1575227.260000000009313,1441430.600000000093132,1443143.469999999739230,1377042.379999999888241,1488561.850000000093132,1572970.929999999701977,10403110.750000000000000
FS( 20 ),1497337.060000000055879,1578336.580000000074506,1449443.120000000111759,1445351.419999999692664,1387131.899999999674037,1480287.250000000232831,1571204.569999999832362,10409094.900000000372529
FS( 21 ),1495858.219999999972060,1582309.599999999860302,1450926.919999999925494,1446234.599999999860302,1382987.989999999990687,1477529.050000000046566,1570321.389999999897555,10406170.770000001415610
FS( 22 ),1495858.219999999972060,1576263.699999999953434,1451817.199999999953434,1452416.859999999869615,1382987.989999999990687,1478678.300000000046566,1580036.369999999878928,10418061.640000000596046
