代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10414569.849999999627471
真實報酬,414569.849999999627471

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17843.917837511304242
風險,19805.069106508595723
起點值,0.900977307453434
找到最佳解世代,2734
找到最佳解實驗#,13
找到最佳解次數,5

stock[index](rank)
投資組合檔數,4
KO[14](18),MCD[15](9),NKE[19](1),PG[21](4),
Stock#,KO[14](18),MCD[15](9),NKE[19](1),PG[21](4),
張數,54585,15026,45396,28772,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,7.000000000000000,124.379999999888241,42.279999999795109,0.919999999925494,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2504366.800000000279397,2525994.979999999981374,2502269.799999999813735,2489066.640000000130385,10021698.220000000670552
FS( 3 ),2509279.449999999720603,2534259.279999999795109,2529053.439999999944121,2491080.679999999701977,10063672.849999999627471
FS( 4 ),2481986.949999999720603,2555596.199999999720603,2544034.119999999646097,2475831.520000000018626,10057448.789999999105930
FS( 5 ),2507641.899999999906868,2566114.399999999906868,2503631.679999999701977,2502589.479999999981374,10079977.459999999031425
FS( 6 ),2520742.299999999813735,2556046.979999999981374,2531323.239999999757856,2519852.679999999701977,10127965.199999999254942
FS( 7 ),2523471.549999999813735,2509466.379999999888241,2548119.759999999776483,2525607.080000000074506,10106664.769999999552965
FS( 8 ),2540392.899999999906868,2488279.719999999739230,2546303.919999999925494,2536540.439999999944121,10111516.979999998584390
FS( 9 ),2550218.199999999720603,2515026.000000000000000,2538132.639999999664724,2560708.919999999925494,10164085.759999997913837
FS( 10 ),2588973.549999999813735,2526145.240000000223517,2541310.359999999869615,2556968.560000000055879,10213397.710000000894070
FS( 11 ),2555130.850000000093132,2514274.699999999720603,2570817.759999999776483,2538554.479999999981374,10178777.789999999105930
FS( 12 ),2540938.750000000000000,2525844.719999999739230,2598055.359999999869615,2567901.919999999925494,10232740.750000000000000
FS( 13 ),2495087.350000000093132,2505259.100000000093132,2687031.519999999552965,2544308.880000000353903,10231686.849999999627471
FS( 14 ),2481441.100000000093132,2508414.560000000055879,2689755.279999999795109,2539705.359999999869615,10219316.299999998882413
FS( 15 ),2498908.300000000279397,2529000.180000000167638,2696110.719999999739230,2552652.759999999776483,10276671.960000000894070
FS( 16 ),2502183.400000000372529,2540269.680000000167638,2681584.000000000000000,2541431.679999999701977,10265468.759999999776483
FS( 17 ),2504366.800000000279397,2541171.240000000223517,2692933.000000000000000,2544884.319999999832362,10283355.360000001266599
FS( 18 ),2505458.500000000000000,2538917.339999999850988,2707005.759999999776483,2559558.039999999571592,10310939.639999998733401
FS( 19 ),2501637.549999999813735,2574679.219999999739230,2704735.959999999497086,2572217.720000000204891,10353270.449999999254942
FS( 20 ),2483624.500000000000000,2561005.560000000055879,2740144.839999999850988,2571642.279999999795109,10356417.179999999701977
FS( 21 ),2498362.450000000186265,2584145.600000000093132,2742868.600000000093132,2589193.199999999720603,10414569.849999999627471
