代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10554343.599999999627471
真實報酬,554343.599999999627471

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21744.493832678890612
風險,100199.103139420098159
起點值,0.217012858911750
找到最佳解世代,1662
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),CAT[3](5),V[25](3),
Stock#,AAPL[0](1),CAT[3](5),V[25](3),
張數,31231,40924,41000,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,48.369999999646097,73.199999999720603,33.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3364564.000000000000000,3343154.759999999776483,3362033.000000000000000,10069752.759999999776483
FS( 3 ),3363627.069999999832362,3359115.119999999646097,3383763.000000000000000,10106506.189999999478459
FS( 4 ),3384239.529999999795109,3426230.479999999515712,3412873.000000000000000,10223344.009999999776483
FS( 5 ),3295543.489999999292195,3418864.160000000149012,3401803.000000000000000,10116211.649999998509884
FS( 6 ),3220901.399999999441206,3306323.160000000149012,3334563.000000000000000,9861788.559999998658895
FS( 7 ),3293045.009999999776483,3352567.279999999795109,3401803.000000000000000,10047416.289999999105930
FS( 8 ),3371434.819999999832362,3283405.719999999739230,3357523.000000000000000,10012364.539999999105930
FS( 9 ),3490737.239999999292195,3315735.679999999701977,3341123.000000000000000,10147596.919999998062849
FS( 10 ),3609415.039999999571592,3357068.919999999925494,3362443.000000000000000,10328927.959999999031425
FS( 11 ),3589114.889999999664724,3357887.399999999441206,3364902.999999999534339,10311906.289999999105930
FS( 12 ),3547265.349999999627471,3350930.319999999366701,3382943.000000000000000,10281139.669999998062849
FS( 13 ),3546953.039999999571592,3343564.000000000000000,3381713.000000000000000,10272231.039999999105930
FS( 14 ),3546328.419999999459833,3415999.479999999515712,3412053.000000000000000,10374381.899999998509884
FS( 15 ),3579745.589999999850988,3417227.199999999720603,3417793.000000000000000,10414766.789999999105930
FS( 16 ),3520094.379999999422580,3373847.759999999776483,3384173.000000000465661,10278116.139999998733401
FS( 17 ),3525403.649999999441206,3370983.080000000074506,3354243.000000000000000,10250630.730000000447035
FS( 18 ),3531962.159999999683350,3391854.319999999366701,3368593.000000000000000,10292410.479999998584390
FS( 19 ),3558820.819999999832362,3543682.359999999869615,3401803.000000000000000,10504307.179999999701977
FS( 20 ),3503541.949999999720603,3579695.479999999515712,3358753.000000000000000,10441991.429999999701977
FS( 21 ),3530712.919999999459833,3632896.679999999701977,3390733.000000000000000,10554343.599999999627471
