代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10634141.800000000745058
真實報酬,634141.800000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,29928.431690564277233
風險,32173.024312245594047
起點值,0.930233707596243
找到最佳解世代,2353
找到最佳解實驗#,33
找到最佳解次數,1

stock[index](rank)
投資組合檔數,6
CAT[3](9),DIS[6](3),JNJ[12](10),UTX[24](1),VZ[26](4),WMT[28](17),
Stock#,CAT[3](9),DIS[6](3),JNJ[12](10),UTX[24](1),VZ[26](4),WMT[28](17),
張數,28810,52842,26292,23932,61500,30921,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,7.500000000000000,29.320000000065193,16.119999999878928,41.520000000018626,16.000000000000000,24.100000000093132,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1675309.000000000000000,1684632.280000000027940,1667980.599999999860302,1669298.520000000018626,1682656.000000000000000,1657080.490000000223517,10036960.890000000596046
FS( 3 ),1687409.199999999953434,1671950.200000000186265,1666928.919999999925494,1665708.719999999972060,1674661.000000000000000,1659244.959999999962747,10025907.000000000000000
FS( 4 ),1683952.000000000000000,1721093.260000000009313,1671398.559999999823049,1684136.360000000102445,1683271.000000000000000,1668521.260000000009313,10112376.439999999478459
FS( 5 ),1706423.799999999813735,1755440.560000000055879,1683755.800000000046566,1705196.520000000018626,1680811.000000000000000,1674087.040000000037253,10205718.719999998807907
FS( 6 ),1697204.599999999860302,1753855.300000000046566,1687962.520000000018626,1693469.840000000083819,1703566.000000000000000,1674396.250000000000000,10210458.509999999776483
FS( 7 ),1704983.300000000046566,1760196.340000000083819,1689802.959999999729916,1717880.479999999981374,1719556.000000000000000,1671613.360000000102445,10264036.439999999478459
FS( 8 ),1693459.300000000046566,1761253.179999999934807,1690328.800000000046566,1718119.800000000279397,1710331.000000000000000,1658317.330000000074506,10231813.410000000149012
FS( 9 ),1696916.500000000000000,1786617.340000000083819,1688488.359999999869615,1724102.800000000279397,1715866.000000000000000,1668830.469999999972060,10280825.470000000670552
FS( 10 ),1738979.100000000093132,1780276.300000000046566,1687436.680000000167638,1711897.479999999981374,1709716.000000000000000,1666666.000000000000000,10294975.560000000521541
FS( 11 ),1713338.199999999953434,1781861.560000000055879,1697690.559999999590218,1719316.400000000139698,1717096.000000000000000,1713665.920000000158325,10342972.639999998733401
FS( 12 ),1712762.000000000000000,1783446.820000000065193,1696638.879999999888241,1732718.320000000065193,1720786.000000000000000,1731290.890000000130385,10377646.910000000149012
FS( 13 ),1734945.699999999953434,1783446.820000000065193,1699793.919999999925494,1727692.599999999860302,1733701.000000000000000,1729126.420000000158325,10408710.459999999031425
FS( 14 ),1721981.200000000186265,1785032.080000000074506,1710573.639999999897555,1735111.520000000018626,1742311.000000000000000,1729744.840000000083819,10424758.279999999329448
FS( 15 ),1710457.199999999953434,1777634.200000000186265,1711888.239999999757856,1752821.199999999953434,1748461.000000000000000,1711192.240000000223517,10412458.080000000074506
FS( 16 ),1727167.000000000000000,1794015.220000000204891,1711625.319999999832362,1737744.040000000037253,1762606.000000000000000,1719850.120000000111759,10453011.699999999254942
FS( 17 ),1798039.599999999860302,1797185.739999999990687,1718461.239999999757856,1749231.400000000139698,1781056.000000000000000,1728198.790000000037253,10572176.769999999552965
FS( 18 ),1787956.100000000093132,1817265.700000000186265,1702423.119999999878928,1748034.800000000279397,1751536.000000000000000,1718613.280000000027940,10525833.000000000000000
FS( 19 ),1790260.899999999906868,1854255.100000000325963,1697690.559999999590218,1753539.159999999916181,1742926.000000000000000,1719540.910000000149012,10558216.629999998956919
FS( 20 ),1798903.899999999906868,1865880.340000000083819,1692695.079999999841675,1761915.360000000102445,1746001.000000000000000,1716448.810000000055879,10581848.490000000223517
FS( 21 ),1828866.299999999813735,1857954.039999999804422,1704263.559999999590218,1771009.520000000018626,1750921.000000000000000,1723560.640000000130385,10636579.060000000521541
FS( 22 ),1819647.099999999860302,1854783.520000000251457,1706366.919999999925494,1774120.679999999934807,1795816.000000000000000,1728817.209999999962747,10679555.429999999701977
FS( 23 ),1810716.000000000000000,1844743.539999999804422,1714254.520000000018626,1761676.040000000037253,1783516.000000000000000,1719231.700000000186265,10634141.800000000745058
