代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10459936.099999999627471
真實報酬,459936.099999999627471

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17547.779683794451557
風險,53381.724328236814472
起點值,0.328722608807006
找到最佳解世代,1867
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](3),PG[21](4),WMT[28](2),
Stock#,DIS[6](3),PG[21](4),WMT[28](2),
張數,76120,52435,56430,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,38.200000000186265,40.049999999813735,12.899999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3314303.000000000000000,3354831.349999999627471,3329947.199999999720603,9999082.549999998882413
FS( 3 ),3334855.400000000372529,3382621.899999999906868,3328818.600000000093132,10046296.900000000372529
FS( 4 ),3267869.800000000279397,3370561.850000000093132,3312453.899999999906868,9950886.550000000745058
FS( 5 ),3335616.600000000093132,3368988.799999999813735,3340104.599999999627471,10044711.000000000000000
FS( 6 ),3372154.200000000186265,3364269.649999999441206,3332204.399999999906868,10068629.250000000000000
FS( 7 ),3426960.600000000558794,3338576.500000000000000,3331075.799999999813735,10096613.900000000372529
FS( 8 ),3446751.800000000279397,3363220.949999999720603,3340104.599999999627471,10150078.349999999627471
FS( 9 ),3468065.400000000372529,3339100.849999999627471,3353083.500000000000000,10160250.750000000000000
FS( 10 ),3438378.600000000093132,3333857.349999999627471,3333333.000000000000000,10105569.949999999254942
FS( 11 ),3426199.399999999906868,3341198.249999999534339,3349133.399999999906868,10116532.049999998882413
FS( 12 ),3431527.800000000279397,3371086.200000000186265,3340104.599999999627471,10142719.599999999627471
FS( 13 ),3374437.800000000279397,3353782.649999999906868,3480615.299999999813735,10208836.750000000000000
FS( 14 ),3334855.400000000372529,3330711.250000000000000,3522937.799999999813735,10188505.449999999254942
FS( 15 ),3379005.000000000000000,3323894.699999999720603,3557360.099999999627471,10260260.799999998882413
FS( 16 ),3379005.000000000000000,3311310.299999999813735,3596296.799999999813735,10286613.099999999627471
FS( 17 ),3379005.000000000000000,3271459.699999999720603,3596296.799999999813735,10246762.500000000000000
FS( 18 ),3382811.000000000000000,3280898.000000000000000,3671912.999999999534339,10335623.000000000000000
FS( 19 ),3387378.200000000186265,3276703.199999999720603,3685456.200000000186265,10349538.600000001490116
FS( 20 ),3461975.799999999813735,3300823.299999999813735,3706335.300000000279397,10469135.400000000372529
FS( 21 ),3440662.200000000186265,3267789.250000000000000,3692792.099999999627471,10401244.550000000745058
FS( 22 ),3479483.400000000372529,3266216.199999999720603,3714235.499999999534339,10459936.099999999627471
