代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10497237.809999998658895
真實報酬,497237.809999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,25655.091902748379653
風險,46029.881420808284020
起點值,0.557357332038460
找到最佳解世代,2295
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MCD[15](2),MSFT[18](6),PFE[20](1),PG[21](4),
Stock#,MCD[15](2),MSFT[18](6),PFE[20](1),PG[21](4),
張數,26178,98892,124812,39013,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,1.000000000000000,10.239999999757856,15.639999999664724,46.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2505235.600000000093132,2494066.479999999515712,2482526.319999999832362,2522627.540000000037253,10004455.940000001341105
FS( 3 ),2496073.299999999813735,2541534.639999999664724,2476285.719999999739230,2529649.879999999888241,10043543.539999999105930
FS( 4 ),2513350.780000000260770,2537578.959999999962747,2524962.399999999906868,2529649.879999999888241,10105542.019999999552965
FS( 5 ),2524869.100000000093132,2531645.439999999944121,2554917.279999999329448,2544864.950000000186265,10156296.769999999552965
FS( 6 ),2537172.760000000242144,2511867.039999999571592,2519969.919999999925494,2515215.069999999832362,10084224.789999999105930
FS( 7 ),2566230.339999999850988,2541534.639999999664724,2566150.359999999403954,2534721.569999999832362,10208636.909999998286366
FS( 8 ),2578010.439999999944121,2522745.159999999683350,2544932.319999999832362,2508972.990000000223517,10154660.910000000149012
FS( 9 ),2565445.000000000000000,2547468.159999999683350,2591112.759999999776483,2525358.450000000186265,10229384.370000001043081
FS( 10 ),2555235.580000000074506,2530656.519999999552965,2603593.959999999497086,2514434.810000000055879,10203920.869999999180436
FS( 11 ),2569109.919999999925494,2527689.759999999776483,2638541.319999999832362,2535501.829999999608845,10270842.830000000074506
FS( 12 ),2552094.219999999739230,2571202.239999999757856,2624812.000000000000000,2541353.779999999795109,10289462.239999998360872
FS( 13 ),2545549.719999999739230,2524723.000000000000000,2638541.319999999832362,2533941.310000000055879,10242755.349999999627471
FS( 14 ),2586910.959999999962747,2574169.000000000000000,2678481.159999999683350,2566712.229999999981374,10406273.349999999627471
FS( 15 ),2596858.600000000093132,2547468.159999999683350,2705939.799999999813735,2574904.959999999962747,10425171.519999999552965
FS( 16 ),2581151.799999999813735,2552412.759999999776483,2699699.199999999720603,2582317.429999999701977,10415581.189999999478459
FS( 17 ),2621727.700000000186265,2574169.000000000000000,2724661.599999999627471,2601043.669999999925494,10521601.969999998807907
FS( 18 ),2632198.899999999906868,2575157.919999999459833,2717172.879999999422580,2605725.229999999981374,10530254.929999999701977
FS( 19 ),2606806.239999999757856,2553401.679999999701977,2687218.000000000000000,2595971.979999999981374,10443397.900000000372529
FS( 20 ),2639005.180000000167638,2573180.079999999608845,2709684.159999999683350,2612747.569999999832362,10534616.990000000223517
FS( 21 ),2626439.739999999757856,2567246.560000000055879,2700947.319999999832362,2602604.189999999944121,10497237.809999998658895
